fpr,tpr
0.0,0.0
0.0,0.0004
0.0,0.0008
0.00013333333333333334,0.0008
0.00013333333333333334,0.0052
0.0002666666666666667,0.0052
0.0002666666666666667,0.0056
0.0004,0.0056
0.0004,0.0072
0.0005333333333333334,0.0072
0.0005333333333333334,0.008
0.0006666666666666666,0.008
0.0006666666666666666,0.0092
0.0009333333333333333,0.0092
0.0009333333333333333,0.0104
0.0012,0.0104
0.0012,0.0124
0.0013333333333333333,0.0124
0.0013333333333333333,0.0136
0.0018666666666666666,0.0136
0.0018666666666666666,0.0164
0.002,0.0164
0.002,0.0168
0.0024,0.0168
0.0024,0.0172
0.002533333333333333,0.0172
0.002533333333333333,0.0212
0.0026666666666666666,0.0212
0.0026666666666666666,0.022
0.0028,0.022
0.0028,0.0228
0.0029333333333333334,0.0228
0.0029333333333333334,0.0236
0.0032,0.0236
0.0032,0.024
0.0034666666666666665,0.024
0.0034666666666666665,0.0244
0.0037333333333333333,0.0244
0.0037333333333333333,0.0256
0.0038666666666666667,0.0256
0.0038666666666666667,0.026
0.0041333333333333335,0.026
0.0041333333333333335,0.0268
0.0044,0.0268
0.0044,0.028
0.004533333333333334,0.028
0.004533333333333334,0.0296
0.004666666666666667,0.0296
0.004666666666666667,0.0304
0.005333333333333333,0.0304
0.005333333333333333,0.032
0.0054666666666666665,0.032
0.0054666666666666665,0.0348
0.0056,0.0348
0.0056,0.0356
0.006,0.0356
0.006,0.0364
0.0061333333333333335,0.0364
0.0061333333333333335,0.0388
0.006266666666666667,0.0388
0.006266666666666667,0.0396
0.006666666666666667,0.0396
0.006666666666666667,0.0404
0.006933333333333333,0.0404
0.006933333333333333,0.0412
0.007066666666666666,0.0412
0.007066666666666666,0.0416
0.0072,0.0416
0.0072,0.044
0.0076,0.044
0.0076,0.0444
0.007733333333333333,0.0444
0.007733333333333333,0.046
0.008,0.046
0.008,0.0492
0.008133333333333333,0.0492
0.008133333333333333,0.0496
0.008266666666666667,0.0496
0.008266666666666667,0.05
0.008533333333333334,0.05
0.008533333333333334,0.0504
0.008666666666666666,0.0504
0.008666666666666666,0.0512
0.008933333333333333,0.0512
0.008933333333333333,0.0524
0.009066666666666667,0.0524
0.009066666666666667,0.0532
0.0092,0.0532
0.0092,0.054
0.009466666666666667,0.054
0.009466666666666667,0.0564
0.009733333333333333,0.0564
0.009733333333333333,0.0568
0.009866666666666666,0.0568
0.009866666666666666,0.0572
0.01,0.0572
0.01,0.0608
0.010133333333333333,0.0608
0.010133333333333333,0.0632
0.0104,0.0632
0.0104,0.0656
0.010533333333333334,0.0656
0.010533333333333334,0.0664
0.010666666666666666,0.0664
0.010666666666666666,0.0676
0.0108,0.0676
0.0108,0.0692
0.010933333333333333,0.0692
0.010933333333333333,0.07
0.011066666666666667,0.07
0.011066666666666667,0.0704
0.0112,0.0704
0.0112,0.0712
0.011466666666666667,0.0712
0.011466666666666667,0.076
0.0116,0.076
0.0116,0.0764
0.011733333333333333,0.0764
0.011733333333333333,0.0772
0.011866666666666666,0.0772
0.011866666666666666,0.0776
0.012133333333333333,0.0776
0.012133333333333333,0.0792
0.012266666666666667,0.0792
0.012266666666666667,0.0796
0.0124,0.0796
0.0124,0.08
0.012933333333333333,0.08
0.012933333333333333,0.082
0.013066666666666667,0.082
0.013066666666666667,0.0836
0.0132,0.0836
0.0132,0.084
0.013466666666666667,0.084
0.013466666666666667,0.0852
0.013733333333333334,0.0852
0.013733333333333334,0.0868
0.013866666666666666,0.0868
0.013866666666666666,0.0876
0.014,0.0876
0.014,0.0896
0.014266666666666667,0.0896
0.014266666666666667,0.0904
0.0144,0.0904
0.0144,0.0932
0.014533333333333334,0.0932
0.014533333333333334,0.0956
0.014666666666666666,0.0956
0.014666666666666666,0.098
0.0148,0.098
0.0148,0.0984
0.014933333333333333,0.0984
0.014933333333333333,0.1032
0.0152,0.1032
0.0152,0.104
0.015333333333333332,0.104
0.015333333333333332,0.1044
0.015466666666666667,0.1044
0.015466666666666667,0.1056
0.0156,0.1056
0.0156,0.106
0.015866666666666668,0.106
0.015866666666666668,0.1072
0.016,0.1072
0.016,0.1076
0.016266666666666665,0.1076
0.016266666666666665,0.1084
0.0164,0.1084
0.0164,0.1096
0.016533333333333334,0.1096
0.016533333333333334,0.1104
0.016933333333333335,0.1104
0.016933333333333335,0.1116
0.017066666666666667,0.1116
0.017066666666666667,0.1124
0.0172,0.1124
0.0172,0.1132
0.017333333333333333,0.1132
0.017333333333333333,0.114
0.017466666666666665,0.114
0.017466666666666665,0.1152
0.0176,0.1152
0.0176,0.116
0.017866666666666666,0.116
0.017866666666666666,0.1168
0.018,0.1168
0.018,0.1176
0.018266666666666667,0.1176
0.018266666666666667,0.1188
0.018533333333333332,0.1188
0.018533333333333332,0.1192
0.018666666666666668,0.1192
0.018666666666666668,0.1196
0.0188,0.1196
0.0188,0.12
0.018933333333333333,0.12
