fpr,tpr,_
0.0,0.0,1.724093624047113
0.0,0.0004,0.7240936240471131
0.00013333333333333334,0.0004,0.7143903434188744
0.00013333333333333334,0.0028,0.6815982440125007
0.0002666666666666667,0.0028,0.6801402479175545
0.0002666666666666667,0.0036,0.6722848713164779
0.0005333333333333334,0.0036,0.6682621941711355
0.0005333333333333334,0.0044,0.6547797189226227
0.0006666666666666666,0.0044,0.6543457169261343
0.0006666666666666666,0.0056,0.6487344626861933
0.0008,0.0056,0.6464491710991461
0.0008,0.006,0.6463363403930238
0.0009333333333333333,0.006,0.6418956174722276
0.0009333333333333333,0.0072,0.6329163202920706
0.0012,0.0072,0.6320233434807393
0.0012,0.0076,0.6303194678860362
0.0013333333333333333,0.0076,0.6291531770182889
0.0013333333333333333,0.0084,0.6275774712033259
0.0014666666666666667,0.0084,0.6244297200463133
0.0014666666666666667,0.01,0.6192577382192588
0.0017333333333333333,0.01,0.6124055933488773
0.0017333333333333333,0.0104,0.6093555589810068
0.0018666666666666666,0.0104,0.6083449198461448
0.0018666666666666666,0.0108,0.6067909340304962
0.0021333333333333334,0.0108,0.6035575827257296
0.0021333333333333334,0.0116,0.6022853935926251
0.002533333333333333,0.0116,0.5989055716338639
0.002533333333333333,0.012,0.5982439721947094
0.0026666666666666666,0.012,0.5978713462877929
0.0026666666666666666,0.0132,0.5936861420865346
0.0028,0.0132,0.5935569304160551
0.0028,0.0136,0.5934161951079648
0.0030666666666666668,0.0136,0.5930463081880033
0.0030666666666666668,0.0152,0.5828741941731405
0.0033333333333333335,0.0152,0.5811209827620085
0.0033333333333333335,0.016,0.5775227131983147
0.0036,0.016,0.5766302442210425
0.0036,0.0164,0.5765268003828667
0.0037333333333333333,0.0164,0.5727216334028997
0.0037333333333333333,0.0168,0.5709690611832077
0.0038666666666666667,0.0168,0.5705723042753345
0.0038666666666666667,0.0172,0.5675791500385189
0.004,0.0172,0.5668256405522688
0.004,0.018,0.5636890203976362
0.004533333333333334,0.018,0.5613813192631395
0.004533333333333334,0.0192,0.5602113871424923
0.0048,0.0192,0.5574829045138996
0.0048,0.0204,0.5561182505542578
0.004933333333333333,0.0204,0.5555371497142156
0.004933333333333333,0.0212,0.5549117156438385
0.005066666666666666,0.0212,0.5546387090555609
0.005066666666666666,0.0228,0.5529710237209109
0.0054666666666666665,0.0228,0.5522408146645048
0.0054666666666666665,0.024,0.5507128416660549
0.0056,0.024,0.5506309708134963
0.0056,0.0244,0.550503808911207
0.005866666666666667,0.0244,0.54928676662904
0.005866666666666667,0.0252,0.5489612503281971
0.006,0.0252,0.5487711089439234
0.006,0.0268,0.5461685335379157
0.0064,0.0268,0.5449660661209664
0.0064,0.0284,0.5424686446904196
0.006666666666666667,0.0284,0.5410822767056552
0.006666666666666667,0.0288,0.5395737563085246
0.0068,0.0288,0.5388716757403654
0.0068,0.0292,0.5358429351680684
0.007066666666666666,0.0292,0.5355046863119982
0.007066666666666666,0.0296,0.5354577415819823
0.0072,0.0296,0.5343493197920758
0.0072,0.0304,0.533553840980458
0.007466666666666667,0.0304,0.531486890186104
0.007466666666666667,0.0308,0.5313357474180951
0.008,0.0308,0.5300916275598699
0.008,0.0312,0.5299806753166422
0.008133333333333333,0.0312,0.5299728250410299
0.008133333333333333,0.0324,0.5294139409394781
0.0084,0.0324,0.5284308814536717
0.0084,0.0348,0.5242441859995007
0.008533333333333334,0.0348,0.523383800243883
0.008533333333333334,0.0356,0.5220597648025765
0.0088,0.0356,0.5217976163065017
0.0088,0.036,0.5217881054925756
0.009066666666666667,0.036,0.5214029978648343
0.009066666666666667,0.0368,0.5199255307751567
0.0092,0.0368,0.5188239551536015
0.0092,0.0372,0.5184773424044079
0.009466666666666667,0.0372,0.5180300068556152
0.009466666666666667,0.0376,0.5180202588563021
0.01,0.0376,0.5166043214518014
0.01,0.0388,0.5156771646977306
0.010133333333333333,0.0388,0.5156282752672496
0.010133333333333333,0.0392,0.5155797366115074
0.010266666666666667,0.0392,0.5153361758722584
0.010266666666666667,0.0424,0.5129266377680641
0.0104,0.0424,0.512255360471292
0.0104,0.0428,0.5120292837585475
0.010533333333333334,0.0428,0.5119205251009549
0.010533333333333334,0.0432,0.5118992980130243
0.010666666666666666,0.0432,0.5117616808514284
0.010666666666666666,0.0448,0.510543993978128
0.0108,0.0448,0.5098087490035097
0.0108,0.046,0.5087278842684491
0.010933333333333333,0.046,0.5087215463006689
0.010933333333333333,0.0464,0.5085477018751373
0.011066666666666667,0.0464,0.5082153031876024
0.011066666666666667,0.0476,0.5076110984078688
0.0116,0.0476,0.5060927356422917
0.0116,0.0484,0.5056940707022812
0.011733333333333333,0.0484,0.5049200732617191
0.011733333333333333,0.0492,0.5047007326280696
0.012133333333333333,0.0492,0.5037235953047923
0.012133333333333333,0.0496,0.5034791021406025
0.0124,0.0496,0.502871745876131
0.0124,0.0504,0.5024535850854385
0.012533333333333334,0.0504,0.5019207371173336
0.012533333333333334,0.0512,0.5015036690200496
0.012666666666666666,0.0512,0.5010127074655107
0.012666666666666666,0.052,0.4999862499137297
0.013066666666666667,0.052,0.49880898743126073
0.013066666666666667,0.0524,0.498682563133208
0.0132,0.0524,0.4985923638253382
0.0132,0.0536,0.49821617931307915
