fpr,tpr,_
0.0,0.0,1.7393223939417888
0.00013333333333333334,0.0,0.7393223939417888
0.0006666666666666666,0.0,0.7238982767415705
0.0006666666666666666,0.0004,0.7225191997770902
0.0008,0.0004,0.7208724639271039
0.0008,0.0016,0.7130497565901226
0.0009333333333333333,0.0016,0.7126880179555435
0.0009333333333333333,0.002,0.7116503296689
0.0012,0.002,0.7114297310600856
0.0012,0.0032,0.7097356799265602
0.0013333333333333333,0.0032,0.7089330786008635
0.0013333333333333333,0.0056,0.7071567860176755
0.0017333333333333333,0.0056,0.7058318258597049
0.0017333333333333333,0.006,0.7056617508224715
0.002,0.006,0.7053139133278342
0.002,0.0064,0.7045593435935885
0.0021333333333333334,0.0064,0.7037704831228853
0.0021333333333333334,0.0068,0.703390973499402
0.0026666666666666666,0.0068,0.7023467521091061
0.0026666666666666666,0.0076,0.7021281936571402
0.0029333333333333334,0.0076,0.7013025445656825
0.0029333333333333334,0.008,0.7006016729142274
0.0030666666666666668,0.008,0.7004978211673787
0.0030666666666666668,0.01,0.6963359774777157
0.0032,0.01,0.6959714109100988
0.0032,0.012,0.6942823655612488
0.0034666666666666665,0.012,0.6927679253869684
0.0034666666666666665,0.0124,0.6925198065619281
0.0036,0.0124,0.6924241250993739
0.0036,0.0128,0.6916537176857882
0.0038666666666666667,0.0128,0.6905751220316513
0.0038666666666666667,0.0132,0.6905545058687378
0.004,0.0132,0.6888296335459282
0.004,0.0136,0.6887965732510767
0.0041333333333333335,0.0136,0.6885048180913225
0.0041333333333333335,0.0144,0.6884465861891983
0.0044,0.0144,0.6870412197168765
0.0044,0.0148,0.6858877076871212
0.004533333333333334,0.0148,0.6857875145283652
0.004533333333333334,0.0152,0.6855290863949455
0.004666666666666667,0.0152,0.6838789834553607
0.004666666666666667,0.0156,0.6831740660250555
0.004933333333333333,0.0156,0.6830092662595534
0.004933333333333333,0.0172,0.6827064508048184
0.005333333333333333,0.0172,0.6794197314595659
0.005333333333333333,0.018,0.6756732780580701
0.0054666666666666665,0.018,0.6755835426855888
0.0054666666666666665,0.02,0.6716705492585814
0.005733333333333333,0.02,0.6708814222043079
0.005733333333333333,0.0204,0.6699651424869302
0.005866666666666667,0.0204,0.6684697537554294
0.005866666666666667,0.0224,0.6657532787328185
0.006,0.0224,0.6650643212092623
0.006,0.0236,0.6636340660364275
0.006266666666666667,0.0236,0.6634488601832517
0.006266666666666667,0.024,0.6628195690355888
0.0064,0.024,0.6616576582724405
0.0064,0.0244,0.6609210350989014
0.006533333333333334,0.0244,0.6608190748138492
