fpr,tpr,_
0.0,0.0,1.7271566302502843
0.00013333333333333334,0.0,0.7271566302502844
0.0002666666666666667,0.0,0.7168192276019515
0.0002666666666666667,0.0004,0.7151548621708753
0.0004,0.0004,0.7150485862721234
0.0004,0.0016,0.7088468852932593
0.0005333333333333334,0.0016,0.7045615186358818
0.0005333333333333334,0.002,0.7034204135494001
0.0006666666666666666,0.002,0.7021303481756909
0.0006666666666666666,0.0032,0.7005884610003984
0.0008,0.0032,0.7002097067141412
0.0008,0.004,0.6987570916095226
0.0009333333333333333,0.004,0.6973905056201998
0.0009333333333333333,0.0044,0.6952810807580376
0.0010666666666666667,0.0044,0.6952770588459184
0.0010666666666666667,0.0048,0.6941031547655355
0.0013333333333333333,0.0048,0.6913410001994961
0.0013333333333333333,0.0052,0.6903182284778964
0.0014666666666666667,0.0052,0.6895381088523104
0.0014666666666666667,0.0056,0.6891040539369432
0.0016,0.0056,0.6888243448805882
0.0016,0.0064,0.687439873429522
0.0017333333333333333,0.0064,0.6869019192568556
0.0017333333333333333,0.0068,0.686721044109278
0.0018666666666666666,0.0068,0.6866035903364635
0.0018666666666666666,0.0088,0.6834450617635617
0.002,0.0088,0.6823665967757492
0.002,0.0096,0.6819789835073975
0.0021333333333333334,0.0096,0.6816872573854253
0.0021333333333333334,0.01,0.6812581974861989
0.002266666666666667,0.01,0.6807303473695497
0.002266666666666667,0.0104,0.6804856446815278
0.002533333333333333,0.0104,0.6796510586605007
0.002533333333333333,0.012,0.6785427928642801
0.0028,0.012,0.677683929296235
0.0028,0.0124,0.6753597334712208
0.0032,0.0124,0.6741850208263926
0.0032,0.0152,0.6715931786036683
0.0033333333333333335,0.0152,0.6711290663222987
0.0033333333333333335,0.0156,0.6710011512792182
0.0034666666666666665,0.0156,0.6709114601234648
0.0034666666666666665,0.0168,0.6696145684829652
0.0037333333333333333,0.0168,0.6687104402507911
0.0037333333333333333,0.0192,0.6674909596404305
0.0038666666666666667,0.0192,0.6673229381678211
0.0038666666666666667,0.0204,0.666916717161967
0.0041333333333333335,0.0204,0.6666152008960682
0.0041333333333333335,0.0228,0.6656591270110022
0.004266666666666667,0.0228,0.6656371728486705
0.004266666666666667,0.0244,0.6649207748349476
0.0044,0.0244,0.6634100848695332
0.0044,0.0256,0.6630803831002886
0.004533333333333334,0.0256,0.6629459338011862
0.004533333333333334,0.0268,0.662068923001206
0.004666666666666667,0.0268,0.6617123229968795
0.004666666666666667,0.0272,0.6605821132456936
0.004933333333333333,0.0272,0.659625122329071
0.004933333333333333,0.0284,0.6578946247414242
0.005066666666666666,0.0284,0.6565415219330669
0.005066666666666666,0.0288,0.6565178083386483
0.0052,0.0288,0.6561364952149963
0.0052,0.03,0.6557367287365807
0.0054666666666666665,0.03,0.6556394659175485
0.0054666666666666665,0.0308,0.6553274400402122
0.0056,0.0308,0.6544390577108902
0.0056,0.0316,0.6538234598597601
0.005733333333333333,0.0316,0.6534142118565566
0.005733333333333333,0.0328,0.651434893617024
0.006,0.0328,0.6508055441841911
0.006,0.0344,0.6495687911995637
0.0061333333333333335,0.0344,0.6488905906528124
0.0061333333333333335,0.0348,0.6488727930014443
0.006266666666666667,0.0348,0.6487607898487566
0.006266666666666667,0.0372,0.6475334438286361
0.006533333333333334,0.0372,0.6467588572408732
0.006533333333333334,0.0404,0.6428280693743562
0.006666666666666667,0.0404,0.6411165579303658
0.006666666666666667,0.0428,0.6388349275216676
0.0068,0.0428,0.6379116668920297
0.0068,0.0436,0.636875639155168
0.006933333333333333,0.0436,0.6365570058580061
0.006933333333333333,0.0464,0.6345900576442182
0.007066666666666666,0.0464,0.6342069901003516
0.007066666666666666,0.0468,0.6341359444463869
0.0072,0.0468,0.6337153584618159
0.0072,0.0472,0.6333307907577898
0.007333333333333333,0.0472,0.6332114873469082
0.007333333333333333,0.0476,0.6325022850197263
0.007733333333333333,0.0476,0.6307905963140764
0.007733333333333333,0.0484,0.6302789756267384
0.008,0.0484,0.6296256775068205
0.008,0.0488,0.6292881681327858
0.0084,0.0488,0.6286960871178235
0.0084,0.0496,0.6283672036928067
0.008666666666666666,0.0496,0.627800148620761
0.008933333333333333,0.0496,0.6277955037047348
0.008933333333333333,0.0504,0.6271574013569153
0.009066666666666667,0.0504,0.6263659484819822
0.009066666666666667,0.0508,0.6255505304848817
0.0092,0.0508,0.6255332768595617
0.0092,0.0532,0.624140547821645
0.009466666666666667,0.0532,0.6237553780133784
0.009466666666666667,0.054,0.6233264351625859
0.009866666666666666,0.054,0.622561737084642
0.009866666666666666,0.0556,0.6215519542235943
0.01,0.0556,0.6214764431936025
0.01,0.0576,0.620354651124542
0.010533333333333334,0.0576,0.6186331501529471
