fpr,tpr,_
0.0,0.0,1.9999703419848873
0.0,0.0004,0.9999703419848872
0.0,0.0028,0.9996941900040255
0.00013333333333333334,0.0028,0.999661258504601
0.00013333333333333334,0.0052,0.9994330627125503
0.0004,0.0052,0.9993667561307232
0.0004,0.0068,0.9992983406908317
0.0005333333333333334,0.0068,0.9992962306572643
0.0005333333333333334,0.0104,0.998977551665227
0.0006666666666666666,0.0104,0.9989456067872022
0.0006666666666666666,0.0112,0.9988874716843188
0.0008,0.0112,0.99883280912934
0.0008,0.0144,0.9984140516985699
0.0009333333333333333,0.0144,0.9983837608327718
0.0009333333333333333,0.0156,0.9983309270078063
0.0010666666666666667,0.0156,0.9983247537357278
0.0010666666666666667,0.0164,0.9982079888189911
0.0012,0.0164,0.9981658222573236
0.0012,0.0172,0.9980718060327962
0.0013333333333333333,0.0172,0.9980127264817004
0.0013333333333333333,0.02,0.9977284324218791
0.0016,0.02,0.9976326020176066
0.0016,0.0204,0.9976153255440353
0.0017333333333333333,0.0204,0.9974835276012084
0.0017333333333333333,0.0216,0.9973373379527855
0.0018666666666666666,0.0216,0.9972509889771687
0.0018666666666666666,0.0224,0.9971260722106615
0.002,0.0224,0.996858830549577
0.002,0.0244,0.996732394312247
0.0021333333333333334,0.0244,0.9966704802341487
0.0021333333333333334,0.0252,0.9965590382826812
0.002266666666666667,0.0252,0.9965094773182314
0.002266666666666667,0.0256,0.9964737287374186
0.0024,0.0256,0.9962598015559783
0.0024,0.026,0.9961464158621427
0.002533333333333333,0.026,0.9961392414374537
0.002533333333333333,0.0264,0.9961169117866826
0.0029333333333333334,0.0264,0.9958786607473635
0.0029333333333333334,0.0272,0.9958136924721905
0.0030666666666666668,0.0272,0.9957993946015076
0.0030666666666666668,0.0284,0.9955706924190665
0.0032,0.0284,0.995562675178262
0.0032,0.0288,0.9952753478145029
0.0034666666666666665,0.0288,0.9951162991779191
0.0034666666666666665,0.0312,0.9947200015640909
0.0036,0.0312,0.9946929011536112
0.0036,0.0332,0.9941330256891039
0.0037333333333333333,0.0332,0.9940866964612893
0.0037333333333333333,0.0344,0.9939023334274247
0.004666666666666667,0.0344,0.9932253930368544
0.004666666666666667,0.036,0.9928775891171593
0.004933333333333333,0.036,0.9928455178697865
0.004933333333333333,0.0368,0.9927880773805435
0.005066666666666666,0.0368,0.9927674626226555
0.005066666666666666,0.0372,0.9927067188362175
0.005333333333333333,0.0372,0.9924979974156606
0.005333333333333333,0.038,0.9921566514450062
0.0054666666666666665,0.038,0.9919993014870065
0.0054666666666666665,0.0392,0.9917689867579758
0.0056,0.0392,0.9916741570699333
0.0056,0.0396,0.9916271447177447
0.005733333333333333,0.0396,0.9914927319078305
0.005733333333333333,0.0404,0.9914113889140447
0.006266666666666667,0.0404,0.9911973038294902
0.006266666666666667,0.0412,0.9908387584994856
0.0064,0.0412,0.9907551117817975
0.0064,0.042,0.9903336775073336
0.006933333333333333,0.042,0.9898109548528883
0.006933333333333333,0.0428,0.9896391105216572
0.0072,0.0428,0.9894005775271546
0.0072,0.0432,0.9890339490208637
0.007333333333333333,0.0432,0.98897402888594
0.007333333333333333,0.0444,0.9885830052848571
0.007466666666666667,0.0444,0.9885811537071042
0.007466666666666667,0.0464,0.9879033769420043
0.0076,0.0464,0.9878260348953195
0.0076,0.0492,0.9865646730737809
0.007733333333333333,0.0492,0.9862364123295609
0.007733333333333333,0.05,0.9859299136485506
0.008133333333333333,0.05,0.9856977008895578
0.008133333333333333,0.0524,0.9852136064724508
0.0084,0.0524,0.9850186445390864
0.0084,0.0548,0.9837453177772341
0.008533333333333334,0.0548,0.9834275596039174
0.008533333333333334,0.0568,0.982784234398128
0.0088,0.0568,0.9825400928035732
0.0088,0.0576,0.9824951547222505
0.008933333333333333,0.0576,0.9823357675646361
0.008933333333333333,0.058,0.9821522094414858
0.009066666666666667,0.058,0.9821269032429648
0.009066666666666667,0.0588,0.9818868782370673
0.009333333333333334,0.0588,0.9816004659424383
0.009333333333333334,0.06,0.9810315044116151
0.009466666666666667,0.06,0.9809340011512409
0.009466666666666667,0.0608,0.9804654133307945
0.0096,0.0608,0.980138879016603
0.0096,0.0616,0.9801072945215065
0.009733333333333333,0.0616,0.9800998670461005
0.009733333333333333,0.062,0.9799616464397458
0.01,0.062,0.9796960002666454
0.01,0.0624,0.9796928706855058
0.0104,0.0624,0.9791635390914325
0.0104,0.0636,0.9788291470458563
0.010533333333333334,0.0636,0.9784431690178645
0.010533333333333334,0.064,0.9783479304118068
0.010666666666666666,0.064,0.978055523478745
0.010666666666666666,0.0652,0.9773230233731234
0.011066666666666667,0.0652,0.9772278554136318
0.011066666666666667,0.066,0.9771185273416696
0.0112,0.066,0.9770843884125445
0.0112,0.0672,0.9767497906913412
0.011333333333333334,0.0672,0.9763460098928399
0.011333333333333334,0.0688,0.976008703803085
0.011466666666666667,0.0688,0.9759032589416103
0.011466666666666667,0.0704,0.9748706875365521
0.0116,0.0704,0.9746367336046141
0.0116,0.072,0.9740090375923491
0.011733333333333333,0.072,0.9738274779682335
0.011733333333333333,0.0728,0.9737708909444334
0.011866666666666666,0.0728,0.9737049277951244
0.011866666666666666,0.0736,0.9735355363864984
0.012,0.0736,0.9735237712854379
0.012,0.0744,0.9732490180064268
0.012133333333333333,0.0744,0.9727043851847964
0.012133333333333333,0.0748,0.9727002108042178
0.0124,0.0748,0.9725810732605632
0.0124,0.0752,0.972474382470288
0.0128,0.0752,0.9719077701392177
0.0128,0.076,0.9717177665421559
0.013066666666666667,0.076,0.9715168131009698
0.013066666666666667,0.0768,0.971302635747111
0.0132,0.0768,0.9712632504589919
0.0132,0.0776,0.9709235591524761
0.013333333333333334,0.0776,0.9708426602385173
0.013333333333333334,0.0788,0.9695653464335122
0.013466666666666667,0.0788,0.9694014628124896
0.013466666666666667,0.0796,0.9693692863970728
0.0136,0.0796,0.9691918587039046
0.0136,0.08,0.9689453967317608
0.013733333333333334,0.08,0.9688936212493131
0.013733333333333334,0.0808,0.9684546391581155
0.014266666666666667,0.0808,0.966898786239223
0.014266666666666667,0.0812,0.9663999476496212
0.0144,0.0812,0.9660772691186672
0.0144,0.082,0.965520714944468
0.014666666666666666,0.082,0.9653647525977822
0.014666666666666666,0.0828,0.9650146788769395
0.015066666666666667,0.0828,0.9642180162625478
0.015066666666666667,0.0832,0.9640115616865194
0.0152,0.0832,0.9640025819455216
0.0152,0.0836,0.9639802449156024
0.015333333333333332,0.0836,0.9638295947703163
0.015333333333333332,0.086,0.9623787635699339
0.015466666666666667,0.086,0.9622941964919868
0.015466666666666667,0.0888,0.9615676647107421
0.0156,0.0888,0.9613867746424635
0.0156,0.0896,0.961159899937182
0.015733333333333332,0.0896,0.9606529044011708
0.015733333333333332,0.092,0.9594780080988147
0.016133333333333333,0.092,0.9591633814737772
0.016133333333333333,0.0932,0.9587815923978035
0.0164,0.0932,0.9582895865563832
0.0164,0.0936,0.9582216785426414
0.016533333333333334,0.0936,0.9582027565138059
0.016533333333333334,0.094,0.9580821743981873
0.0168,0.094,0.9575289508688603
0.0168,0.0964,0.9566888682125431
0.016933333333333335,0.0964,0.9565120046874034
0.016933333333333335,0.0976,0.9561484327415107
0.017066666666666667,0.0976,0.9561347957252933
0.017066666666666667,0.098,0.9557014081039347
0.017333333333333333,0.098,0.9553358057969406
0.017333333333333333,0.0992,0.9550257235419813
0.017466666666666665,0.0992,0.9548567910252677
0.017466666666666665,0.0996,0.9545918212226879
0.017733333333333334,0.0996,0.954069813647107
0.017733333333333334,0.1004,0.9536916164651845
0.0184,0.1004,0.9531776156425561
0.0184,0.1008,0.9524939396597873
0.018533333333333332,0.1008,0.9523907707875261
0.018533333333333332,0.1016,0.9516122311516583
0.018666666666666668,0.1016,0.951500942411065
0.018666666666666668,0.1028,0.9511125525420767
0.0188,0.1028,0.9507652952886992
0.0188,0.104,0.9502139363782636
0.018933333333333333,0.104,0.9495774022062743
0.018933333333333333,0.1048,0.9491913263047611
0.0192,0.1048,0.9485721196888529
0.0192,0.1064,0.9467252234705115
0.019333333333333334,0.1064,0.9466227145025901
0.019333333333333334,0.108,0.946189785708357
0.019466666666666667,0.108,0.9461149753323043
0.019466666666666667,0.1084,0.9451301477217661
0.0196,0.1084,0.9446888218496291
0.0196,0.1088,0.9442541931916486
0.019866666666666668,0.1088,0.943869608801517
0.019866666666666668,0.1096,0.9433799045113033
0.02,0.1096,0.9433582800941591
0.02,0.1128,0.9414253335352273
0.020266666666666665,0.1128,0.9410404738044429
0.020266666666666665,0.1132,0.9407228549352711
0.0204,0.1132,0.9402854349718137
0.0204,0.114,0.9400849655921787
0.020533333333333334,0.114,0.9395403001004158
0.020533333333333334,0.1144,0.9394863671011576
0.020666666666666667,0.1144,0.9394831643176048
0.020666666666666667,0.1148,0.939303424235334
0.020933333333333335,0.1148,0.9391779601452184
0.020933333333333335,0.1156,0.9384515492046884
0.021066666666666668,0.1156,0.9383440480755918
0.021066666666666668,0.1168,0.9377434902932954
0.0212,0.1168,0.9375107951598409
0.0212,0.1172,0.9375002684145691
0.021333333333333333,0.1172,0.9374611641626384
0.021333333333333333,0.1184,0.9368042209555943
0.021733333333333334,0.1184,0.936013175900136
0.021733333333333334,0.1212,0.9337863632699417
0.021866666666666666,0.1212,0.9336755992178543
0.021866666666666666,0.1216,0.933325886691698
0.022133333333333335,0.1216,0.932951967824723
0.022133333333333335,0.1236,0.9318175257430275
0.0224,0.1236,0.931513320887526
0.0224,0.1244,0.9312507666015125
0.022533333333333332,0.1244,0.931017280795143
0.022533333333333332,0.1248,0.9307115073700137
0.02266666666666667,0.1248,0.9306155579665327
0.02266666666666667,0.1272,0.9280210201621706
0.0228,0.1272,0.9279608504039226
0.0228,0.128,0.9276524062895972
0.023066666666666666,0.128,0.9272122489146073
0.023066666666666666,0.1288,0.9266574569624094
0.023333333333333334,0.1288,0.9265007321685548
0.023333333333333334,0.1296,0.9257482295199619
0.023466666666666667,0.1296,0.9256331856442145
0.023466666666666667,0.1304,0.9251735055227123
0.0236,0.1304,0.9248996904320962
0.0236,0.132,0.9237204903468575
0.023866666666666668,0.132,0.9234727526833679
0.023866666666666668,0.1324,0.9232860246183818
0.024,0.1324,0.9226265914733535
0.024,0.1332,0.9222037194063549
0.024266666666666666,0.1332,0.9212008660357208
0.024266666666666666,0.1336,0.9206715602642975
0.0244,0.1336,0.920529696963556
0.0244,0.1344,0.9203101515037986
0.024666666666666667,0.1344,0.9188198552603299
0.024666666666666667,0.1348,0.9183660645511877
0.025066666666666668,0.1348,0.9174045165247058
0.025066666666666668,0.1356,0.9172052472865267
0.025333333333333333,0.1356,0.9158160412095345
0.025333333333333333,0.136,0.9155985781404834
0.025466666666666665,0.136,0.9147039107942436
0.025466666666666665,0.1368,0.9144400024201594
0.0256,0.1368,0.9143741928235473
0.0256,0.1372,0.9142979975553103
0.025866666666666666,0.1372,0.9135587636992241
0.025866666666666666,0.1376,0.9132114158983843
0.026266666666666667,0.1376,0.9118159318971303
0.026266666666666667,0.1388,0.9109507364551197
0.0264,0.1388,0.9106481922421747
0.0264,0.14,0.9094498978818301
