fpr,tpr,_
0.0,0.0,2.0
0.0688,0.202,1.0
0.07293333333333334,0.22,0.9999999999999716
0.07373333333333333,0.222,0.9999999999999432
0.07426666666666666,0.2256,0.9999999999999147
0.0752,0.23,0.9999999999998863
0.07693333333333334,0.234,0.9999999999998579
0.07813333333333333,0.236,0.9999999999998295
0.0788,0.2384,0.999999999999801
0.07933333333333334,0.2408,0.9999999999997726
0.0796,0.2416,0.9999999999997442
0.08026666666666667,0.2424,0.9999999999997158
0.0804,0.2436,0.9999999999996874
0.0812,0.2452,0.9999999999996305
0.08133333333333333,0.2464,0.9999999999996021
0.08186666666666667,0.2468,0.9999999999995737
0.082,0.2476,0.9999999999995453
0.08226666666666667,0.248,0.9999999999995168
0.08253333333333333,0.248,0.9999999999994884
0.08266666666666667,0.248,0.99999999999946
0.08266666666666667,0.2484,0.9999999999994316
0.0828,0.2484,0.9999999999994031
0.0828,0.2492,0.9999999999993179
0.08293333333333333,0.25,0.999999999999261
0.08306666666666666,0.2504,0.9999999999992326
0.0832,0.2512,0.9999999999992042
0.0832,0.2516,0.9999999999991758
0.08333333333333333,0.252,0.9999999999991473
0.08386666666666667,0.2524,0.9999999999991189
0.08426666666666667,0.2528,0.9999999999990905
0.0848,0.2532,0.9999999999990621
0.0848,0.2536,0.9999999999990052
0.08506666666666667,0.2548,0.9999999999989768
0.08506666666666667,0.2552,0.9999999999989484
0.0852,0.256,0.99999999999892
0.0852,0.2564,0.9999999999988916
0.0852,0.2576,0.9999999999988631
0.08546666666666666,0.2584,0.9999999999988347
0.086,0.2588,0.9999999999988063
0.08613333333333334,0.2588,0.9999999999987779
0.0864,0.2592,0.9999999999987494
0.08653333333333334,0.2592,0.999999999998721
0.08666666666666667,0.2596,0.9999999999986926
0.08706666666666667,0.2604,0.9999999999986642
0.08733333333333333,0.2608,0.9999999999986358
0.08746666666666666,0.2612,0.9999999999986073
0.08746666666666666,0.262,0.9999999999985505
0.0876,0.2624,0.9999999999985221
0.088,0.2624,0.9999999999982094
0.08813333333333333,0.2628,0.9999999999981242
0.0884,0.2628,0.9999999999980957
0.0884,0.2632,0.9999999999980673
0.08853333333333334,0.2636,0.9999999999980105
0.08866666666666667,0.2636,0.9999999999979821
0.08893333333333334,0.2636,0.9999999999979536
