fpr,tpr,_
0.0,0.0,1.9949501592331262
0.0,0.0004,0.9949501592331262
0.0,0.0028,0.9910670448878394
0.00013333333333333334,0.0028,0.9910382064121378
0.00013333333333333334,0.0044,0.9904997021495727
0.0004,0.0044,0.9902167793006922
0.0004,0.0048,0.9901778144632186
0.0005333333333333334,0.0048,0.9901035640808421
0.0005333333333333334,0.0084,0.9884027888964276
0.0008,0.0084,0.9881914856519081
0.0008,0.0104,0.9872918347838887
0.0009333333333333333,0.0104,0.9872798848650459
0.0009333333333333333,0.0108,0.9872529405984566
0.0010666666666666667,0.0108,0.9870358831360664
0.0010666666666666667,0.012,0.9869091291272599
0.0012,0.012,0.9868107409615849
0.0012,0.014,0.986198976609431
0.0013333333333333333,0.014,0.9859940266701844
0.0013333333333333333,0.0144,0.9859287488414925
0.0014666666666666667,0.0144,0.9857965738753255
0.0014666666666666667,0.0148,0.9857390114650496
0.0016,0.0148,0.9857184689493026
0.0016,0.0172,0.984618343554084
0.0018666666666666666,0.0172,0.9841312476856167
0.0018666666666666666,0.0188,0.9835796983615916
0.002,0.0188,0.9833961107696493
0.002,0.0192,0.9831918970275334
0.0021333333333333334,0.0192,0.9830580618975605
0.0021333333333333334,0.0196,0.9830480730544878
0.002266666666666667,0.0196,0.9830124293774204
0.002266666666666667,0.02,0.9825607467190085
0.0024,0.02,0.9823623676362677
0.0024,0.0204,0.9823370948388074
0.002533333333333333,0.0204,0.9815710644568164
0.002533333333333333,0.0208,0.9807390525817782
0.0026666666666666666,0.0208,0.980512446665273
0.0026666666666666666,0.0212,0.9805018144005083
0.0028,0.0212,0.9800703908020952
0.0028,0.022,0.9799256417064153
0.0029333333333333334,0.022,0.9795783623281928
0.0029333333333333334,0.0224,0.9794896767512435
0.0030666666666666668,0.0224,0.9792990174387448
0.0030666666666666668,0.0232,0.9790392392793074
0.0032,0.0232,0.979036015171895
0.0032,0.024,0.9789484996117689
0.0034666666666666665,0.024,0.9788515415483355
0.0034666666666666665,0.0256,0.9782032400548313
0.004,0.0256,0.9772203536048281
0.004,0.0264,0.9770982581577551
0.0048,0.0264,0.9761058132190831
0.0048,0.0268,0.9761013417733074
0.0052,0.0268,0.9754626485214768
0.0052,0.0272,0.9752795692583878
0.005333333333333333,0.0272,0.9751444952630325
0.005333333333333333,0.0284,0.9749233791680647
0.0054666666666666665,0.0284,0.9744335032978287
0.0054666666666666665,0.0288,0.9743001793944313
0.005733333333333333,0.0288,0.9739690095965045
0.005733333333333333,0.0296,0.9737682848880745
0.005866666666666667,0.0296,0.9737204577515348
0.005866666666666667,0.03,0.9734186743588621
0.006266666666666667,0.03,0.9727284863978742
0.006266666666666667,0.0304,0.9726681531256114
0.0064,0.0304,0.9723271402543336
0.0064,0.032,0.9721032475050118
0.006533333333333334,0.032,0.9719276889682472
0.006533333333333334,0.0352,0.9710841316366291
0.006666666666666667,0.0352,0.9710674517572859
0.006666666666666667,0.0364,0.9706514451654582
0.0068,0.0364,0.9705258567763252
0.0068,0.0376,0.9703061185561995
0.006933333333333333,0.0376,0.9702344282940655
0.006933333333333333,0.038,0.9701276718559086
0.007066666666666666,0.038,0.9700745927261434
0.007066666666666666,0.0384,0.970012578307821
0.0072,0.0384,0.9699962913855432
0.0072,0.0392,0.9697822973052929
0.007466666666666667,0.0392,0.9693640360054341
0.007466666666666667,0.0396,0.9693183598505541
