fpr,tpr,_
0.0,0.0,1.9999958201417196
0.0,0.0004,0.9999958201417196
0.0,0.0016,0.9999412427916442
0.0002666666666666667,0.0016,0.9999272665542528
0.0002666666666666667,0.0044,0.9998966476136418
0.0004,0.0044,0.9998965881705817
0.0004,0.0052,0.9998835461885003
0.0005333333333333334,0.0052,0.9998832174487255
0.0005333333333333334,0.0076,0.9998574753955856
0.0006666666666666666,0.0076,0.9998558307331609
0.0006666666666666666,0.0104,0.9998120936520893
0.0009333333333333333,0.0104,0.99980880800844
0.0009333333333333333,0.012,0.9997956920326246
0.0012,0.012,0.9997826758582914
0.0012,0.0128,0.9997802872143922
0.0013333333333333333,0.0128,0.9997776835969933
0.0013333333333333333,0.014,0.9997584140947138
0.0014666666666666667,0.014,0.999756715587713
0.0014666666666666667,0.0164,0.9997306857834735
0.0016,0.0164,0.9997270267363029
0.0016,0.0168,0.9997242849092434
0.0017333333333333333,0.0168,0.9997239095644116
0.0017333333333333333,0.018,0.9997170022384635
0.0018666666666666666,0.018,0.9997130312304534
0.0018666666666666666,0.0184,0.999706960947837
0.002,0.0184,0.9996974998394335
0.002,0.0188,0.9996966722095496
0.0021333333333333334,0.0188,0.9996933926674041
0.0021333333333333334,0.0196,0.9996742606861941
0.0024,0.0196,0.9996608957140606
0.0024,0.02,0.999651511599416
0.002533333333333333,0.02,0.9996504924321749
0.002533333333333333,0.0216,0.9996350829466516
0.0028,0.0216,0.9996199736814195
0.0028,0.0232,0.9995968409764163
0.0030666666666666668,0.0232,0.9995701731226612
0.0030666666666666668,0.0252,0.9995409391879853
0.0032,0.0252,0.9995336941769779
0.0032,0.0264,0.9995220686641977
0.0034666666666666665,0.0264,0.9995102697788282
0.0034666666666666665,0.0268,0.9995095508339007
0.0036,0.0268,0.9995037561072793
0.0036,0.0272,0.9995032515899498
0.0038666666666666667,0.0272,0.999489002654623
0.0038666666666666667,0.0288,0.9994802066125825
0.004,0.0288,0.999477660186324
0.004,0.0312,0.9994390417828274
0.0041333333333333335,0.0312,0.9994263182874727
0.0041333333333333335,0.0316,0.9994159612043152
0.004666666666666667,0.0316,0.9994084361982977
0.004666666666666667,0.0328,0.9993897695194764
0.0048,0.0328,0.9993873217323831
0.0048,0.0332,0.9993863339581374
0.0052,0.0332,0.9993695783181161
0.0052,0.0352,0.9993329937682911
0.005333333333333333,0.0352,0.9993309498181457
0.005333333333333333,0.0364,0.9993225260466834
0.0054666666666666665,0.0364,0.9993225054756637
0.0054666666666666665,0.0368,0.9993201368391241
0.0056,0.0368,0.9993183890015498
0.0056,0.0384,0.9992829494799412
0.005733333333333333,0.0384,0.9992752612307566
0.005733333333333333,0.0404,0.9992557593371811
0.005866666666666667,0.0404,0.9992523434141419
0.005866666666666667,0.042,0.9991876938766817
0.0061333333333333335,0.042,0.9991526019890675
0.0061333333333333335,0.0432,0.9990805226720766
0.006266666666666667,0.0432,0.9990751060516392
0.006266666666666667,0.044,0.9990559314718201
0.006533333333333334,0.044,0.9990506556178491
0.006533333333333334,0.0468,0.9989998343728803
0.0068,0.0468,0.998994517223207
0.0068,0.0484,0.998936771249731
0.006933333333333333,0.0484,0.9989263364215558
0.006933333333333333,0.0488,0.9989240425906236
0.0072,0.0488,0.9989171354820415
0.0072,0.0492,0.9989123651934317
0.007333333333333333,0.0492,0.9988942570988798
0.007333333333333333,0.05,0.9988580442403983
0.007733333333333333,0.05,0.998833978298583
0.007733333333333333,0.0504,0.9988214453501584
0.007866666666666666,0.0504,0.9987670299861178
0.007866666666666666,0.0508,0.9987511255545591
0.008133333333333333,0.0508,0.9987081207167748
0.008133333333333333,0.0524,0.9986878990381844
0.0084,0.0524,0.9986740872792249
0.0084,0.0528,0.9986673903444147
0.008666666666666666,0.0528,0.9986603742932477
0.008666666666666666,0.054,0.9986095883322386
0.0088,0.054,0.9985525608136183
0.0088,0.0544,0.9985452586819332
0.0092,0.0544,0.9984734886401457
0.0092,0.0556,0.9984608636539578
0.009466666666666667,0.0556,0.9983918939424491
0.009466666666666667,0.056,0.9983584999333055
0.0096,0.056,0.9983328899676643
0.0096,0.0564,0.9983108651057139
0.009733333333333333,0.0564,0.9982790805475089
0.009733333333333333,0.0576,0.9982515412175057
0.01,0.0576,0.9982458303096408
0.01,0.058,0.9982389360051864
0.010533333333333334,0.058,0.9982078084752234
0.010533333333333334,0.0588,0.9982013791527391
0.010666666666666666,0.0588,0.9981785672108834
0.010666666666666666,0.0592,0.9981422657291594
0.0108,0.0592,0.9981327979788066
0.0108,0.06,0.9981064959129592
0.010933333333333333,0.06,0.9981047672203499
0.010933333333333333,0.0608,0.9980757370319733
