fpr,tpr,_
0.0,0.0,1.9999899918733375
0.0,0.0004,0.9999899918733374
0.0,0.0008,0.9999491035753314
0.00013333333333333334,0.0008,0.9999419099591208
0.00013333333333333334,0.0012,0.9999411393362386
0.0004,0.0012,0.9999223516406698
0.0004,0.0016,0.9999182196853817
0.0005333333333333334,0.0016,0.9999142521889648
0.0005333333333333334,0.002,0.9999079384590903
0.0008,0.002,0.9999054534381194
0.0008,0.0032,0.9998899668596075
0.0009333333333333333,0.0032,0.9998882661515542
0.0009333333333333333,0.0052,0.9998670884169142
0.0010666666666666667,0.0052,0.9998628976976857
0.0010666666666666667,0.0064,0.999855555859259
0.0014666666666666667,0.0064,0.9998460650988197
0.0014666666666666667,0.01,0.9998099264609288
0.0016,0.01,0.9998069025440126
0.0016,0.0104,0.9998061173022458
0.0017333333333333333,0.0104,0.9998027773847428
0.0017333333333333333,0.0112,0.9997951671842867
0.0018666666666666666,0.0112,0.9997940106489585
0.0018666666666666666,0.012,0.999789125847041
0.002,0.012,0.9997865270869879
0.002,0.016,0.9997444911640808
0.0021333333333333334,0.016,0.9997391141808097
0.0024,0.016,0.9997370537367043
0.0024,0.0168,0.9997273851180876
0.0026666666666666666,0.0168,0.9997217681874275
0.0026666666666666666,0.0172,0.999716972536873
0.0028,0.0172,0.9997168174920188
0.0028,0.0192,0.9997114776990473
0.0029333333333333334,0.0192,0.9997030247916308
0.0029333333333333334,0.02,0.9996993128653691
0.0032,0.02,0.9996962408114415
0.0032,0.0204,0.9996952804854478
0.0036,0.0204,0.9996765847152909
0.0036,0.0208,0.9996629969093378
0.0037333333333333333,0.0208,0.9996618885170222
0.0037333333333333333,0.0212,0.9996532750725728
0.0038666666666666667,0.0212,0.9996526402239538
0.0038666666666666667,0.022,0.9996520372272952
0.004,0.022,0.9996460123608183
0.004,0.024,0.999619371641621
0.004266666666666667,0.024,0.9996152015850601
0.004266666666666667,0.0252,0.9995900686584764
0.004533333333333334,0.0252,0.9995885943341404
0.004666666666666667,0.0252,0.999586870571113
0.004666666666666667,0.0256,0.9995800438914765
0.004933333333333333,0.0256,0.9995694834955591
0.004933333333333333,0.026,0.9995690748087125
0.005066666666666666,0.026,0.9995657496689365
0.005066666666666666,0.0296,0.9995395408892915
0.0054666666666666665,0.0296,0.9995255840599049
0.0054666666666666665,0.034,0.9994623865991643
0.0056,0.034,0.9994548281041027
0.0056,0.0356,0.9994208751935395
0.005733333333333333,0.0356,0.9994183313270164
0.005733333333333333,0.0368,0.9993912968044868
0.005866666666666667,0.0368,0.9993774828968223
0.005866666666666667,0.0384,0.9993437394839527
0.0061333333333333335,0.0384,0.9993377082094734
0.0061333333333333335,0.0392,0.9993277097017318
0.0064,0.0392,0.9993134376234689
0.0064,0.0396,0.9993134195161752
0.006666666666666667,0.0396,0.9992754658901575
0.006666666666666667,0.04,0.9992606355729415
0.007066666666666666,0.04,0.9992241016425326
0.007066666666666666,0.0412,0.9992093604241561
0.0072,0.0412,0.9992078221904735
0.0072,0.0436,0.9991832674180388
0.007333333333333333,0.0436,0.9991576175179497
0.007333333333333333,0.044,0.9991444267772562
0.0076,0.044,0.9990988462053133
0.0076,0.0452,0.999008807826821
0.007866666666666666,0.0452,0.9989845961628864
0.007866666666666666,0.0472,0.9989439101808811
0.008,0.0472,0.9989338659412709
0.008,0.048,0.9989102937835446
0.008266666666666667,0.048,0.998883922384677
0.008266666666666667,0.0484,0.9988726822906784
0.008533333333333334,0.0484,0.9988492181334764
0.008533333333333334,0.0492,0.9988374168427945
0.008666666666666666,0.0492,0.9988239936212933
0.008666666666666666,0.05,0.9987937491138108
0.0088,0.05,0.9987927808405607
0.0088,0.0508,0.998750535453852
0.008933333333333333,0.0508,0.9987420144242535
0.008933333333333333,0.0516,0.9987240436449591
0.009066666666666667,0.0516,0.998723700405618
0.009066666666666667,0.052,0.9987194762941635
0.009466666666666667,0.052,0.9986989217162121
0.009466666666666667,0.0532,0.9986865291739898
0.010133333333333333,0.0532,0.998619305263244
0.010133333333333333,0.0536,0.9985998730627514
0.0108,0.0536,0.9985504812614836
0.0108,0.0556,0.9984791852044086
0.010933333333333333,0.0556,0.9984659592911628
0.010933333333333333,0.0564,0.9984308704103558
0.011066666666666667,0.0564,0.998427293996894
0.011066666666666667,0.0568,0.9984110482320832
0.0112,0.0568,0.9984036156178207
0.0112,0.0584,0.9983760688279901
0.011333333333333334,0.0584,0.998362507117176
0.011333333333333334,0.0592,0.9983480346779269
0.0116,0.0592,0.9983442646377286
0.0116,0.0604,0.9982833107884449
0.011866666666666666,0.0604,0.99827562559358
0.011866666666666666,0.0608,0.998273516869661
0.012266666666666667,0.0608,0.998240041097794
0.012266666666666667,0.0612,0.9982302846331594
0.0124,0.0612,0.9982191808846047
0.0124,0.0628,0.9981191670686707
0.012533333333333334,0.0628,0.9981012246342429
0.012533333333333334,0.0636,0.9980823238854205
0.012666666666666666,0.0636,0.9980802715469468
0.012666666666666666,0.0644,0.9980437461284009
0.0128,0.0644,0.9980336801670159
0.0128,0.0656,0.998006324927834
0.012933333333333333,0.0656,0.9980054517133966
0.012933333333333333,0.0676,0.9979057599017959
0.013066666666666667,0.0676,0.9978620106476807
0.013066666666666667,0.0684,0.9978268944509577
0.013466666666666667,0.0684,0.9977735803553277
0.013466666666666667,0.0692,0.9977250185451851
0.0136,0.0692,0.9977248641070796
0.0136,0.07,0.9977123474932895
0.013733333333333334,0.07,0.997698532514018
0.013733333333333334,0.0704,0.9976579355769946
0.013866666666666666,0.0704,0.9976435679948524
0.013866666666666666,0.0708,0.9976418929680773
0.014133333333333333,0.0708,0.9976389957809817
0.014133333333333333,0.0716,0.9976205022910679
0.0144,0.0716,0.9975940372430451
0.0144,0.072,0.9975557186611334
0.014533333333333334,0.072,0.9975464536138539
0.014533333333333334,0.0752,0.9973516501418808
0.014933333333333333,0.0752,0.9973082616382062
0.014933333333333333,0.0772,0.9972596351069593
0.0156,0.0772,0.9971889541279935
0.0156,0.0776,0.9971758706409837
0.015733333333333332,0.0776,0.9971063458552359
0.015733333333333332,0.0792,0.9970249886105969
0.015866666666666668,0.0792,0.9970054940436135
0.015866666666666668,0.08,0.9969341376040476
0.016266666666666665,0.08,0.9968758991783645
0.016266666666666665,0.0832,0.9966636082812538
0.016533333333333334,0.0832,0.9966084230516947
0.016533333333333334,0.0836,0.9965963017541959
0.016933333333333335,0.0836,0.9964767205377124
0.016933333333333335,0.086,0.9963942993649125
0.017333333333333333,0.086,0.9963678473865057
0.017333333333333333,0.0888,0.996048616711543
0.0176,0.0888,0.9959466125067349
0.0176,0.0908,0.9956840514190689
0.017866666666666666,0.0908,0.9954654523075571
0.017866666666666666,0.0912,0.9953666200157004
0.018,0.0912,0.995359915993863
0.018,0.092,0.9953313890584735
0.018133333333333335,0.092,0.9953058383655669
0.018133333333333335,0.0928,0.9952377172475667
0.018266666666666667,0.0928,0.9951931380014706
0.018533333333333332,0.0928,0.9951500547492751
0.018533333333333332,0.0932,0.9950667385492705
0.018666666666666668,0.0932,0.9950561603236636
0.018666666666666668,0.0936,0.9950165199304043
0.0188,0.0936,0.9950126813085775
0.0188,0.0944,0.9949368461920484
0.0192,0.0944,0.9948851722497362
0.0192,0.0948,0.9948667852300481
0.0196,0.0948,0.9947907232750947
0.0196,0.0952,0.9947834262860252
0.02,0.0952,0.9947279134319948
0.02,0.096,0.9945916621142278
0.020266666666666665,0.096,0.9943656112920664
0.020266666666666665,0.0968,0.9942605357043041
0.020533333333333334,0.0968,0.9941450202917699
0.020533333333333334,0.0976,0.99406019736943
0.020666666666666667,0.0976,0.9940601790465251
0.020666666666666667,0.098,0.9940285252605845
0.0208,0.098,0.9940076652297961
0.0208,0.0984,0.9939871004094517
0.021066666666666668,0.0984,0.9938507351020919
0.021066666666666668,0.0996,0.9937565967535806
0.0212,0.0996,0.9936678703488646
0.0212,0.1,0.9936487185814934
0.021333333333333333,0.1,0.9936195119204546
0.021333333333333333,0.1032,0.992820641984377
0.0216,0.1032,0.9928037138569392
0.0216,0.104,0.992683182338321
0.021866666666666666,0.104,0.992585382508684
0.021866666666666666,0.1044,0.9925851372732684
0.022266666666666667,0.1044,0.9925663422201721
0.022266666666666667,0.1048,0.9924254275925818
0.0224,0.1048,0.9923606979189181
0.0224,0.1056,0.9922923513351691
0.02266666666666667,0.1056,0.9922329299314069
0.02266666666666667,0.106,0.9922161053078483
0.022933333333333333,0.106,0.9921487032486734
0.022933333333333333,0.1064,0.9921354329706888
0.023066666666666666,0.1064,0.9921028023287947
0.023066666666666666,0.1068,0.9920857719368946
0.023733333333333332,0.1068,0.9918665037456667
0.024,0.1068,0.9918242410938921
0.024266666666666666,0.1068,0.9917060155492662
0.024266666666666666,0.1076,0.9916339603687016
0.0244,0.1076,0.9916307981641352
0.0244,0.108,0.9916173511128381
0.025066666666666668,0.108,0.9913412279246419
0.025066666666666668,0.1088,0.9912828549672895
0.0252,0.1088,0.9912524441925239
0.0252,0.1096,0.9911187566448908
0.025466666666666665,0.1096,0.9909922789102833
0.025466666666666665,0.11,0.9909764212557535
0.0256,0.11,0.9909290562679733
0.0256,0.1104,0.9908892985051141
0.025733333333333334,0.1104,0.990851452360563
0.025733333333333334,0.1112,0.9907097286312295
0.026,0.1112,0.99067614426602
0.026,0.1116,0.990649805823278
0.026266666666666667,0.1116,0.9905315110986651
0.026266666666666667,0.1128,0.9903216757044274
0.0264,0.1128,0.9903040993427176
0.0264,0.1136,0.9901344820675516
0.026533333333333332,0.1136,0.9901055465634386
0.026533333333333332,0.114,0.9900925232054333
0.02666666666666667,0.114,0.9900663708147288
0.02666666666666667,0.1148,0.9899724289677408
0.026933333333333333,0.1148,0.9898717236132677
0.026933333333333333,0.1152,0.989847658488416
0.027066666666666666,0.1152,0.9897694968455386
0.027066666666666666,0.1168,0.989638536748528
0.0272,0.1168,0.9896096411825347
0.0272,0.118,0.989502902736594
0.027466666666666667,0.118,0.989430097915304
0.027466666666666667,0.1184,0.9893220795890317
0.0276,0.1184,0.9893181431764353
0.0276,0.1188,0.9892805531899747
0.027866666666666668,0.1188,0.9892120489680969
0.027866666666666668,0.1216,0.9885930705568722
0.0284,0.1216,0.9884602877973121
0.0284,0.122,0.9883730729231226
0.028666666666666667,0.122,0.9882562131840812
0.028666666666666667,0.1224,0.988241109056105
0.0288,0.1224,0.9881606053797459
0.0288,0.1228,0.9881072057081685
0.028933333333333332,0.1228,0.9880652183434282
0.028933333333333332,0.124,0.9880083217547335
0.029066666666666668,0.124,0.987899862290595
0.029066666666666668,0.1252,0.9877380698222018
0.0292,0.1252,0.9877132891078619
0.0292,0.1264,0.9876068500112741
0.029466666666666665,0.1264,0.9874449186275813
0.029466666666666665,0.1284,0.9872562529055209
0.0296,0.1284,0.9872384621824037
0.0296,0.1288,0.9871866247125847
0.030266666666666667,0.1288,0.986943689865472
0.030266666666666667,0.13,0.9866433975386047
0.030533333333333332,0.13,0.9865941563194859
0.030533333333333332,0.1304,0.9865440419479264
0.030666666666666665,0.1304,0.9865054312908286
0.030666666666666665,0.1312,0.9864196869676924
0.0308,0.1312,0.9863045698218553
0.0308,0.1328,0.9861959253923901
0.0312,0.1328,0.9861594533019206
0.0312,0.1332,0.9860339566704809
0.03133333333333333,0.1332,0.9859906715680479
0.03133333333333333,0.1336,0.985953861529392
0.0316,0.1336,0.9858914180261886
0.0316,0.1372,0.9856723584959408
0.031733333333333336,0.1372,0.9856676843695271
0.031733333333333336,0.1376,0.9856612015617019
0.032,0.1376,0.9855558007462711
0.032,0.138,0.9855241664540672
0.03213333333333333,0.138,0.9855234204103824
0.03213333333333333,0.1388,0.9855048885841607
0.0328,0.1388,0.9852817009820403
0.0328,0.1396,0.9851912246921712
0.03306666666666667,0.1396,0.9849799011547299
0.03306666666666667,0.14,0.9849708878003351
0.03333333333333333,0.14,0.9849207650646962
0.03333333333333333,0.1412,0.9847937474878014
0.0336,0.1412,0.9847038814248008
0.0336,0.1416,0.9846923556089909
0.03373333333333333,0.1416,0.9846615311696942
0.03373333333333333,0.1424,0.9845898658767287
0.03386666666666667,0.1424,0.984444357780906
0.03386666666666667,0.1432,0.984251401826165
0.034,0.1432,0.9842476821537717
0.034,0.144,0.984078059261849
0.03426666666666667,0.144,0.9839858037273785
0.03426666666666667,0.1452,0.9838787173480881
0.0344,0.1452,0.9838191586527805
0.0344,0.1456,0.9837980972451547
0.03453333333333333,0.1456,0.9837614378066378
0.03453333333333333,0.1464,0.9837304212847819
0.0348,0.1464,0.9837078972151954
0.0348,0.15,0.983390202187135
0.03493333333333333,0.15,0.9833407878643562
0.03493333333333333,0.1504,0.9833334049364582
0.03506666666666667,0.1504,0.9833285520195028
0.03506666666666667,0.1512,0.9833222173350892
0.0352,0.1512,0.9832927940995925
0.0352,0.1516,0.9832861197375323
0.035866666666666665,0.1516,0.9829984562360653
0.035866666666666665,0.1544,0.9826707055728167
0.03613333333333334,0.1544,0.9824810144818446
0.03613333333333334,0.1584,0.982148410782463
0.036533333333333334,0.1584,0.9820187876240116
0.036533333333333334,0.1588,0.9819545449632421
0.037066666666666664,0.1588,0.9818259015381728
0.037066666666666664,0.1592,0.9818003149546815
0.037333333333333336,0.1592,0.981768381128067
0.037333333333333336,0.1608,0.9816702453495246
0.03746666666666667,0.1608,0.9816675839479393
0.03746666666666667,0.1624,0.9814835834417961
0.037866666666666667,0.1624,0.9811563602991696
0.037866666666666667,0.164,0.9810400249477468
0.038266666666666664,0.164,0.9808712594357861
0.038266666666666664,0.1644,0.9808711968398043
0.0384,0.1644,0.9808610423315601
0.0384,0.1652,0.9807701050752369
0.038533333333333336,0.1652,0.980736543532407
0.038533333333333336,0.1664,0.9806553795274682
0.038933333333333334,0.1664,0.9806074908722878
0.038933333333333334,0.1668,0.9806054900279236
0.039066666666666666,0.1668,0.980573572242129
0.039066666666666666,0.1688,0.980339164247089
0.0392,0.1688,0.980318776864161
0.0392,0.1692,0.9802801113644358
0.039466666666666664,0.1692,0.9802349463680375
0.039466666666666664,0.1716,0.9801353623510931
0.0396,0.1716,0.980122278189321
0.0396,0.172,0.9800919008287187
0.039733333333333336,0.172,0.9800683697269608
0.039733333333333336,0.1732,0.9799918378416318
0.03986666666666667,0.1732,0.9797458313921215
0.03986666666666667,0.1748,0.9796301276901238
0.04,0.1748,0.9795937064350083
0.04,0.1756,0.9795106794489382
0.040266666666666666,0.1756,0.9794285797551395
0.040266666666666666,0.176,0.9794207016631259
0.0404,0.176,0.97939234881354
0.0404,0.1764,0.9793893099969085
0.04053333333333333,0.1764,0.9793511052123474
0.04053333333333333,0.1772,0.9793039943856751
0.0408,0.1772,0.9792893351648909
0.0408,0.1776,0.9792701646704208
0.040933333333333335,0.1776,0.9790952358651255
0.040933333333333335,0.178,0.9790670091659702
0.04106666666666667,0.178,0.9790197172774807
0.04106666666666667,0.1788,0.9790078820014945
0.0412,0.1788,0.9789883764528479
0.0412,0.1808,0.9787269796154964
0.04133333333333333,0.1808,0.978725288783848
0.04133333333333333,0.1812,0.9786685628900198
0.041466666666666666,0.1812,0.9786558620682404
0.041466666666666666,0.1824,0.9785853274848361
0.04173333333333333,0.1824,0.9784677342258532
0.04173333333333333,0.1828,0.9784256632194923
0.042133333333333335,0.1828,0.9782263695265062
0.042133333333333335,0.1832,0.9781937664566275
0.04226666666666667,0.1832,0.9781200830391893
0.04226666666666667,0.184,0.9780101317179187
0.0424,0.184,0.9779735380573565
0.0424,0.1844,0.9779733452474488
0.0428,0.1844,0.9776210239944522
0.0428,0.1888,0.9773223428472606
0.04293333333333333,0.1888,0.9773002368354647
