fpr,tpr,_
0.0,0.0,1.9975298474429586
0.0,0.0004,0.9975298474429585
0.0,0.0016,0.9948987670234812
0.0002666666666666667,0.0016,0.9935973862115698
0.0002666666666666667,0.002,0.9925550611921334
0.0004,0.002,0.9911735330065009
0.0004,0.0036,0.989211721782047
0.0005333333333333334,0.0036,0.9891629079630817
0.0005333333333333334,0.004,0.9879306982842881
0.0009333333333333333,0.004,0.9861909424846356
0.0009333333333333333,0.006,0.984741141641875
0.0010666666666666667,0.006,0.9846228276776042
0.0010666666666666667,0.0084,0.9832275604919203
0.0013333333333333333,0.0084,0.9824146733498664
0.0013333333333333333,0.0092,0.9822027997590038
0.0014666666666666667,0.0092,0.9821737172849743
0.0014666666666666667,0.0096,0.9810734107918025
0.0017333333333333333,0.0096,0.9810362264015045
0.0017333333333333333,0.0104,0.9805447193333979
0.0018666666666666666,0.0104,0.9805046401630343
0.0018666666666666666,0.0128,0.9794632231594056
0.0021333333333333334,0.0128,0.9781702262103881
0.0021333333333333334,0.0132,0.9780929328072526
0.002266666666666667,0.0132,0.9780311008459319
0.002266666666666667,0.014,0.9775691814058769
0.0024,0.014,0.9774250100660916
0.0024,0.0144,0.9770269059494742
0.002533333333333333,0.0144,0.9769346536183229
0.002533333333333333,0.0148,0.976836596030699
0.0026666666666666666,0.0148,0.9766981251994579
0.0026666666666666666,0.0184,0.9749075305536956
0.0028,0.0184,0.9748680416558227
0.0028,0.0188,0.9746874114648754
0.0030666666666666668,0.0188,0.9745662253614958
0.0030666666666666668,0.0192,0.9744420316296928
0.0032,0.0192,0.9744086639052595
0.0032,0.0224,0.9726758159431464
0.0034666666666666665,0.0224,0.9725273619675552
0.0034666666666666665,0.0232,0.9723833364083014
0.0036,0.0232,0.9723740993498069
0.0036,0.0248,0.9712619426652173
0.0037333333333333333,0.0248,0.9705616938987724
0.0037333333333333333,0.0256,0.970427163551309
0.0038666666666666667,0.0256,0.9702654667922352
0.0038666666666666667,0.026,0.9700885901804679
0.004666666666666667,0.026,0.9684453183623861
0.004666666666666667,0.0264,0.9683758223578735
0.0048,0.0264,0.968130807091945
0.0048,0.0272,0.9678214377026632
0.004933333333333333,0.0272,0.9676105288448683
0.004933333333333333,0.0276,0.9675187426052345
0.005066666666666666,0.0276,0.9674894515304227
0.005066666666666666,0.028,0.9672852003229951
0.0052,0.028,0.9660675188029121
0.0052,0.0284,0.9659816136363639
0.005333333333333333,0.0284,0.965979550155693
0.005333333333333333,0.0288,0.9659178434172163
0.0056,0.0288,0.9657059444769592
0.0056,0.0292,0.9656491423074927
0.006,0.0292,0.9651649928227495
0.006,0.0296,0.9651017000940618
0.006266666666666667,0.0296,0.9640919797190697
0.006266666666666667,0.0304,0.9638057735946947
0.0064,0.0304,0.963655052202019
0.0064,0.0316,0.9634153543740054
0.006533333333333334,0.0316,0.9632165001062809
0.006533333333333334,0.0324,0.9626307750097314
0.006666666666666667,0.0324,0.9621646247022534
0.006666666666666667,0.034,0.961032383241167
0.0068,0.034,0.9608238419831041
0.0068,0.0344,0.9607448432063134
0.006933333333333333,0.0344,0.9604841041691712
0.006933333333333333,0.0356,0.9599869615710135
0.007066666666666666,0.0356,0.9597712588054955
0.007066666666666666,0.0368,0.9592225384770845
0.0072,0.0368,0.9585914423544983
0.0072,0.0372,0.9583766048271235
0.007333333333333333,0.0372,0.9581380631473118
0.007333333333333333,0.0376,0.9581115675751312
0.0076,0.0376,0.9577811901712845
0.0076,0.038,0.9577199988930243
0.007733333333333333,0.038,0.9576446720672009
0.007733333333333333,0.0388,0.9567373490058849
0.007866666666666666,0.0388,0.9563409495499908
0.007866666666666666,0.0396,0.9560426024702564
0.008,0.0396,0.9560158085668519
0.008,0.04,0.9560148642599734
0.008133333333333333,0.04,0.9555968052400765
0.008133333333333333,0.0408,0.9546761649294756
0.008266666666666667,0.0408,0.9546253414018708
0.008266666666666667,0.0412,0.9546207918690409
0.0084,0.0412,0.9545967803120539
0.0084,0.0428,0.9539214559079209
0.008666666666666666,0.0428,0.953297180205283
0.008666666666666666,0.0432,0.952907547745396
0.008933333333333333,0.0432,0.9525133497513796
0.008933333333333333,0.0436,0.9523274380913497
0.009066666666666667,0.0436,0.9523185443593024
0.009066666666666667,0.0444,0.9521617696689939
0.0092,0.0444,0.9514108099108279
0.0092,0.0448,0.9511800241847559
0.009333333333333334,0.0448,0.9508755170265257
0.009333333333333334,0.046,0.9486641035467039
0.0096,0.046,0.9486110292594991
0.0096,0.0476,0.9475755931643771
0.009733333333333333,0.0476,0.947369855261514
0.009733333333333333,0.0488,0.9469477328379068
0.009866666666666666,0.0488,0.94676505811028
0.009866666666666666,0.05,0.9460294870204559
0.010266666666666667,0.05,0.9444530989499013
0.010266666666666667,0.0536,0.9418873047242208
0.0104,0.0536,0.9415415251211892
0.0104,0.0548,0.9401589930959783
0.010533333333333334,0.0548,0.9397813030993214
0.010533333333333334,0.0552,0.9384203615251037
0.010666666666666666,0.0552,0.9379863342186571
0.010666666666666666,0.0576,0.9350581412482246
0.011066666666666667,0.0576,0.9338405826760089
0.011066666666666667,0.058,0.9337672235553788
0.011333333333333334,0.058,0.9324082094729843
0.011333333333333334,0.0584,0.9323000318049107
0.011466666666666667,0.0584,0.9322489879182357
0.011466666666666667,0.0596,0.9307931886459816
0.0116,0.0596,0.9295502266293517
0.0116,0.0604,0.9285688490434082
0.011866666666666666,0.0604,0.9272832994701035
0.011866666666666666,0.062,0.9269015037150963
0.0124,0.062,0.926493986340747
0.0124,0.064,0.9258144113002637
0.012533333333333334,0.064,0.9257219467972326
0.012533333333333334,0.0644,0.9256329181212613
0.0128,0.0644,0.9253897668575009
0.0128,0.0648,0.9252292782222408
0.012933333333333333,0.0648,0.9250772130655394
0.012933333333333333,0.066,0.9235794884009325
0.013066666666666667,0.066,0.922480884984647
0.013066666666666667,0.0664,0.9224497415830817
0.013333333333333334,0.0664,0.9211207114204439
0.013333333333333334,0.0668,0.9208697247592497
0.013466666666666667,0.0668,0.9207264242159702
0.013466666666666667,0.0672,0.9207178575191102
0.0136,0.0672,0.9206272052160874
0.0136,0.0684,0.9190093481097448
0.013733333333333334,0.0684,0.9189828012490171
0.013733333333333334,0.0688,0.9189267951411773
0.014133333333333333,0.0688,0.9180679700412402
0.014133333333333333,0.0696,0.917492851910642
0.014266666666666667,0.0696,0.9174519573777743
0.014266666666666667,0.07,0.9172183364905581
0.0148,0.07,0.9154458342778017
0.0148,0.0708,0.9150525380577063
0.0152,0.0708,0.9142041743772766
0.0152,0.0712,0.9141392928693545
0.015333333333333332,0.0712,0.9137607721313484
0.015333333333333332,0.072,0.9134982377770492
0.0156,0.072,0.9132676273549543
0.0156,0.0724,0.913012868922411
0.015866666666666668,0.0724,0.9116362963914163
0.015866666666666668,0.0728,0.9116160156132022
0.016,0.0728,0.9115743107263374
0.016,0.0732,0.9111814138882618
0.016133333333333333,0.0732,0.9104016148865082
0.016133333333333333,0.0736,0.909593647084753
0.0164,0.0736,0.9092033438093413
0.0164,0.0744,0.9079059653017851
0.016533333333333334,0.0744,0.907840435049972
0.016533333333333334,0.0756,0.9066654136168172
0.016666666666666666,0.0756,0.9060856272913366
0.016666666666666666,0.076,0.9054393059277912
0.0168,0.076,0.9049464315753906
0.0168,0.0772,0.9041794181556752
0.016933333333333335,0.0772,0.9038753676698577
0.016933333333333335,0.0784,0.9035857773636686
0.017333333333333333,0.0784,0.9021991316769358
0.017333333333333333,0.0788,0.9019408105080657
0.0176,0.0788,0.9012416538237293
0.0176,0.0792,0.9008406345651196
0.018266666666666667,0.0792,0.900023156527092
0.018266666666666667,0.0796,0.8997763302930332
0.018533333333333332,0.0796,0.8995807524565399
0.018533333333333332,0.0804,0.8990736170994489
0.018666666666666668,0.0804,0.8986541079891545
0.018666666666666668,0.0808,0.898253599842535
0.0188,0.0808,0.8981336953966641
0.0188,0.0812,0.8981211468838025
0.019066666666666666,0.0812,0.8972970242473689
0.019066666666666666,0.082,0.8967967179455403
0.0192,0.082,0.896512822860946
0.0192,0.084,0.8953526242751969
0.019333333333333334,0.084,0.895057990646641
0.019333333333333334,0.0852,0.8941777711704086
0.019866666666666668,0.0852,0.8931399445185407
0.019866666666666668,0.086,0.8927269096825565
0.02,0.086,0.8926954533734607
0.02,0.0888,0.8918463878359093
0.020133333333333333,0.0888,0.8917464840106055
0.020133333333333333,0.0892,0.8915963951256699
0.020266666666666665,0.0892,0.8915925365818558
0.020266666666666665,0.09,0.8910989619174793
0.0204,0.09,0.8908750960928788
0.0204,0.0904,0.8907464755521606
0.0208,0.0904,0.8904601529238118
0.0208,0.0916,0.8892179594985331
0.021066666666666668,0.0916,0.8862016563011209
0.021066666666666668,0.0928,0.8856407439910727
0.0212,0.0928,0.8849057267052206
0.0212,0.0936,0.8846535845135842
0.021333333333333333,0.0936,0.8842233354090121
0.021333333333333333,0.0944,0.8830971165775471
0.0216,0.0944,0.882398404054639
0.0216,0.0952,0.8812396557223595
0.022,0.0952,0.8807203990153023
0.022,0.0956,0.8797676638888491
0.022133333333333335,0.0956,0.8793054528541854
0.022133333333333335,0.096,0.8791134529138193
0.022266666666666667,0.096,0.8789544989564053
0.022266666666666667,0.0964,0.8784927745616088
0.0224,0.0964,0.8784532633162412
0.0224,0.0972,0.8774495794676483
0.022533333333333332,0.0972,0.8773440224138115
0.022533333333333332,0.0976,0.8769595819664954
0.023066666666666666,0.0976,0.8766867844452302
0.023066666666666666,0.098,0.8763667605455298
0.023466666666666667,0.098,0.8759395818917332
0.023466666666666667,0.1032,0.8724078837486499
0.023733333333333332,0.1032,0.87082722340492
0.023733333333333332,0.104,0.8704125674942607
0.024,0.104,0.8701735637922631
0.024,0.106,0.8691996038951746
0.024133333333333333,0.106,0.8685462511904345
0.024133333333333333,0.1068,0.868419273455762
0.024266666666666666,0.1068,0.8683626578723139
0.024266666666666666,0.1072,0.8681157578073898
0.024533333333333334,0.1072,0.867913861054395
0.024533333333333334,0.1084,0.8670321760238942
0.024666666666666667,0.1084,0.8669885457096237
0.024666666666666667,0.1116,0.8650557951841282
0.0248,0.1116,0.8650334887149167
0.0248,0.112,0.8648741124983597
0.02493333333333333,0.112,0.8646546010543187
0.02493333333333333,0.1132,0.862565312791937
0.025066666666666668,0.1132,0.8625263453588303
0.025066666666666668,0.1136,0.8621553838000768
0.0252,0.1136,0.8620300542656353
0.0252,0.116,0.860400134694336
0.025333333333333333,0.116,0.8602865677525016
0.025333333333333333,0.1176,0.8591829470101218
0.025866666666666666,0.1176,0.8582111656847023
0.025866666666666666,0.118,0.8581147134668026
0.026,0.118,0.8581126692874195
0.026,0.1188,0.8576521785753346
0.026133333333333335,0.1188,0.8576150006871538
0.026133333333333335,0.1192,0.8569448369260121
0.026266666666666667,0.1192,0.8565987004211328
0.026266666666666667,0.1196,0.8564950896265879
0.0264,0.1196,0.8564890565806271
0.0264,0.1204,0.8560476650430169
0.026533333333333332,0.1204,0.8558199007399384
0.026533333333333332,0.1208,0.8549787758926499
0.02666666666666667,0.1208,0.8546986699795266
0.02666666666666667,0.1216,0.8545811875730731
0.026933333333333333,0.1216,0.8543688903715597
0.026933333333333333,0.1224,0.8541385878724607
0.027466666666666667,0.1224,0.8528168875434793
0.027466666666666667,0.1228,0.8524789822328503
0.027866666666666668,0.1228,0.8516787592414514
0.027866666666666668,0.1232,0.8506102797401954
0.028133333333333333,0.1232,0.8502702360855352
0.028133333333333333,0.1244,0.849798265432542
0.028266666666666666,0.1244,0.849262353937479
0.028266666666666666,0.1276,0.8465366021489317
0.0284,0.1276,0.8465336950671056
0.0284,0.1288,0.8460135911651129
0.028533333333333334,0.1288,0.8454852874521488
0.028533333333333334,0.1292,0.8449664079114309
0.0288,0.1292,0.8440346080082419
0.0288,0.13,0.8436485764624572
0.028933333333333332,0.13,0.8432557336579208
0.028933333333333332,0.1308,0.8427411511083029
0.029066666666666668,0.1308,0.842597471946274
0.029066666666666668,0.1312,0.842348108561154
0.029466666666666665,0.1312,0.8417893516474275
0.029466666666666665,0.132,0.8408660900848949
0.030133333333333335,0.132,0.8396686576397263
0.030133333333333335,0.1332,0.8391346572757025
0.030266666666666667,0.1332,0.8387326867768429
0.030266666666666667,0.1336,0.8385035273876953
0.0304,0.1336,0.8384232895020556
0.0304,0.134,0.8383368608126546
0.030533333333333332,0.134,0.8382866107010066
0.030533333333333332,0.1344,0.8382529662972777
0.030666666666666665,0.1344,0.8380457675749508
0.030666666666666665,0.1348,0.8378972594382018
0.030933333333333334,0.1348,0.8372764789249618
0.030933333333333334,0.1356,0.8364704780043379
0.031466666666666664,0.1356,0.8356339415796785
0.031466666666666664,0.136,0.8353689777274065
0.03186666666666667,0.136,0.8342313462435337
0.03186666666666667,0.1364,0.8341262979106977
0.03213333333333333,0.1364,0.8332170680178312
0.03213333333333333,0.138,0.8322960696307885
0.032266666666666666,0.138,0.8315291664172131
0.032266666666666666,0.1388,0.8314359735761585
0.03306666666666667,0.1388,0.8290884978395852
0.03306666666666667,0.1412,0.828024324041067
0.03333333333333333,0.1412,0.8280198266143367
0.033466666666666665,0.1412,0.8277473529447719
0.033466666666666665,0.1436,0.8255727514779844
0.03386666666666667,0.1436,0.8252085738289471
0.03386666666666667,0.144,0.8250265360987131
0.034133333333333335,0.144,0.8243154221334634
0.034133333333333335,0.1456,0.8240520574983647
0.0344,0.1456,0.8237923790308956
0.0344,0.1492,0.8210206530223575
0.03453333333333333,0.1492,0.8209157966597189
0.03453333333333333,0.1516,0.8199187172819015
0.03506666666666667,0.1516,0.8188593121526416
0.03506666666666667,0.152,0.8187605564438001
0.0352,0.152,0.8182252895109864
0.0352,0.1524,0.8180253537423265
0.035333333333333335,0.1524,0.8177498679695984
0.035333333333333335,0.154,0.8168676547786721
0.035866666666666665,0.154,0.8162381754071146
0.035866666666666665,0.1544,0.8155188800931231
0.036,0.1544,0.8152303324783682
0.036,0.1552,0.8150178006527072
0.03626666666666667,0.1552,0.8143175350473746
0.03626666666666667,0.1572,0.8137077149434015
0.03666666666666667,0.1572,0.8132489391262201
0.03666666666666667,0.1576,0.812938695753456
0.0368,0.1576,0.8129320243934983
0.0368,0.158,0.8126369448347209
0.03693333333333333,0.158,0.8123540693694083
0.03693333333333333,0.1592,0.8117497197990464
0.037066666666666664,0.1592,0.8117244485171993
0.037066666666666664,0.1612,0.8103868508378943
0.037333333333333336,0.1612,0.8098305622246026
0.037333333333333336,0.1616,0.8096732377024326
0.03746666666666667,0.1616,0.8094146188801147
0.03746666666666667,0.162,0.8093536674491695
0.0376,0.162,0.8092541770909306
0.0376,0.1624,0.8091902750704998
0.037733333333333334,0.1624,0.8090718489868767
0.037733333333333334,0.1632,0.8084956730812521
0.038,0.1632,0.8077470495168809
0.038,0.164,0.8075883594010879
0.038266666666666664,0.164,0.8075063629673966
0.038266666666666664,0.1656,0.8068816428126974
0.038533333333333336,0.1656,0.8060397197618633
0.038533333333333336,0.1676,0.8050287455115087
0.03866666666666667,0.1676,0.8049833577084831
0.03866666666666667,0.1692,0.8044101784300253
0.038933333333333334,0.1692,0.804266754494252
0.038933333333333334,0.1704,0.8034931037726344
0.039066666666666666,0.1704,0.8034689679734446
0.039066666666666666,0.172,0.8030674046281661
0.0392,0.172,0.8030658380024933
0.0392,0.1724,0.8028386911541892
0.039733333333333336,0.1724,0.802425097504237
0.039733333333333336,0.1728,0.802414349509989
0.03986666666666667,0.1728,0.8018902450686365
0.04013333333333333,0.1728,0.8014788645601629
0.04013333333333333,0.1732,0.8013599230443901
0.0408,0.1732,0.8004133303688514
0.0408,0.1736,0.7997916502826201
0.040933333333333335,0.1736,0.79885605779573
0.040933333333333335,0.1744,0.7984134819831215
0.0412,0.1744,0.7983571284870352
0.0412,0.1748,0.7983492691913886
0.04133333333333333,0.1748,0.7982698831599959
0.04133333333333333,0.1752,0.797882980473816
0.041466666666666666,0.1752,0.797801367861025
0.041466666666666666,0.176,0.7966744303239133
0.0416,0.176,0.796595861865149
0.0416,0.1764,0.7965888635772101
0.042,0.1764,0.7953703960115023
0.042,0.1768,0.7951513428517047
0.042133333333333335,0.1768,0.7950566938829656
0.042133333333333335,0.1776,0.79472935737924
0.04226666666666667,0.1776,0.7941326982779707
0.04226666666666667,0.1784,0.793918072005426
0.042666666666666665,0.1784,0.7938231049099315
0.042666666666666665,0.1788,0.793668676215954
0.0428,0.1788,0.793568583666589
0.0428,0.1796,0.7932127205781432
0.04293333333333333,0.1796,0.7930723014496281
0.04293333333333333,0.18,0.7928200076870562
0.0432,0.18,0.7923579642743823
0.0432,0.1808,0.7922706970612531
0.043333333333333335,0.1808,0.7921758532836539
0.043333333333333335,0.1812,0.7918327345641321
0.0436,0.1812,0.7911277732764035
0.0436,0.1816,0.7907307788825216
0.04373333333333333,0.1816,0.7907042923708143
0.04373333333333333,0.1824,0.7904337767474278
0.043866666666666665,0.1824,0.7904223615298337
0.043866666666666665,0.1828,0.79029567732474
0.044,0.1828,0.7902233388294899
0.044,0.1844,0.7898348435661524
0.04413333333333333,0.1844,0.7897229659644228
0.04413333333333333,0.1848,0.7897020613163528
0.04426666666666667,0.1848,0.7896407655595415
0.04426666666666667,0.186,0.789049673192273
0.044533333333333334,0.186,0.7884579427042213
0.044533333333333334,0.1868,0.7883683084172393
0.0448,0.1868,0.7880202655218058
0.0448,0.1892,0.787268022642688
0.0452,0.1892,0.7870140594599598
0.0452,0.19,0.7865132743598199
0.04533333333333334,0.19,0.7863319424286185
0.04533333333333334,0.1904,0.7862706798622436
0.04546666666666667,0.1904,0.7856369199200023
0.04546666666666667,0.1908,0.7855951500194639
0.04586666666666667,0.1908,0.7853668343519581
0.04586666666666667,0.1916,0.7851179971956445
0.04613333333333333,0.1916,0.7846282975465058
0.04613333333333333,0.1924,0.7845042343892527
0.046266666666666664,0.1924,0.78427740631113
0.046266666666666664,0.1936,0.7837620355482828
0.04666666666666667,0.1936,0.782764262994253
0.04666666666666667,0.1944,0.782495323078156
0.0468,0.1944,0.7824257893140747
0.0468,0.1956,0.7819859591025153
0.046933333333333334,0.1956,0.7813766402548985
0.046933333333333334,0.1968,0.7809937098301621
0.047066666666666666,0.1968,0.7809738135726274
0.047066666666666666,0.1972,0.7808606824141014
0.0472,0.1972,0.7808267248650864
0.0472,0.198,0.7804152755851841
0.047466666666666664,0.198,0.7797543717198124
0.047466666666666664,0.1984,0.7796400806178551
0.047733333333333336,0.1984,0.779502463293457
0.047733333333333336,0.1988,0.7794121477647559
0.04786666666666667,0.1988,0.7792871410762385
0.04786666666666667,0.1992,0.7787025582652343
0.048,0.1992,0.7784177504039834
0.048,0.1996,0.7784038155008527
0.048266666666666666,0.1996,0.7782523141306418
0.048266666666666666,0.2008,0.7779185713180893
0.0484,0.2008,0.7778785100244068
0.0484,0.2016,0.7778257280078794
0.0488,0.2016,0.7774993221905423
0.0488,0.2024,0.7769603646867324
