fpr,tpr,_
0.0,0.0,1.9999999999519105
0.0,0.0004,0.9999999999519105
0.0,0.0048,0.9999999995601456
0.00013333333333333334,0.0048,0.999999999552017
0.00013333333333333334,0.0128,0.9999999987396677
0.0002666666666666667,0.0128,0.999999998734495
0.0002666666666666667,0.02,0.9999999709474996
0.0005333333333333334,0.02,0.9999999642580526
0.0005333333333333334,0.0204,0.9999999627254972
0.0008,0.0204,0.9999999583607755
0.0008,0.0248,0.9999999449341332
0.0009333333333333333,0.0248,0.9999999411039671
0.0009333333333333333,0.0256,0.9999999379052175
0.0010666666666666667,0.0256,0.9999999299579965
0.0010666666666666667,0.0368,0.9999997594765949
0.0012,0.0368,0.9999997587324578
0.0012,0.05,0.9999993141481773
0.0013333333333333333,0.05,0.9999992948467805
0.0013333333333333333,0.1,0.9999965651865509
0.0014666666666666667,0.1,0.9999965382047215
0.0014666666666666667,0.1016,0.9999964712519346
0.0016,0.1016,0.9999964251523699
0.0016,0.12,0.9999947463053778
0.0017333333333333333,0.12,0.9999947459423776
0.0017333333333333333,0.1252,0.9999942749776267
0.0018666666666666666,0.1252,0.999994266719519
0.0018666666666666666,0.1408,0.9999929117141136
0.002,0.1408,0.9999929033513691
0.002,0.1556,0.9999910895507116
0.0021333333333333334,0.1556,0.9999909710866787
0.0021333333333333334,0.1644,0.999989902220699
0.002266666666666667,0.1644,0.9999897490755139
0.002266666666666667,0.1724,0.9999884110897795
0.0024,0.1724,0.9999883105896247
0.0024,0.1748,0.9999879385640412
0.002533333333333333,0.1748,0.9999879216552608
0.002533333333333333,0.178,0.9999865570579561
0.0026666666666666666,0.178,0.9999865246332011
0.0026666666666666666,0.1796,0.9999863317381319
0.0028,0.1796,0.9999863137456738
0.0028,0.184,0.9999859625628621
0.0029333333333333334,0.184,0.9999859226561598
0.0029333333333333334,0.1856,0.9999855638245748
0.0030666666666666668,0.1856,0.9999854034675254
0.0030666666666666668,0.2132,0.9999742834872506
0.0032,0.2132,0.999974251204089
0.0032,0.2248,0.9999699837137109
0.0033333333333333335,0.2248,0.9999698758798721
0.0033333333333333335,0.2264,0.9999689993909756
0.0034666666666666665,0.2264,0.999968998766911
0.0034666666666666665,0.2288,0.9999674032041242
0.0036,0.2288,0.9999673273963495
0.0036,0.2292,0.9999671475673424
0.0038666666666666667,0.2292,0.9999668644801998
0.0038666666666666667,0.2316,0.9999660493435283
0.004,0.2316,0.9999658995559846
0.004,0.234,0.9999635934565245
0.0041333333333333335,0.234,0.9999635862824073
0.0041333333333333335,0.2372,0.9999619117615987
0.004266666666666667,0.2372,0.9999617819186762
0.004266666666666667,0.238,0.9999612110101918
0.0044,0.238,0.9999602783987537
0.0044,0.242,0.9999577992954527
0.004666666666666667,0.242,0.9999577549140989
