fpr,tpr,_
0.0,0.0,1.999995
0.0,0.0004,0.999995
0.0,0.0008,0.999992
0.0,0.0016,0.9999896
0.0,0.0024,0.99998796
0.0,0.0032,0.9999862
0.0,0.0132,0.9999697
0.0,0.0144,0.9999695
0.0,0.0164,0.99996483
0.0,0.0172,0.9999645
0.0,0.0204,0.9999591
0.0,0.0212,0.9999584
0.0,0.0244,0.99995506
0.0,0.0252,0.9999547
0.0,0.0292,0.9999504
0.0,0.03,0.9999497
0.0,0.0328,0.99994636
0.0,0.0344,0.99994576
0.0,0.0356,0.9999441
0.0,0.0364,0.999944
0.0,0.0372,0.9999423
0.0,0.038,0.99994195
0.0,0.0384,0.99994123
0.0,0.0392,0.9999398
0.0,0.0404,0.9999385
0.0,0.0412,0.99993765
0.0,0.0416,0.99993753
0.0,0.0424,0.9999374
0.0,0.0464,0.99993384
0.0,0.0476,0.9999337
0.0,0.0556,0.99991965
0.0,0.0564,0.99991906
0.0,0.0584,0.99991715
0.0,0.0592,0.9999169
0.0,0.0608,0.9999144
0.0,0.0624,0.9999131
0.0,0.0692,0.99990165
0.0,0.07,0.99990094
0.0,0.076,0.99988985
0.0,0.0768,0.9998896
0.0,0.084,0.99987686
0.0,0.0848,0.9998764
0.0,0.0892,0.99986815
0.0,0.09,0.99986804
0.0,0.0948,0.99985814
0.0,0.0956,0.9998579
0.0,0.0988,0.99985373
0.0,0.0996,0.99985325
0.0,0.1016,0.99984896
0.0,0.1024,0.99984837
0.0,0.106,0.9998394
0.0,0.1068,0.99983907
0.0,0.114,0.9998202
0.0,0.1148,0.99982005
0.0,0.1224,0.99980956
0.0,0.1232,0.9998092
0.0,0.1264,0.99980456
0.0,0.1276,0.9998031
0.0,0.1304,0.9997974
0.0,0.1312,0.9997968
0.0,0.1316,0.9997949
0.0,0.1324,0.9997936
0.0,0.14,0.9997718
0.0,0.1408,0.9997714
0.0,0.1412,0.9997708
0.0,0.142,0.99977034
0.0,0.1444,0.99976414
0.0,0.1452,0.9997638
0.0,0.172,0.99967945
0.0,0.1728,0.9996793
0.0,0.1752,0.9996674
0.0,0.176,0.99966645
0.0,0.1784,0.9996625
0.0,0.1792,0.9996617
0.0,0.1832,0.9996518
0.0,0.184,0.9996512
0.0,0.1864,0.9996363
0.0,0.1872,0.9996275
0.0,0.1896,0.9996153
0.0,0.1904,0.99961483
0.0,0.1928,0.9996055
0.0,0.1936,0.99960214
0.0,0.2108,0.99951637
0.0,0.2116,0.9995161
0.0,0.2208,0.9994661
0.00013333333333333334,0.2208,0.9994659
0.00013333333333333334,0.226,0.9994357
0.00013333333333333334,0.2268,0.9994344
0.00013333333333333334,0.2352,0.99938667
0.00013333333333333334,0.236,0.99938166
0.00013333333333333334,0.2392,0.99936897
0.00013333333333333334,0.24,0.99936765
0.00013333333333333334,0.2792,0.999079
0.00013333333333333334,0.28,0.99907637
0.00013333333333333334,0.3008,0.998816
0.00013333333333333334,0.3016,0.99881387
0.00013333333333333334,0.314,0.9985947
0.00013333333333333334,0.3148,0.9985942
0.00013333333333333334,0.3156,0.9985845
0.00013333333333333334,0.3164,0.9985825
0.00013333333333333334,0.33,0.9983552
0.00013333333333333334,0.3308,0.9983498
0.00013333333333333334,0.4324,0.9940321
0.00013333333333333334,0.4332,0.9939955
0.00013333333333333334,0.4984,0.9853977
0.0002666666666666667,0.4984,0.9853603
0.0002666666666666667,0.504,0.98400104
0.0004,0.504,0.98382217
0.0004,0.5092,0.98280406
0.0005333333333333334,0.5092,0.98278725
0.0005333333333333334,0.524,0.9792503
0.0006666666666666666,0.524,0.97899
0.0006666666666666666,0.5292,0.97820574
0.0008,0.5292,0.9777975
0.0008,0.532,0.9766891
0.0009333333333333333,0.532,0.97660315
0.0009333333333333333,0.5452,0.97275454
0.0010666666666666667,0.5452,0.9726236
0.0010666666666666667,0.5584,0.96577126
0.0012,0.5584,0.9655356
0.0012,0.5644,0.96335596
0.0013333333333333333,0.5644,0.96335256
