fpr,tpr,_
0.0,0.0,1.999937
0.0,0.0004,0.99993706
0.0,0.0076,0.99988806
0.0,0.0084,0.9998815
0.0,0.0452,0.9997743
0.0,0.046,0.99977356
0.0,0.0516,0.999759
0.0,0.0524,0.99975806
0.0,0.0544,0.9997534
0.0,0.0552,0.9997526
0.0,0.0572,0.9997451
0.0,0.058,0.9997433
0.0,0.0852,0.99968004
0.0,0.086,0.9996799
0.0,0.0884,0.99967444
0.0,0.0892,0.9996735
0.0,0.0992,0.99964714
0.0,0.1,0.99964666
0.0,0.1016,0.999637
0.0,0.1024,0.99963653
0.0,0.1036,0.9996327
0.0,0.1044,0.99963033
0.0,0.1104,0.99961853
0.0,0.1112,0.9996166
0.0,0.1148,0.9996119
0.0,0.1156,0.99961096
0.0,0.1212,0.99959785
0.0,0.122,0.99959725
0.0,0.1276,0.9995802
0.0,0.1284,0.9995788
0.0,0.1376,0.9995542
0.0,0.1384,0.99955386
0.0,0.1464,0.99953806
0.0,0.1472,0.9995372
0.0,0.154,0.9995158
0.0,0.1548,0.99951553
0.0,0.1648,0.99948573
0.0,0.1656,0.9994855
0.0,0.176,0.999446
0.0,0.1768,0.99944264
0.0,0.1816,0.99943036
0.0,0.1824,0.99942786
0.0,0.1832,0.9994271
0.0,0.1848,0.99941945
0.0,0.1884,0.9994029
0.0,0.1896,0.9994006
0.0,0.2064,0.9993481
0.0,0.2072,0.99934596
0.0,0.246,0.9991906
0.0,0.2468,0.99918956
0.0,0.2504,0.9991622
0.0,0.2512,0.99916184
0.0,0.2652,0.99911374
0.0,0.266,0.9991135
0.0,0.274,0.99908924
0.0,0.2748,0.99908686
0.0,0.276,0.99908364
0.0,0.2768,0.9990828
0.0,0.2864,0.99904805
0.0,0.2872,0.9990459
0.0,0.2896,0.9990351
0.0,0.2904,0.9990345
0.0,0.2984,0.9989951
0.0,0.2992,0.99899465
0.0,0.302,0.99898523
0.0,0.3028,0.99898237
0.0,0.3056,0.9989753
0.0,0.3064,0.9989718
0.0,0.3192,0.99889
0.0,0.3208,0.9988814
0.0,0.346,0.9987062
0.0,0.3468,0.99870396
0.0,0.364,0.9985599
0.0,0.3648,0.99855775
0.0,0.6144,0.9937064
0.0,0.6152,0.9936801
0.0,0.6748,0.9903768
0.0,0.6756,0.9903605
0.0,0.8912,0.9353816
0.00013333333333333334,0.8912,0.9351766
0.00013333333333333334,0.8948,0.93085235
0.0002666666666666667,0.8948,0.93068516
0.0002666666666666667,0.9172,0.898238
0.0004,0.9172,0.8975582
0.0004,0.924,0.87900466
0.0005333333333333334,0.924,0.8774406
0.0005333333333333334,0.9304,0.8505321
0.0008,0.9304,0.8493434
0.0008,0.9456,0.75873774
0.0009333333333333333,0.9456,0.75643754
0.0009333333333333333,0.9468,0.7445221
0.0010666666666666667,0.9468,0.7443128
0.0010666666666666667,0.9516,0.7064146
0.0012,0.9516,0.70299965
0.0012,0.9524,0.6935463
0.0013333333333333333,0.9524,0.6925309
0.0013333333333333333,0.9536,0.68573064
0.0014666666666666667,0.9536,0.6731531
0.0017333333333333333,0.9536,0.6724576
0.0017333333333333333,0.9564,0.63618386
0.0018666666666666666,0.9564,0.63285434
0.0018666666666666666,0.9616,0.54993165
0.002,0.9616,0.54952973
0.002,0.962,0.5306743
0.002266666666666667,0.962,0.49649906
0.002266666666666667,0.9624,0.4858712
0.0024,0.9624,0.475932
0.0024,0.9628,0.47570583
0.002533333333333333,0.9628,0.47202292
0.002533333333333333,0.9632,0.47039717
0.0026666666666666666,0.9632,0.45980847
0.0026666666666666666,0.9636,0.45398542
0.0028,0.9636,0.45142612
0.0030666666666666668,0.9636,0.45047748
0.0030666666666666668,0.9644,0.44426763
0.0036,0.9644,0.43469006
0.0036,0.9648,0.43438444
0.0038666666666666667,0.9648,0.4249084
0.0038666666666666667,0.9652,0.42117524
0.004,0.9652,0.41741818
0.004,0.9668,0.40059122
0.0041333333333333335,0.9668,0.39204764
0.0041333333333333335,0.9672,0.38786024
0.004666666666666667,0.9672,0.36879066
0.004666666666666667,0.9676,0.36854184
0.0048,0.9676,0.36781144
0.0048,0.968,0.36731082
0.004933333333333333,0.968,0.36284494
0.004933333333333333,0.9684,0.3603664
0.005733333333333333,0.9684,0.346018
0.005733333333333333,0.9688,0.34542006
0.006,0.9688,0.33152196
0.006,0.9692,0.32780007
0.008533333333333334,0.9692,0.24073364
0.008533333333333334,0.9696,0.23963766
0.0088,0.9696,0.23703794
0.0088,0.97,0.2367946
0.009066666666666667,0.97,0.23368539
0.009333333333333334,0.97,0.23360732
0.009733333333333333,0.97,0.2259974
0.009733333333333333,0.9704,0.22492716
0.010133333333333333,0.9704,0.21958701
0.010133333333333333,0.9712,0.21878497
0.0124,0.9712,0.1948237
0.0124,0.9716,0.19075535
0.013066666666666667,0.9716,0.18269277
0.013066666666666667,0.972,0.18170826
0.0156,0.972,0.14398237
0.015866666666666668,0.972,0.1434963
0.016266666666666665,0.972,0.14185065
0.0168,0.972,0.137533
0.016933333333333335,0.972,0.1367553
0.016933333333333335,0.9724,0.13165618
0.019066666666666666,0.9724,0.121959634
0.019066666666666666,0.9728,0.12163261
0.020266666666666665,0.9728,0.113629304
0.020533333333333334,0.9728,0.110787235
0.020666666666666667,0.9728,0.11011257
0.020666666666666667,0.9732,0.109822616
0.023866666666666668,0.9732,0.09268746
0.023866666666666668,0.9736,0.09237071
0.026133333333333335,0.9736,0.087427795
0.0264,0.9736,0.08718397
0.0272,0.9736,0.085925415
0.0272,0.974,0.085530184
0.028266666666666666,0.974,0.084067635
0.028533333333333334,0.974,0.083989665
0.028533333333333334,0.9744,0.083967395
0.029733333333333334,0.9744,0.082223944
0.029733333333333334,0.9748,0.08141285
0.03,0.9748,0.08010384
0.030266666666666667,0.9748,0.07968784
0.033466666666666665,0.9748,0.072276324
0.03373333333333333,0.9748,0.07219915
0.0344,0.9748,0.0695043
0.034666666666666665,0.9748,0.069356695
0.03573333333333333,0.9748,0.068143375
0.036,0.9748,0.06792049
0.036,0.9752,0.067834936
0.038,0.9752,0.06347931
0.038,0.9756,0.06330227
0.03933333333333333,0.9756,0.06075721
0.0396,0.9756,0.06062477
0.0416,0.9756,0.057724543
0.0416,0.976,0.057621755
0.044,0.976,0.054073278
0.04426666666666667,0.976,0.054051585
0.04666666666666667,0.976,0.049316965
0.046933333333333334,0.976,0.04929975
0.048133333333333334,0.976,0.047086947
0.0484,0.976,0.046858583
0.0484,0.9764,0.0467744
0.048666666666666664,0.9764,0.04648627
0.048666666666666664,0.9768,0.04594353
0.0496,0.9768,0.0446825
0.0496,0.9772,0.04465808
0.05106666666666667,0.9772,0.043227892
0.05106666666666667,0.9776,0.04319622
0.05293333333333333,0.9776,0.042023785
0.05293333333333333,0.978,0.041933455
0.05506666666666667,0.978,0.039843637
0.05533333333333333,0.978,0.03979608
0.055733333333333336,0.978,0.0394776
0.056,0.978,0.039407793
0.05653333333333333,0.978,0.0387909
0.0568,0.978,0.038694642
0.056933333333333336,0.978,0.038386423
0.0572,0.978,0.0383527
0.0592,0.978,0.03617079
0.0592,0.9784,0.03612593
0.061066666666666665,0.9784,0.034947567
0.061066666666666665,0.9788,0.03493434
0.0612,0.9788,0.034846887
0.0616,0.9788,0.03482841
0.06293333333333333,0.9788,0.03399648
0.0632,0.9788,0.033794053
0.06333333333333334,0.9788,0.03376085
0.06333333333333334,0.9792,0.03373012
0.0752,0.9792,0.026714446
0.07546666666666667,0.9792,0.026691426
0.0756,0.9792,0.026689282
0.0756,0.9796,0.026623996
0.07866666666666666,0.9796,0.025350507
0.07893333333333333,0.9796,0.025349436
0.08213333333333334,0.9796,0.023719896
0.08213333333333334,0.98,0.023652297
0.08266666666666667,0.98,0.02338224
0.08293333333333333,0.98,0.023196585
0.08453333333333334,0.98,0.02262513
0.08453333333333334,0.9804,0.022549538
0.08666666666666667,0.9804,0.021688908
0.08693333333333333,0.9804,0.021670844
0.08733333333333333,0.9804,0.021564642
0.08733333333333333,0.9808,0.021497302
0.09346666666666667,0.9808,0.019467644
0.09373333333333334,0.9808,0.0194598
0.09466666666666666,0.9808,0.019309986
0.09493333333333333,0.9808,0.019288804
0.0984,0.9808,0.018109903
0.09866666666666667,0.9808,0.0180931
0.09866666666666667,0.9812,0.01806966
0.0996,0.9812,0.017716855
0.09986666666666667,0.9812,0.017715974
0.10386666666666666,0.9812,0.01684481
