fpr,tpr,_
0.0,0.0,1.9738014
0.0,0.0004,0.9738013
0.0,0.0024,0.960912
0.0006666666666666666,0.0024,0.9586014
0.0006666666666666666,0.0036,0.9564982
0.0008,0.0036,0.9560237
0.0008,0.0044,0.9557977
0.0009333333333333333,0.0044,0.955181
0.0009333333333333333,0.0064,0.9515464
0.0012,0.0064,0.95067793
0.0012,0.0124,0.937908
0.0013333333333333333,0.0124,0.93739593
0.0013333333333333333,0.0128,0.93599164
0.0016,0.0128,0.9352757
0.0016,0.0148,0.9319734
0.0017333333333333333,0.0148,0.9318177
0.0017333333333333333,0.0152,0.9312063
0.002,0.0152,0.93110436
0.002,0.0188,0.92569375
0.0021333333333333334,0.0188,0.925688
0.0021333333333333334,0.0248,0.9176095
0.002266666666666667,0.0248,0.9170638
0.002266666666666667,0.0268,0.91275734
0.0024,0.0268,0.9125244
0.0024,0.0324,0.90960103
0.002533333333333333,0.0324,0.9095652
0.002533333333333333,0.0364,0.90462935
0.0026666666666666666,0.0364,0.9043041
0.0026666666666666666,0.0388,0.9026198
0.0029333333333333334,0.0388,0.90073925
0.0029333333333333334,0.0436,0.8956462
0.0030666666666666668,0.0436,0.895362
0.0030666666666666668,0.046,0.89272165
0.0032,0.046,0.89262474
0.0032,0.0464,0.8925748
0.0033333333333333335,0.0464,0.8923538
0.0033333333333333335,0.0492,0.89079285
0.0034666666666666665,0.0492,0.8905482
0.0034666666666666665,0.0504,0.88949156
0.0036,0.0504,0.88930315
0.0036,0.0508,0.8889042
0.0037333333333333333,0.0508,0.8887043
0.0037333333333333333,0.052,0.8879908
0.0038666666666666667,0.052,0.88797325
0.0038666666666666667,0.0532,0.88668054
0.004,0.0532,0.88661927
0.004,0.0536,0.88652605
0.0041333333333333335,0.0536,0.8861112
0.0041333333333333335,0.0552,0.8839498
0.0044,0.0552,0.8828772
0.0044,0.0604,0.87574875
0.004533333333333334,0.0604,0.875733
0.004533333333333334,0.0616,0.87486756
0.004666666666666667,0.0616,0.8745772
0.004666666666666667,0.0628,0.8732694
0.0048,0.0628,0.8728206
0.0048,0.0632,0.8727031
0.005066666666666666,0.0632,0.8723597
0.005066666666666666,0.0636,0.8722705
0.0052,0.0636,0.87214184
0.0052,0.0656,0.8701002
0.0054666666666666665,0.0656,0.86976403
0.0054666666666666665,0.0672,0.8682711
0.0056,0.0672,0.86788654
0.0056,0.0696,0.8668385
0.005733333333333333,0.0696,0.86619085
0.005733333333333333,0.07,0.8661562
0.005866666666666667,0.07,0.8660907
0.005866666666666667,0.0708,0.8658543
0.006,0.0708,0.8658344
0.006,0.072,0.8642301
0.0061333333333333335,0.072,0.86409587
0.0061333333333333335,0.0728,0.8637029
0.006266666666666667,0.0728,0.8631549
0.006266666666666667,0.0748,0.86205155
0.0064,0.0748,0.86175096
0.0064,0.0776,0.86052907
0.006533333333333334,0.0776,0.8604295
0.006533333333333334,0.0792,0.85938364
0.006666666666666667,0.0792,0.8592356
0.006666666666666667,0.0808,0.85714483
0.0068,0.0808,0.8568596
0.0068,0.0832,0.8538243
0.006933333333333333,0.0832,0.8537146
0.006933333333333333,0.0856,0.8513281
0.007066666666666666,0.0856,0.8509868
0.007066666666666666,0.0864,0.8505539
0.0072,0.0864,0.85049146
0.0072,0.088,0.84949917
0.007333333333333333,0.088,0.84942925
0.007333333333333333,0.0892,0.8481548
0.007466666666666667,0.0892,0.84762
0.007466666666666667,0.0908,0.84582406
0.0076,0.0908,0.84567434
0.0076,0.0948,0.8406524
0.007733333333333333,0.0948,0.8406075
0.007733333333333333,0.0956,0.84045386
0.007866666666666666,0.0956,0.8404404
0.007866666666666666,0.1028,0.8346734
0.008,0.1028,0.8346546
0.008,0.1044,0.8321607
0.008133333333333333,0.1044,0.8316603
0.008133333333333333,0.1084,0.8297486
0.008266666666666667,0.1084,0.8296
0.008266666666666667,0.112,0.827591
0.0084,0.112,0.82752585
0.0084,0.1124,0.8264506
0.008666666666666666,0.1124,0.82568634
0.008666666666666666,0.1132,0.8249818
0.0088,0.1132,0.82489735
0.0088,0.1148,0.824115
0.008933333333333333,0.1148,0.82365626
0.008933333333333333,0.116,0.82230043
0.009066666666666667,0.116,0.8222818
0.009066666666666667,0.1172,0.8216462
0.0092,0.1172,0.8208728
0.0092,0.1176,0.8208526
0.009333333333333334,0.1176,0.820679
0.009333333333333334,0.1188,0.820116
0.009466666666666667,0.1188,0.8193301
0.009466666666666667,0.12,0.8188599
0.0096,0.12,0.8186762
0.0096,0.1212,0.81671983
0.009733333333333333,0.1212,0.81644547
0.009733333333333333,0.1216,0.81637853
0.009866666666666666,0.1216,0.8156796
0.009866666666666666,0.1224,0.8150555
0.01,0.1224,0.81478846
0.01,0.1232,0.8140391
0.010133333333333333,0.1232,0.813109
0.010133333333333333,0.1244,0.8120596
0.010266666666666667,0.1244,0.8119459
0.010266666666666667,0.128,0.8079651
0.0104,0.128,0.807753
0.0104,0.1304,0.8067229
0.010533333333333334,0.1304,0.8066565
0.010533333333333334,0.1308,0.8064492
0.010666666666666666,0.1308,0.8062581
0.010666666666666666,0.1316,0.8057757
0.0108,0.1316,0.8055251
0.0108,0.1328,0.80482453
0.010933333333333333,0.1328,0.8043913
0.010933333333333333,0.134,0.80331737
0.0112,0.134,0.8028294
0.0112,0.1376,0.8009691
0.011333333333333334,0.1376,0.8005459
0.011333333333333334,0.1416,0.7968776
0.011466666666666667,0.1416,0.79685974
0.011466666666666667,0.1432,0.79591334
0.0116,0.1432,0.7947511
0.0116,0.1436,0.79438585
0.011733333333333333,0.1436,0.7941077
0.011733333333333333,0.1456,0.79217535
0.011866666666666666,0.1456,0.7914142
0.011866666666666666,0.1504,0.7895278
0.012,0.1504,0.78942657
0.012,0.1532,0.78667957
0.012133333333333333,0.1532,0.78648514
0.012133333333333333,0.1544,0.7856799
0.0124,0.1544,0.78515893
0.0124,0.1552,0.7847166
0.012533333333333334,0.1552,0.78469175
0.012533333333333334,0.1604,0.7814919
0.012666666666666666,0.1604,0.7805609
0.012666666666666666,0.1624,0.78001755
0.0128,0.1624,0.7799982
0.0128,0.1656,0.7783769
0.012933333333333333,0.1656,0.7783712
0.012933333333333333,0.1692,0.7757757
0.013066666666666667,0.1692,0.77554995
0.013066666666666667,0.1696,0.775549
0.0132,0.1696,0.77544755
0.0132,0.1704,0.77430654
0.0136,0.1704,0.77331245
0.0136,0.1712,0.77248245
0.013733333333333334,0.1712,0.7721204
0.013733333333333334,0.1724,0.7710628
0.013866666666666666,0.1724,0.77031934
0.013866666666666666,0.1728,0.77028805
0.014,0.1728,0.77018267
0.014,0.1736,0.7697548
0.0144,0.1736,0.7692826
0.0144,0.1756,0.7681562
0.014533333333333334,0.1756,0.7675455
0.014533333333333334,0.1764,0.7672587
0.014666666666666666,0.1764,0.76699346
0.014666666666666666,0.1768,0.7669626
0.0148,0.1768,0.7667408
0.0148,0.1776,0.7666734
0.015066666666666667,0.1776,0.766586
0.015066666666666667,0.1788,0.7660153
0.0152,0.1788,0.7659118
0.0152,0.18,0.7653304
0.015333333333333332,0.18,0.76528716
0.015333333333333332,0.1812,0.7640822
0.015466666666666667,0.1812,0.76394033
0.015466666666666667,0.1816,0.7637826
0.015733333333333332,0.1816,0.76375353
0.015733333333333332,0.184,0.76217365
0.016266666666666665,0.184,0.76023203
0.016266666666666665,0.1848,0.7600642
0.0164,0.1848,0.7594354
0.0164,0.1872,0.7576022
0.016533333333333334,0.1872,0.7574791
0.016533333333333334,0.1876,0.75726694
0.016666666666666666,0.1876,0.7572274
0.016666666666666666,0.188,0.7570976
0.0168,0.188,0.7564263
0.0168,0.1892,0.75546014
0.016933333333333335,0.1892,0.7551401
0.016933333333333335,0.19,0.7538823
0.017066666666666667,0.19,0.7538099
0.017066666666666667,0.1912,0.7534356
0.017333333333333333,0.1912,0.7524446
0.017333333333333333,0.1932,0.74985904
0.017466666666666665,0.1932,0.7493924
0.017466666666666665,0.1948,0.7478523
0.0176,0.1948,0.7475825
0.0176,0.1952,0.7474669
0.017733333333333334,0.1952,0.7474507
0.018133333333333335,0.1952,0.74658287
0.018133333333333335,0.1976,0.74581695
0.0184,0.1976,0.7450095
0.0184,0.1984,0.74439895
0.018533333333333332,0.1984,0.7443933
0.018533333333333332,0.1988,0.7438725
0.0188,0.1988,0.742877
0.0188,0.1992,0.74236774
0.018933333333333333,0.1992,0.74226546
0.018933333333333333,0.2,0.7419906
0.019066666666666666,0.2,0.74149126
0.019066666666666666,0.2004,0.7412909
0.0192,0.2004,0.7412609
0.0192,0.2016,0.7408707
0.019333333333333334,0.2016,0.7408647
0.019333333333333334,0.202,0.7406843
0.019733333333333332,0.202,0.73891
0.019733333333333332,0.2096,0.73474103
0.019866666666666668,0.2096,0.73459977
0.019866666666666668,0.21,0.73456174
0.02,0.21,0.734514
0.02,0.2132,0.7322084
0.0208,0.2132,0.73079705
0.0208,0.2136,0.7307452
0.020933333333333335,0.2136,0.73042035
0.020933333333333335,0.2144,0.7301073
0.021066666666666668,0.2144,0.7300384
0.021066666666666668,0.2148,0.729829
0.0212,0.2148,0.72957003
0.0212,0.22,0.7264302
0.021333333333333333,0.22,0.72637564
0.021333333333333333,0.2212,0.72543323
0.021466666666666665,0.2212,0.72538155
0.021466666666666665,0.2284,0.721194
0.021733333333333334,0.2284,0.7196584
0.021733333333333334,0.2288,0.7196399
0.022,0.2288,0.71948683
0.022,0.2292,0.7190575
