fpr,tpr,_
0.0,0.0,1.9991326
0.0,0.0004,0.9991327
0.0,0.0016,0.99094874
0.00013333333333333334,0.0016,0.9908959
0.00013333333333333334,0.0028,0.98972344
0.0002666666666666667,0.0028,0.9876217
0.0002666666666666667,0.0032,0.9867611
0.0004,0.0032,0.9858708
0.0004,0.0036,0.9855209
0.0005333333333333334,0.0036,0.98492545
0.0005333333333333334,0.0064,0.9791804
0.0006666666666666666,0.0064,0.9786724
0.0006666666666666666,0.0088,0.9727538
0.0008,0.0088,0.9723139
0.0008,0.0124,0.9684286
0.0009333333333333333,0.0124,0.9684235
0.0009333333333333333,0.0132,0.9676175
0.0010666666666666667,0.0132,0.967235
0.0010666666666666667,0.0136,0.96714014
0.0012,0.0136,0.9667846
0.0012,0.0148,0.96424884
0.0013333333333333333,0.0148,0.9641106
0.0013333333333333333,0.0172,0.96031183
0.0014666666666666667,0.0172,0.9596747
0.0014666666666666667,0.0176,0.9595317
0.0016,0.0176,0.95914704
0.0016,0.0196,0.95796007
0.0017333333333333333,0.0196,0.95741886
0.0017333333333333333,0.022,0.95458156
0.0018666666666666666,0.022,0.9542639
0.0018666666666666666,0.0244,0.9525857
0.002,0.0244,0.9516058
0.002,0.0248,0.95057213
0.002266666666666667,0.0248,0.9496755
0.002266666666666667,0.03,0.9443977
0.0024,0.03,0.94406325
0.0024,0.0324,0.93869895
0.002533333333333333,0.0324,0.93864024
0.002533333333333333,0.0328,0.93840975
0.0026666666666666666,0.0328,0.9382889
0.0026666666666666666,0.038,0.9344402
0.0028,0.038,0.93319
0.0028,0.0384,0.93310773
0.0029333333333333334,0.0384,0.9330457
0.0029333333333333334,0.04,0.9314171
0.0032,0.04,0.93092996
0.0032,0.044,0.9253352
0.0034666666666666665,0.044,0.92475235
0.0034666666666666665,0.0472,0.91833687
0.0036,0.0472,0.9183235
0.0036,0.0476,0.91825485
0.0037333333333333333,0.0476,0.9182436
0.0037333333333333333,0.0524,0.91223985
0.0038666666666666667,0.0524,0.9118858
0.0038666666666666667,0.0548,0.9090981
0.004,0.0548,0.9080865
0.004,0.0568,0.90542054
0.0041333333333333335,0.0568,0.9054175
0.0041333333333333335,0.058,0.9051007
0.004266666666666667,0.058,0.9049424
0.004266666666666667,0.0588,0.90379614
0.0044,0.0588,0.90365154
0.0044,0.0596,0.90271604
0.004533333333333334,0.0596,0.90256125
0.004533333333333334,0.0604,0.90156686
0.004666666666666667,0.0604,0.9014351
0.004666666666666667,0.0616,0.89973795
0.0052,0.0616,0.8962841
0.0052,0.0624,0.8950681
0.005333333333333333,0.0624,0.89479965
0.005333333333333333,0.064,0.89201677
0.0054666666666666665,0.064,0.89174455
0.0054666666666666665,0.0676,0.8877371
0.0056,0.0676,0.88732666
0.0056,0.0688,0.88475424
0.005733333333333333,0.0688,0.88351583
0.005733333333333333,0.0696,0.88249314
0.005866666666666667,0.0696,0.8823326
0.005866666666666667,0.07,0.88148415
0.006,0.07,0.8813598
0.006,0.072,0.87978977
0.0061333333333333335,0.072,0.8797036
0.0064,0.072,0.8793714
0.0064,0.0728,0.87895864
0.006533333333333334,0.0728,0.8785662
0.006533333333333334,0.0736,0.8783563
0.006666666666666667,0.0736,0.87662673
0.006666666666666667,0.074,0.8756717
0.007466666666666667,0.074,0.8734733
0.007466666666666667,0.076,0.8726305
0.0076,0.076,0.8724876
0.0076,0.0832,0.8655088
0.007866666666666666,0.0832,0.865124
0.007866666666666666,0.0844,0.86363626
0.008,0.0844,0.86343735
0.008,0.0848,0.86325383
0.008133333333333333,0.0848,0.8621506
0.008133333333333333,0.0852,0.8615997
0.008266666666666667,0.0852,0.861432
0.008266666666666667,0.0868,0.8597774
0.0084,0.0868,0.8589674
0.0084,0.088,0.85748523
0.008666666666666666,0.088,0.8565029
0.008666666666666666,0.09,0.8543358
0.008933333333333333,0.09,0.8533644
0.008933333333333333,0.0904,0.8533203
0.0092,0.0904,0.8530355
0.0092,0.0948,0.84804976
0.009333333333333334,0.0948,0.84797853
0.009333333333333334,0.0952,0.84792596
0.009466666666666667,0.0952,0.847131
0.009466666666666667,0.0996,0.8400962
0.0096,0.0996,0.8378826
0.0096,0.1032,0.832752
0.009733333333333333,0.1032,0.8321892
0.009733333333333333,0.1044,0.83123356
0.01,0.1044,0.82738626
0.01,0.1056,0.8236766
0.010133333333333333,0.1056,0.82317114
0.010133333333333333,0.108,0.8219577
0.010266666666666667,0.108,0.8207714
0.010266666666666667,0.1088,0.82058424
0.010533333333333334,0.1088,0.8184361
0.010533333333333334,0.1128,0.8126559
0.0108,0.1128,0.8119392
0.0108,0.1136,0.8079807
0.010933333333333333,0.1136,0.8078755
0.010933333333333333,0.1148,0.8068924
0.011066666666666667,0.1148,0.8067179
0.011066666666666667,0.1168,0.8030336
0.0112,0.1168,0.80298704
0.0112,0.1188,0.8003731
0.011333333333333334,0.1188,0.80000824
0.011333333333333334,0.1208,0.7981565
0.0116,0.1208,0.7974982
0.0116,0.1212,0.79645085
0.011733333333333333,0.1212,0.79602987
0.011733333333333333,0.1224,0.79279006
0.011866666666666666,0.1224,0.7924448
0.011866666666666666,0.1236,0.79138464
0.012,0.1236,0.79109764
0.012,0.124,0.7910576
0.012133333333333333,0.124,0.7903224
0.012133333333333333,0.1256,0.78919697
0.012266666666666667,0.1256,0.7890273
0.012266666666666667,0.1284,0.78740764
0.0124,0.1284,0.786862
0.0124,0.1288,0.7866651
0.012533333333333334,0.1288,0.7851225
0.012533333333333334,0.1296,0.7839861
0.0132,0.1296,0.7823266
0.0132,0.1304,0.780514
0.013466666666666667,0.1304,0.7795505
0.013466666666666667,0.132,0.77786344
0.013866666666666666,0.132,0.7775132
0.013866666666666666,0.1324,0.77722156
0.014,0.1324,0.77710843
0.014,0.1364,0.7735301
0.014133333333333333,0.1364,0.7728957
0.014133333333333333,0.1376,0.7718138
0.014266666666666667,0.1376,0.7715284
0.014266666666666667,0.1388,0.77034694
0.0144,0.1388,0.7702343
0.0144,0.1396,0.7700618
0.014533333333333334,0.1396,0.7683226
0.014533333333333334,0.14,0.76823705
0.014666666666666666,0.14,0.76785123
0.014666666666666666,0.1408,0.766245
0.0148,0.1408,0.7659784
0.0148,0.1416,0.76568246
0.014933333333333333,0.1416,0.76543534
0.014933333333333333,0.142,0.76495886
0.015066666666666667,0.142,0.7648398
0.015066666666666667,0.1424,0.764554
0.0152,0.1424,0.7640625
0.0152,0.1444,0.7621487
0.015333333333333332,0.1444,0.76179224
0.015333333333333332,0.1456,0.760448
0.0156,0.1456,0.75974864
0.0156,0.1484,0.75564873
0.015733333333333332,0.1484,0.7556119
0.015733333333333332,0.1488,0.75555634
0.015866666666666668,0.1488,0.7555433
0.015866666666666668,0.15,0.75330573
0.016,0.15,0.75280833
0.016,0.1512,0.7503454
0.016266666666666665,0.1512,0.7497137
0.016266666666666665,0.152,0.7492894
0.0164,0.152,0.74926907
0.0164,0.1524,0.74902445
0.016533333333333334,0.1524,0.7489444
0.016533333333333334,0.1556,0.74631566
0.016666666666666666,0.1556,0.74614394
0.016666666666666666,0.156,0.74571353
0.017466666666666665,0.156,0.74382323
0.017466666666666665,0.1572,0.7420021
0.0176,0.1572,0.7414981
0.0176,0.158,0.7394792
0.017733333333333334,0.158,0.739331
0.017733333333333334,0.1584,0.7388812
0.017866666666666666,0.1584,0.7387809
0.017866666666666666,0.1592,0.737689
0.018133333333333335,0.1592,0.73735386
0.018133333333333335,0.16,0.7360306
0.0184,0.16,0.7349378
0.0184,0.1624,0.73235506
0.018533333333333332,0.1624,0.7314855
0.018533333333333332,0.1628,0.73136
0.018666666666666668,0.1628,0.7304072
0.018666666666666668,0.1636,0.72881615
0.0188,0.1636,0.7283556
0.0188,0.1648,0.72609115
0.018933333333333333,0.1648,0.72592485
0.018933333333333333,0.166,0.72455424
0.019066666666666666,0.166,0.72446275
0.019066666666666666,0.1672,0.7229151
0.019333333333333334,0.1672,0.72269917
0.019333333333333334,0.168,0.7223773
0.0196,0.168,0.72173464
0.0196,0.1684,0.72169846
0.019733333333333332,0.1684,0.7214438
0.019733333333333332,0.1688,0.72143674
0.019866666666666668,0.1688,0.7212139
0.019866666666666668,0.1692,0.7208035
0.02,0.1692,0.7204659
0.02,0.1696,0.72030324
0.020133333333333333,0.1696,0.7201353
0.020133333333333333,0.1728,0.71419555
0.020266666666666665,0.1728,0.7133739
0.020266666666666665,0.1736,0.7099461
0.0204,0.1736,0.70971566
0.0204,0.1744,0.7094485
0.020933333333333335,0.1744,0.70780724
0.020933333333333335,0.1748,0.70756346
0.021066666666666668,0.1748,0.70714766
0.021066666666666668,0.1756,0.7065286
0.0212,0.1756,0.7059829
0.0212,0.1768,0.70522666
0.021333333333333333,0.1768,0.70510185
0.021333333333333333,0.1772,0.7050772
0.0216,0.1772,0.7034325
0.0216,0.1776,0.7030666
0.0224,0.1776,0.7015277
0.0224,0.178,0.700313
