fpr,tpr,_
0.0,0.0,1.9989644
0.0,0.0004,0.9989644
0.0,0.0864,0.9944989
0.0,0.0872,0.9944765
0.0,0.1668,0.99208975
0.0,0.1676,0.9920787
0.0,0.2496,0.98928237
0.0,0.2504,0.9892456
0.0,0.3772,0.98454744
0.0,0.378,0.98454016
0.0,0.5012,0.97731346
0.0,0.502,0.977216
0.0,0.7672,0.93913484
0.00013333333333333334,0.7672,0.93910414
0.00013333333333333334,0.8068,0.92526054
0.0002666666666666667,0.8068,0.925045
0.0002666666666666667,0.8564,0.9000701
0.0004,0.8564,0.89970785
0.0004,0.8928,0.8617955
0.0005333333333333334,0.8928,0.8616796
0.0005333333333333334,0.9128,0.83376384
0.0006666666666666666,0.9128,0.833478
0.0006666666666666666,0.9248,0.81001896
0.0008,0.9248,0.8100004
0.0008,0.9256,0.80671746
0.0009333333333333333,0.9256,0.8065866
0.0009333333333333333,0.9308,0.7950468
0.0010666666666666667,0.9308,0.7934921
0.0010666666666666667,0.934,0.78369474
0.0012,0.934,0.7828416
0.0012,0.9364,0.7797191
0.0013333333333333333,0.9364,0.77951866
0.0013333333333333333,0.9452,0.7403833
0.0014666666666666667,0.9452,0.7403354
0.0014666666666666667,0.9456,0.74016404
0.0016,0.9456,0.7392452
0.0016,0.946,0.7388444
0.0017333333333333333,0.946,0.738443
0.0017333333333333333,0.9488,0.7279942
0.0018666666666666666,0.9488,0.724625
0.0018666666666666666,0.95,0.7207395
0.002,0.95,0.71903634
0.002,0.9556,0.6792324
0.002266666666666667,0.9556,0.6752132
0.002266666666666667,0.9576,0.638764
0.0026666666666666666,0.9576,0.6216812
0.0026666666666666666,0.958,0.6167366
0.0030666666666666668,0.958,0.60771483
0.0030666666666666668,0.9588,0.5982574
0.0034666666666666665,0.9588,0.5823944
0.0034666666666666665,0.9596,0.58118284
0.0037333333333333333,0.9596,0.5731209
0.0037333333333333333,0.9608,0.56859815
0.0038666666666666667,0.9608,0.56790864
0.0038666666666666667,0.9624,0.5503789
0.0041333333333333335,0.9624,0.5376819
0.0041333333333333335,0.9628,0.5259917
0.0044,0.9628,0.5074482
0.0044,0.9632,0.5015892
0.004533333333333334,0.9632,0.4954094
0.004533333333333334,0.964,0.4873956
0.004666666666666667,0.964,0.48385513
0.004666666666666667,0.9644,0.48322332
0.005066666666666666,0.9644,0.4746819
0.005066666666666666,0.9652,0.47108358
0.0052,0.9652,0.47100767
0.0052,0.9656,0.47059542
0.005333333333333333,0.9656,0.45916337
0.005333333333333333,0.9664,0.45643422
0.0056,0.9664,0.44388828
0.0056,0.9668,0.44087398
0.0061333333333333335,0.9668,0.41658017
0.0061333333333333335,0.9672,0.4097242
0.006266666666666667,0.9672,0.409646
0.006266666666666667,0.9676,0.40548825
0.0068,0.9676,0.38993102
0.0068,0.968,0.38561773
0.006933333333333333,0.968,0.37914187
0.006933333333333333,0.9684,0.37759754
0.0072,0.9684,0.37585258
0.0072,0.9688,0.36762246
0.008266666666666667,0.9688,0.35607266
0.0088,0.9688,0.34704143
0.0088,0.9696,0.33843198
0.008933333333333333,0.9696,0.33597904
0.0092,0.9696,0.33214
0.0112,0.9696,0.29598048
0.011733333333333333,0.9696,0.2900856
0.011866666666666666,0.9696,0.28633547
0.012133333333333333,0.9696,0.2772435
0.015066666666666667,0.9696,0.23587555
0.0156,0.9696,0.23386754
0.017066666666666667,0.9696,0.22410749
0.017066666666666667,0.97,0.22167975
0.019733333333333332,0.97,0.19427891
0.019733333333333332,0.9708,0.1939389
0.021466666666666665,0.9708,0.18334472
0.021733333333333334,0.9708,0.18293665
0.0228,0.9708,0.17504726
0.0228,0.9712,0.17409824
0.022933333333333333,0.9712,0.17355499
0.022933333333333333,0.9716,0.17262582
0.024,0.9716,0.16589154
0.024266666666666666,0.9716,0.16528068
0.027066666666666666,0.9716,0.15420479
0.027333333333333334,0.9716,0.15391383
0.0336,0.9716,0.13063194
0.0336,0.972,0.13042274
0.03573333333333333,0.972,0.12518132
0.03573333333333333,0.9724,0.12476018
0.042,0.9724,0.10704997
0.042,0.9728,0.10703723
0.0428,0.9728,0.106301084
0.04306666666666667,0.9728,0.106042296
0.0444,0.9728,0.10435058
0.04466666666666667,0.9728,0.10336447
0.048266666666666666,0.9728,0.09546947
0.048266666666666666,0.9732,0.09532401
0.05026666666666667,0.9732,0.09021907
0.05026666666666667,0.9736,0.08894036
0.05093333333333333,0.9736,0.08779961
0.05093333333333333,0.974,0.08767341
0.0528,0.974,0.08301128
0.053066666666666665,0.974,0.08299925
0.05653333333333333,0.974,0.07988682
0.05653333333333333,0.9744,0.07987152
0.05826666666666667,0.9744,0.077867046
0.05853333333333333,0.9744,0.07759375
0.05973333333333333,0.9744,0.07578769
0.06,0.9744,0.075627826
0.0668,0.9744,0.06806836
0.06706666666666666,0.9744,0.06794572
0.0684,0.9744,0.06658458
0.06866666666666667,0.9744,0.0664347
0.06893333333333333,0.9744,0.06638239
0.0692,0.9744,0.06606927
0.0736,0.9744,0.061647795
0.07386666666666666,0.9744,0.061442517
0.07413333333333333,0.9744,0.061222285
0.07413333333333333,0.9748,0.061209127
0.07893333333333333,0.9748,0.05764527
0.0792,0.9748,0.057576817
0.08266666666666667,0.9748,0.05507952
0.08293333333333333,0.9748,0.0550506
0.08466666666666667,0.9748,0.053694233
0.08493333333333333,0.9748,0.0534932
0.0856,0.9748,0.05301843
0.08586666666666666,0.9748,0.052961204
0.08746666666666666,0.9748,0.05199926
0.08746666666666666,0.9752,0.05186739
0.0888,0.9752,0.050912216
0.0888,0.9756,0.05080556
0.08933333333333333,0.9756,0.050295714
0.0896,0.9756,0.050264385
0.0952,0.9756,0.045688488
0.09546666666666667,0.9756,0.045625575
0.10013333333333334,0.9756,0.043253608
0.1004,0.9756,0.043088708
0.1024,0.9756,0.04228494
0.1024,0.976,0.042253174
0.10533333333333333,0.976,0.041117635
0.1056,0.976,0.041003723
0.10666666666666667,0.976,0.04030882
