fpr,tpr,_
0.0,0.0,1.9943836
0.0,0.0004,0.9943836
0.0,0.0032,0.9891483
0.00013333333333333334,0.0032,0.98894507
0.00013333333333333334,0.0132,0.97598594
0.0002666666666666667,0.0132,0.9752582
0.0002666666666666667,0.0176,0.97004175
0.0004,0.0176,0.9697168
0.0004,0.0268,0.9557858
0.0005333333333333334,0.0268,0.9554818
0.0005333333333333334,0.0284,0.9543563
0.0006666666666666666,0.0284,0.9540648
0.0006666666666666666,0.0296,0.9507572
0.0008,0.0296,0.95057
0.0008,0.03,0.9492551
0.0013333333333333333,0.03,0.94847095
0.0013333333333333333,0.0304,0.9477896
0.0014666666666666667,0.0304,0.9466818
0.0014666666666666667,0.032,0.9451936
0.0016,0.032,0.94380957
0.0016,0.0372,0.93629533
0.0018666666666666666,0.0372,0.93550503
0.0018666666666666666,0.0388,0.93455565
0.0021333333333333334,0.0388,0.93406045
0.0021333333333333334,0.042,0.93024313
0.002266666666666667,0.042,0.93009543
0.002266666666666667,0.0432,0.9287021
0.0024,0.0432,0.92866987
0.0024,0.0444,0.92840385
0.0026666666666666666,0.0444,0.9282623
0.0026666666666666666,0.046,0.9262283
0.0028,0.046,0.92577475
0.0028,0.0504,0.9155744
0.0029333333333333334,0.0504,0.91521376
0.0029333333333333334,0.0512,0.91494066
0.0030666666666666668,0.0512,0.914078
0.0030666666666666668,0.0552,0.9071218
0.0032,0.0552,0.90703905
0.0032,0.0568,0.90270543
0.0033333333333333335,0.0568,0.9009346
0.0033333333333333335,0.0572,0.90010196
0.0034666666666666665,0.0572,0.8996679
0.0034666666666666665,0.0584,0.89891547
0.0036,0.0584,0.89877385
0.0036,0.0596,0.8982118
0.0037333333333333333,0.0596,0.89776814
0.0037333333333333333,0.0664,0.8859725
0.0038666666666666667,0.0664,0.8856905
0.0038666666666666667,0.0676,0.8852369
0.004,0.0676,0.8850461
0.004,0.0716,0.876995
0.0041333333333333335,0.0716,0.8765666
0.0041333333333333335,0.0732,0.8744134
0.004266666666666667,0.0732,0.8742481
0.004266666666666667,0.0736,0.8740908
0.0044,0.0736,0.8735327
0.0044,0.0756,0.8714668
0.004533333333333334,0.0756,0.87039727
0.004533333333333334,0.0764,0.8693413
0.004666666666666667,0.0764,0.86924547
0.004666666666666667,0.078,0.8677396
0.0048,0.078,0.86761296
0.0048,0.0788,0.86618793
0.004933333333333333,0.0788,0.8651946
0.004933333333333333,0.0832,0.86153686
0.005066666666666666,0.0832,0.86064774
0.005066666666666666,0.0844,0.85970294
0.0052,0.0844,0.85921437
0.0052,0.0864,0.85558337
0.005333333333333333,0.0864,0.85552967
0.005333333333333333,0.0884,0.8496214
0.0054666666666666665,0.0884,0.84852225
0.0054666666666666665,0.096,0.83993846
0.0061333333333333335,0.096,0.8386175
0.0061333333333333335,0.1024,0.8293244
0.006266666666666667,0.1024,0.82914865
0.006266666666666667,0.1068,0.8204975
0.006533333333333334,0.1068,0.81895894
0.006533333333333334,0.108,0.8174378
0.006666666666666667,0.108,0.8173861
0.006666666666666667,0.1084,0.81705767
0.0068,0.1084,0.8156514
0.0068,0.1088,0.8155049
0.007333333333333333,0.1088,0.81302387
0.0076,0.1088,0.81220746
0.0076,0.1092,0.8121359
0.007733333333333333,0.1092,0.81178266
0.007733333333333333,0.1096,0.81177026
0.007866666666666666,0.1096,0.8107745
0.007866666666666666,0.1112,0.80847234
0.008,0.1112,0.80826396
0.008,0.116,0.8036451
0.008266666666666667,0.116,0.801837
0.008266666666666667,0.118,0.801133
0.0084,0.118,0.79999024
0.0084,0.1212,0.7967693
0.008533333333333334,0.1212,0.79597723
0.008533333333333334,0.1216,0.79557693
0.008666666666666666,0.1216,0.7943842
0.008666666666666666,0.1224,0.79285914
0.0088,0.1224,0.7926667
0.0088,0.1236,0.7911104
0.008933333333333333,0.1236,0.78894013
0.008933333333333333,0.1256,0.7880379
0.009066666666666667,0.1256,0.78800976
0.009066666666666667,0.1276,0.7859072
0.0092,0.1276,0.7858782
0.0092,0.1284,0.7855402
0.009333333333333334,0.1284,0.78500044
0.009333333333333334,0.1288,0.7847632
0.0096,0.1288,0.78420043
0.0096,0.1312,0.7826354
0.009733333333333333,0.1312,0.78261197
0.009733333333333333,0.1356,0.77815944
0.009866666666666666,0.1356,0.7775858
0.009866666666666666,0.1368,0.77641165
0.01,0.1368,0.77625245
0.01,0.1384,0.77293086
0.010266666666666667,0.1384,0.77207285
0.010266666666666667,0.1388,0.7716129
0.0104,0.1388,0.7710721
0.0104,0.1404,0.7695536
0.010533333333333334,0.1404,0.7686466
0.010533333333333334,0.1412,0.76809955
0.010666666666666666,0.1412,0.766918
0.010666666666666666,0.144,0.76438636
0.0108,0.144,0.7639278
0.0108,0.1452,0.7633573
0.010933333333333333,0.1452,0.7629713
0.010933333333333333,0.1464,0.7621785
0.011066666666666667,0.1464,0.76137424
0.011066666666666667,0.15,0.75642926
0.011733333333333333,0.15,0.7542403
0.011733333333333333,0.1504,0.7537979
0.011866666666666666,0.1504,0.75332046
0.011866666666666666,0.1532,0.75054526
0.012,0.1532,0.7493521
0.012,0.1556,0.7444916
0.012266666666666667,0.1556,0.74361557
0.012266666666666667,0.1564,0.7430944
0.0124,0.1564,0.7430144
0.0124,0.158,0.741156
0.012933333333333333,0.158,0.7392321
0.012933333333333333,0.1584,0.7380333
0.013066666666666667,0.1584,0.7373812
0.013066666666666667,0.1596,0.735628
0.0132,0.1596,0.73556495
0.0132,0.1612,0.7347146
0.013333333333333334,0.1612,0.73454356
0.013333333333333334,0.1632,0.7335853
0.013466666666666667,0.1632,0.7326011
0.013466666666666667,0.1636,0.7325276
0.013733333333333334,0.1636,0.7319013
0.013733333333333334,0.166,0.7278811
0.014,0.166,0.72593683
0.014,0.1668,0.725331
0.014133333333333333,0.1668,0.72522974
0.014133333333333333,0.1672,0.7251221
0.0144,0.1672,0.72491044
0.0144,0.1676,0.72433627
0.014533333333333334,0.1676,0.7240313
0.014533333333333334,0.1696,0.72103393
0.0148,0.1696,0.720591
0.014933333333333333,0.1696,0.7201587
0.014933333333333333,0.17,0.7190252
0.0152,0.17,0.7189128
0.0152,0.1708,0.7162678
0.015333333333333332,0.1708,0.7159502
0.015333333333333332,0.1724,0.714196
0.0156,0.1724,0.7138925
0.0156,0.1728,0.7136695
0.015733333333333332,0.1728,0.71329105
0.015733333333333332,0.1732,0.7127982
0.015866666666666668,0.1732,0.71205467
0.015866666666666668,0.1796,0.7087787
0.016266666666666665,0.1796,0.7048032
0.016266666666666665,0.18,0.7046144
0.0164,0.18,0.7041844
0.0164,0.1804,0.70392656
0.016533333333333334,0.1804,0.70384693
0.016533333333333334,0.1812,0.7038074
0.016666666666666666,0.1812,0.70363593
0.016666666666666666,0.1816,0.7036256
0.017066666666666667,0.1816,0.70231473
0.017066666666666667,0.182,0.7019666
0.0172,0.182,0.7017685
0.0172,0.1832,0.7015345
0.017466666666666665,0.1832,0.7007233
0.017466666666666665,0.184,0.70002925
0.0176,0.184,0.6996766
0.0176,0.1852,0.6992704
0.017733333333333334,0.1852,0.69878304
0.017733333333333334,0.1856,0.6976651
0.017866666666666666,0.1856,0.69739485
0.017866666666666666,0.186,0.6973338
0.018,0.186,0.6972055
0.018,0.188,0.6952593
0.0184,0.188,0.69469315
0.0184,0.19,0.6923885
0.018533333333333332,0.19,0.6919693
0.018533333333333332,0.1908,0.691009
0.0188,0.1908,0.69013315
0.0188,0.1916,0.6888809
0.019066666666666666,0.1916,0.6884178
0.019066666666666666,0.1932,0.6873059
0.0192,0.1932,0.68692523
0.0192,0.1964,0.683872
0.0196,0.1964,0.6831776
0.0196,0.1976,0.6822929
