fpr,tpr,_
0.0,0.0,1.978256
0.00013333333333333334,0.0,0.97825605
0.00013333333333333334,0.0008,0.95343846
0.0004,0.0008,0.9474986
0.0004,0.0036,0.92278516
0.0005333333333333334,0.0036,0.92198604
0.0005333333333333334,0.0056,0.915613
0.0006666666666666666,0.0056,0.9138795
0.0006666666666666666,0.0064,0.9095649
0.0008,0.0064,0.90453327
0.0008,0.0068,0.90184027
0.0009333333333333333,0.0068,0.89822876
0.0009333333333333333,0.0076,0.89737684
0.0010666666666666667,0.0076,0.89608335
0.0010666666666666667,0.0084,0.89281064
0.0012,0.0084,0.89068466
0.0012,0.0088,0.89050287
0.0013333333333333333,0.0088,0.8898174
0.0013333333333333333,0.0092,0.8896243
0.0014666666666666667,0.0092,0.8885648
0.0014666666666666667,0.0104,0.885182
0.0017333333333333333,0.0104,0.8839
0.0017333333333333333,0.0108,0.88270074
0.0021333333333333334,0.0108,0.88037413
0.0021333333333333334,0.0116,0.8783404
0.0024,0.0116,0.87486917
0.0024,0.012,0.873799
0.002533333333333333,0.012,0.87334216
0.002533333333333333,0.014,0.87025416
0.0026666666666666666,0.014,0.8701612
0.0026666666666666666,0.0144,0.8681142
0.0030666666666666668,0.0144,0.8671635
0.0030666666666666668,0.0156,0.8659406
0.0032,0.0156,0.86508703
0.0032,0.0172,0.86313725
0.0033333333333333335,0.0172,0.86286163
0.0033333333333333335,0.0184,0.86155236
0.0034666666666666665,0.0184,0.8607431
0.0034666666666666665,0.0188,0.85981226
0.0037333333333333333,0.0188,0.85928226
0.0037333333333333333,0.0192,0.8583384
0.004,0.0192,0.85507184
0.004,0.0196,0.8545411
0.0041333333333333335,0.0196,0.85449064
0.0041333333333333335,0.02,0.85326755
0.0044,0.02,0.8517601
0.0044,0.0216,0.8483195
0.004533333333333334,0.0216,0.847641
0.004533333333333334,0.0236,0.8441205
0.004666666666666667,0.0236,0.8436266
0.004666666666666667,0.0248,0.84124523
0.0052,0.0248,0.8376764
0.0052,0.0264,0.8358968
0.005333333333333333,0.0264,0.8358778
0.005333333333333333,0.0276,0.8348029
0.0054666666666666665,0.0276,0.8345249
0.0054666666666666665,0.0284,0.83261794
0.0056,0.0284,0.83109593
0.0056,0.0292,0.8304519
0.005866666666666667,0.0292,0.82994586
0.005866666666666667,0.0296,0.82757306
0.006,0.0296,0.8275502
0.006,0.03,0.8271862
0.0061333333333333335,0.03,0.82714677
0.0061333333333333335,0.0304,0.8259223
0.006666666666666667,0.0304,0.82330793
0.006666666666666667,0.032,0.81848156
0.006933333333333333,0.032,0.81768894
0.006933333333333333,0.0324,0.8176409
0.007066666666666666,0.0324,0.8175557
0.007066666666666666,0.0356,0.8127894
0.0072,0.0356,0.81242603
0.0072,0.036,0.8107246
0.007466666666666667,0.036,0.8080381
0.007466666666666667,0.038,0.80415094
0.0076,0.038,0.8037363
0.0076,0.0388,0.8014165
0.007733333333333333,0.0388,0.8009923
0.007733333333333333,0.04,0.79964006
0.007866666666666666,0.04,0.7996108
0.007866666666666666,0.0412,0.79720336
0.008133333333333333,0.0412,0.79582435
0.008133333333333333,0.0416,0.795701
0.0084,0.0416,0.7951022
0.0084,0.042,0.79510134
0.008666666666666666,0.042,0.7945668
0.008666666666666666,0.0424,0.79429096
0.008933333333333333,0.0424,0.7938625
0.008933333333333333,0.0444,0.7916919
0.0092,0.0444,0.7906588
0.0092,0.0448,0.7900693
0.009333333333333334,0.0448,0.7897041
0.009333333333333334,0.0456,0.7895783
0.009466666666666667,0.0456,0.78834224
0.009466666666666667,0.046,0.7883308
0.0096,0.046,0.7879214
0.0096,0.0464,0.7864892
0.009733333333333333,0.0464,0.7857895
0.009733333333333333,0.0472,0.78475374
0.01,0.0472,0.7830842
0.01,0.0496,0.78121006
0.0104,0.0496,0.7801144
0.0104,0.0516,0.77727085
0.0108,0.0516,0.7758447
0.0108,0.0524,0.7755487
0.010933333333333333,0.0524,0.77553964
0.010933333333333333,0.0532,0.7744927
0.011066666666666667,0.0532,0.77418935
0.011066666666666667,0.054,0.7735946
0.011333333333333334,0.054,0.7730605
0.011333333333333334,0.0552,0.7722556
0.011466666666666667,0.0552,0.77203125
0.011466666666666667,0.056,0.7709064
0.011866666666666666,0.056,0.76847184
0.011866666666666666,0.0572,0.7660542
0.012133333333333333,0.0572,0.76528114
0.012133333333333333,0.0576,0.76508886
0.0128,0.0576,0.76361006
0.0128,0.06,0.7598636
0.012933333333333333,0.06,0.75945795
0.012933333333333333,0.0608,0.7590009
0.013066666666666667,0.0608,0.758811
0.013066666666666667,0.0612,0.7587098
0.013333333333333334,0.0612,0.75831497
0.013333333333333334,0.062,0.7581299
0.013466666666666667,0.062,0.75794184
0.013466666666666667,0.0636,0.75532436
0.013733333333333334,0.0636,0.75492775
0.013733333333333334,0.064,0.7549204
0.013866666666666666,0.064,0.7548532
0.013866666666666666,0.0648,0.7541979
0.014,0.0648,0.7541595
0.014,0.0652,0.7539799
0.014133333333333333,0.0652,0.75361204
0.014133333333333333,0.0656,0.753355
0.0144,0.0656,0.7530215
0.0144,0.068,0.751647
0.014533333333333334,0.068,0.75117
0.014533333333333334,0.07,0.74984777
0.0152,0.07,0.7480962
0.0152,0.0708,0.7472347
0.0156,0.0708,0.74617773
0.0156,0.0712,0.74607134
0.015866666666666668,0.0712,0.7456969
