fpr,tpr,_
0.0,0.0,1.9951456
0.0,0.0004,0.9951456
0.0,0.0028,0.9921938
0.00013333333333333334,0.0028,0.9921604
0.00013333333333333334,0.0076,0.9896376
0.0002666666666666667,0.0076,0.9891149
0.0002666666666666667,0.0088,0.9881224
0.0004,0.0088,0.98776
0.0004,0.042,0.9769085
0.0006666666666666666,0.042,0.97683924
0.0006666666666666666,0.0452,0.97591954
0.0008,0.0452,0.97577363
0.0008,0.0536,0.973777
0.0010666666666666667,0.0536,0.97361416
0.0010666666666666667,0.054,0.9734433
0.0013333333333333333,0.054,0.97324026
0.0013333333333333333,0.058,0.9717577
0.0014666666666666667,0.058,0.97174174
0.0014666666666666667,0.0588,0.9715664
0.0016,0.0588,0.97149974
0.0016,0.0616,0.97108847
0.0017333333333333333,0.0616,0.9708585
0.0017333333333333333,0.0692,0.96902096
0.0018666666666666666,0.0692,0.96883786
0.0018666666666666666,0.076,0.9678084
0.002,0.076,0.96769756
0.002,0.0796,0.96539557
0.0021333333333333334,0.0796,0.96532637
0.0021333333333333334,0.0824,0.9645585
0.002266666666666667,0.0824,0.9644703
0.002266666666666667,0.084,0.96419907
0.002533333333333333,0.084,0.9641136
0.002533333333333333,0.0904,0.9626553
0.0026666666666666666,0.0904,0.9626117
0.0026666666666666666,0.0916,0.9623922
0.0028,0.0916,0.96222717
0.0028,0.0932,0.96172535
0.0029333333333333334,0.0932,0.96145386
0.0029333333333333334,0.0952,0.96090746
0.0030666666666666668,0.0952,0.9608601
0.0030666666666666668,0.096,0.9606896
0.0032,0.096,0.96062005
0.0032,0.0976,0.9600089
0.0033333333333333335,0.0976,0.95996475
0.0033333333333333335,0.1048,0.9585444
0.0034666666666666665,0.1048,0.958524
0.0034666666666666665,0.1072,0.95755816
0.0036,0.1072,0.9574371
0.0036,0.1136,0.9561696
0.0037333333333333333,0.1136,0.9561237
0.0037333333333333333,0.114,0.95600116
0.0038666666666666667,0.114,0.9558444
0.0038666666666666667,0.1156,0.95520324
0.004,0.1156,0.9551671
0.004,0.1184,0.95414823
0.0041333333333333335,0.1184,0.95412165
0.0041333333333333335,0.1284,0.95177984
0.004266666666666667,0.1284,0.951703
0.004266666666666667,0.1324,0.95099866
0.0044,0.1324,0.9509815
0.0044,0.1356,0.9503823
0.004533333333333334,0.1356,0.95020777
0.004533333333333334,0.1388,0.9490813
0.004666666666666667,0.1388,0.94903654
0.004666666666666667,0.1444,0.94796246
0.0048,0.1444,0.9479482
0.0048,0.1476,0.94716215
0.004933333333333333,0.1476,0.9471321
0.004933333333333333,0.1488,0.9467942
0.005066666666666666,0.1488,0.94673395
0.005333333333333333,0.1488,0.9466946
0.005333333333333333,0.1496,0.9466148
