fpr,tpr,_
0.0,0.0,1.9738204
0.00013333333333333334,0.0,0.97382045
0.00013333333333333334,0.0004,0.9639199
0.0002666666666666667,0.0004,0.9557709
0.0002666666666666667,0.0012,0.9466214
0.0005333333333333334,0.0012,0.9357354
0.0005333333333333334,0.002,0.9322376
0.0006666666666666666,0.002,0.9318937
0.0006666666666666666,0.006,0.90039736
0.0009333333333333333,0.006,0.8931951
0.0009333333333333333,0.0064,0.8882479
0.0010666666666666667,0.0064,0.8841053
0.0010666666666666667,0.0068,0.883986
0.0013333333333333333,0.0068,0.87990457
0.0013333333333333333,0.0076,0.87878203
0.0014666666666666667,0.0076,0.8756542
0.0014666666666666667,0.008,0.87542504
0.0017333333333333333,0.008,0.8713401
0.0017333333333333333,0.0092,0.8682357
0.0018666666666666666,0.0092,0.86714166
0.0018666666666666666,0.0096,0.8666367
0.002,0.0096,0.86605304
0.002,0.01,0.86327225
0.0021333333333333334,0.01,0.86309
0.0021333333333333334,0.0108,0.8570391
0.002266666666666667,0.0108,0.8564704
0.002266666666666667,0.0124,0.8542157
0.0024,0.0124,0.8539049
0.0024,0.0136,0.8492945
0.0026666666666666666,0.0136,0.8489099
0.0026666666666666666,0.0152,0.8461147
0.0029333333333333334,0.0152,0.84305084
0.0029333333333333334,0.0168,0.841017
0.0032,0.0168,0.83946234
0.0032,0.0196,0.83444864
0.0033333333333333335,0.0196,0.8338709
0.0033333333333333335,0.0232,0.82491934
0.0036,0.0232,0.82438725
0.0036,0.0248,0.82246053
0.0037333333333333333,0.0248,0.8222868
0.0037333333333333333,0.026,0.8199172
0.0038666666666666667,0.026,0.81971586
0.0038666666666666667,0.0264,0.81811273
0.004,0.0264,0.8178799
0.004,0.0308,0.81180066
0.0041333333333333335,0.0308,0.8114069
0.0041333333333333335,0.0324,0.8100665
0.0044,0.0324,0.8090398
0.0044,0.034,0.80629593
0.004666666666666667,0.034,0.805108
0.004666666666666667,0.0344,0.80503255
0.0048,0.0344,0.80420464
0.0048,0.0352,0.8027014
0.004933333333333333,0.0352,0.80152863
0.004933333333333333,0.0356,0.8011023
0.005066666666666666,0.0356,0.80052686
0.005066666666666666,0.036,0.8002483
0.0052,0.036,0.8002257
0.0052,0.0372,0.7978697
0.005333333333333333,0.0372,0.7978517
0.005333333333333333,0.0376,0.7977658
0.0054666666666666665,0.0376,0.7976684
0.0054666666666666665,0.0432,0.7877716
0.005733333333333333,0.0432,0.78692085
0.005733333333333333,0.0448,0.7852776
0.006,0.0448,0.78496647
0.006,0.0476,0.7821405
0.0061333333333333335,0.0476,0.7812875
0.0061333333333333335,0.048,0.7810201
0.006266666666666667,0.048,0.7795762
0.006266666666666667,0.0488,0.77897847
0.0064,0.0488,0.77797145
0.0064,0.0496,0.775966
0.006666666666666667,0.0496,0.7748629
0.006666666666666667,0.0512,0.77302104
0.006933333333333333,0.0512,0.77062416
0.006933333333333333,0.0528,0.76808
0.007066666666666666,0.0528,0.7669598
0.007066666666666666,0.0532,0.7660775
0.007333333333333333,0.0532,0.7658676
0.007333333333333333,0.054,0.7649974
0.007466666666666667,0.054,0.7646545
0.007466666666666667,0.0544,0.76413816
0.0076,0.0544,0.7641065
0.0076,0.0556,0.7631962
0.007866666666666666,0.0556,0.76279837
0.007866666666666666,0.056,0.7594873
0.008133333333333333,0.056,0.75938326
0.008133333333333333,0.0564,0.7592659
0.008533333333333334,0.0564,0.7583445
0.008533333333333334,0.0568,0.7575936
0.0088,0.0568,0.7572869
0.0088,0.0576,0.7564936
0.009066666666666667,0.0576,0.75520235
0.009066666666666667,0.058,0.75505215
0.0092,0.058,0.7550253
0.0092,0.0596,0.75405395
0.009333333333333334,0.0596,0.7539319
0.009333333333333334,0.0608,0.7512306
0.009466666666666667,0.0608,0.7508108
0.009466666666666667,0.0612,0.7505346
0.0096,0.0612,0.7505162
0.0096,0.062,0.7490254
0.009733333333333333,0.062,0.7483281
0.009733333333333333,0.0624,0.74820954
0.009866666666666666,0.0624,0.7478258
0.010133333333333333,0.0624,0.7475825
0.010133333333333333,0.0628,0.74605167
0.0104,0.0628,0.74578077
0.0104,0.064,0.7453076
0.010533333333333334,0.064,0.74516636
0.010533333333333334,0.0648,0.7447966
0.010666666666666666,0.0648,0.7439523
0.010666666666666666,0.066,0.7432864
0.0108,0.066,0.74184775
0.0108,0.0664,0.74098015
0.010933333333333333,0.0664,0.7408226
0.010933333333333333,0.0668,0.7406819
0.011333333333333334,0.0668,0.7399662
0.011333333333333334,0.0692,0.7380025
0.011466666666666667,0.0692,0.73753756
0.011466666666666667,0.0696,0.7372955
0.0116,0.0696,0.7372403
0.0116,0.0704,0.7362989
0.012,0.0704,0.73567456
0.012,0.0732,0.73359257
0.012133333333333333,0.0732,0.73349285
0.012133333333333333,0.0752,0.73038626
0.012666666666666666,0.0752,0.7286554
0.012666666666666666,0.0764,0.7263875
0.013733333333333334,0.0764,0.72383267
0.013733333333333334,0.0776,0.7219544
0.013866666666666666,0.0776,0.72165203
0.013866666666666666,0.0796,0.72085595
0.014,0.0796,0.7205574
0.014,0.08,0.72030157
0.014666666666666666,0.08,0.71883196
0.014666666666666666,0.0832,0.71645874
0.0148,0.0832,0.71603626
0.0148,0.0836,0.71602666
0.015066666666666667,0.0836,0.715559
0.015066666666666667,0.084,0.71549463
0.015333333333333332,0.084,0.71438384
0.015333333333333332,0.0844,0.7142015
0.015733333333333332,0.0844,0.71180016
0.015733333333333332,0.0848,0.7115326
0.015866666666666668,0.0848,0.711504
0.015866666666666668,0.0852,0.7112642
0.016,0.0852,0.71070385
0.016,0.0856,0.71064657
0.016133333333333333,0.0856,0.7106439
0.016133333333333333,0.0868,0.7097464
0.016266666666666665,0.0868,0.7097393
0.016266666666666665,0.0872,0.70842105
0.016666666666666666,0.0872,0.7077107
0.016666666666666666,0.088,0.7073349
0.0168,0.088,0.7068097
0.0168,0.0892,0.70508456
0.0172,0.0892,0.7036605
0.0172,0.09,0.7023033
0.017466666666666665,0.09,0.7019364
0.017466666666666665,0.0908,0.70073074
0.017733333333333334,0.0908,0.700068
0.017733333333333334,0.0916,0.699837
0.017866666666666666,0.0916,0.6994741
0.017866666666666666,0.0924,0.69799465
0.018,0.0924,0.6979307
0.018,0.0928,0.69687843
0.018133333333333335,0.0928,0.6967094
0.018133333333333335,0.0936,0.6963892
0.018533333333333332,0.0936,0.6952796
0.018533333333333332,0.094,0.69523215
0.018933333333333333,0.094,0.694281
0.018933333333333333,0.0952,0.69355
0.019466666666666667,0.0952,0.69238085
0.019466666666666667,0.0956,0.69149214
0.0196,0.0956,0.69092625
0.0196,0.096,0.6904929
0.019866666666666668,0.096,0.6900042
0.019866666666666668,0.0964,0.6898557
0.02,0.0964,0.6894013
0.02,0.0972,0.68924326
0.020133333333333333,0.0972,0.6886918
0.020133333333333333,0.098,0.68816966
0.020266666666666665,0.098,0.687029
0.020266666666666665,0.0984,0.6869229
0.0204,0.0984,0.6863881
0.0204,0.0988,0.68611753
0.020666666666666667,0.0988,0.68582964
0.020666666666666667,0.0992,0.68575215
0.0208,0.0992,0.68569565
0.0208,0.0996,0.68539166
0.020933333333333335,0.0996,0.6853245
0.020933333333333335,0.1008,0.68487906
0.021333333333333333,0.1008,0.6844755
0.021333333333333333,0.1016,0.68440497
0.021466666666666665,0.1016,0.68389076
0.021466666666666665,0.1028,0.68280476
0.0216,0.1028,0.6827627
0.0216,0.1032,0.6827562
0.022,0.1032,0.6818673
0.022,0.1036,0.68185115
0.022133333333333335,0.1036,0.68167204
0.022133333333333335,0.1056,0.6795035
0.022266666666666667,0.1056,0.6795025
0.022266666666666667,0.1064,0.6788824
0.0224,0.1064,0.678871
0.0224,0.1068,0.6783156
0.022533333333333332,0.1068,0.67824936
0.022533333333333332,0.1072,0.6781961
0.02266666666666667,0.1072,0.6780498
0.02266666666666667,0.108,0.67752284
0.0228,0.108,0.6774664
0.0228,0.1088,0.6771493
0.022933333333333333,0.1088,0.6770404
0.022933333333333333,0.1096,0.6768253
0.023066666666666666,0.1096,0.676622
0.023066666666666666,0.11,0.67652464
0.0232,0.11,0.676365
0.0232,0.1124,0.6759942
0.023333333333333334,0.1124,0.67584795
0.023333333333333334,0.1128,0.67576873
0.0236,0.1128,0.6756051
0.0236,0.1132,0.6755362
0.024133333333333333,0.1132,0.67461663
0.024133333333333333,0.114,0.6739542
0.024266666666666666,0.114,0.67331606
0.024266666666666666,0.1156,0.6725966
0.0244,0.1156,0.67243147
0.0244,0.116,0.6723096
0.024533333333333334,0.116,0.6722331
0.024533333333333334,0.1172,0.67132246
0.024666666666666667,0.1172,0.67129564
0.024666666666666667,0.1176,0.67102844
0.0248,0.1176,0.670858
0.0248,0.118,0.67073536
0.0252,0.118,0.6699706
0.0252,0.1188,0.6693678
0.025466666666666665,0.1188,0.66918653
0.025466666666666665,0.1196,0.66827154
0.025733333333333334,0.1196,0.66726005
0.025733333333333334,0.1204,0.66674787
0.025866666666666666,0.1204,0.66640496
0.025866666666666666,0.1212,0.6655565
0.026,0.1212,0.66540545
0.026,0.122,0.6645272
0.026133333333333335,0.122,0.6644807
0.026133333333333335,0.1224,0.66416466
0.026266666666666667,0.1224,0.6639731
0.026266666666666667,0.1232,0.66388625
0.0264,0.1232,0.6634295
0.0264,0.1236,0.6633052
0.026533333333333332,0.1236,0.6631736
0.026533333333333332,0.1248,0.66221064
0.02666666666666667,0.1248,0.66149294
0.02666666666666667,0.1252,0.6613414
0.0272,0.1252,0.66076875
0.0272,0.126,0.6604332
0.027333333333333334,0.126,0.6601869
0.027333333333333334,0.1272,0.65962595
0.0276,0.1272,0.6583407
0.0276,0.128,0.65812963
0.028133333333333333,0.128,0.65697885
0.028133333333333333,0.1284,0.6565625
0.028266666666666666,0.1284,0.6565545
0.028266666666666666,0.1316,0.6547433
0.0284,0.1316,0.6546167
0.028666666666666667,0.1316,0.6544421
0.028666666666666667,0.132,0.6539714
0.028933333333333332,0.132,0.6537806
0.028933333333333332,0.1324,0.6537679
0.029466666666666665,0.1324,0.6527035
0.029733333333333334,0.1324,0.6519754
0.029733333333333334,0.1328,0.65196025
0.029866666666666666,0.1328,0.6519363
0.029866666666666666,0.1344,0.6511652
0.03,0.1344,0.65105826
0.03,0.1348,0.65074503
0.030133333333333335,0.1348,0.6498189
0.030133333333333335,0.136,0.6483579
0.0304,0.136,0.64818937
0.0304,0.1368,0.6474211
0.030666666666666665,0.1368,0.64717853
0.0308,0.1368,0.6470749
0.0308,0.1376,0.6470038
0.031066666666666666,0.1376,0.6466084
0.031066666666666666,0.138,0.6458493
0.0312,0.138,0.6458447
0.0312,0.1384,0.645731
0.03133333333333333,0.1384,0.6456676
0.03133333333333333,0.1388,0.64563465
0.0316,0.1388,0.6446574
0.0316,0.1396,0.64408576
0.031733333333333336,0.1396,0.64408076
0.031733333333333336,0.14,0.64407855
0.0324,0.14,0.64298064
0.03266666666666666,0.14,0.6429683
0.0328,0.14,0.64288837
0.0328,0.1404,0.6426155
0.03306666666666667,0.1404,0.641509
0.03306666666666667,0.1412,0.64132166
0.03333333333333333,0.1412,0.64060766
0.03333333333333333,0.1428,0.63972867
0.034133333333333335,0.1428,0.6389883
0.034133333333333335,0.144,0.63847446
0.03426666666666667,0.144,0.63828176
0.03426666666666667,0.1448,0.6381282
0.03453333333333333,0.1448,0.63807213
0.03453333333333333,0.1456,0.63780445
0.034666666666666665,0.1456,0.6365109
0.034666666666666665,0.146,0.63642764
0.03493333333333333,0.146,0.63633853
0.03493333333333333,0.1464,0.6362875
0.03506666666666667,0.1464,0.6360448
0.03506666666666667,0.1472,0.63549435
0.0352,0.1472,0.6353084
0.0352,0.1476,0.63454896
0.0356,0.1476,0.63383585
0.0356,0.148,0.63339216
0.035866666666666665,0.148,0.63295907
0.035866666666666665,0.1492,0.6323049
0.03613333333333334,0.1492,0.6322984
0.03613333333333334,0.1496,0.63151413
0.03626666666666667,0.1496,0.6312725
0.03626666666666667,0.15,0.63088053
0.0368,0.15,0.62964857
0.0368,0.1508,0.6294134
0.03693333333333333,0.1508,0.6292162
0.03693333333333333,0.152,0.6285495
0.037333333333333336,0.152,0.62791586
0.037333333333333336,0.1528,0.62758577
0.0376,0.1528,0.6271082
0.0376,0.154,0.6265037
0.037733333333333334,0.154,0.626408
0.037733333333333334,0.1548,0.62592846
0.037866666666666667,0.1548,0.62572217
0.037866666666666667,0.1568,0.6240615
0.038933333333333334,0.1568,0.6218466
0.038933333333333334,0.1572,0.62182075
0.039066666666666666,0.1572,0.62174195
0.039066666666666666,0.1576,0.62165505
0.0392,0.1576,0.6216431
0.0392,0.158,0.6214612
0.039466666666666664,0.158,0.62119555
0.039466666666666664,0.1584,0.6207295
0.03986666666666667,0.1584,0.6191886
0.03986666666666667,0.1592,0.61880124
0.04013333333333333,0.1592,0.6175831
0.04013333333333333,0.1596,0.6173892
0.040266666666666666,0.1596,0.6173476
0.040266666666666666,0.16,0.61687136
0.0404,0.16,0.61667746
0.0404,0.1608,0.61533386
0.04066666666666666,0.1608,0.61480343
0.04066666666666666,0.162,0.6143308
0.040933333333333335,0.162,0.6134058
0.040933333333333335,0.1624,0.61314785
0.0416,0.1624,0.6118129
0.0416,0.1628,0.61126256
0.04173333333333333,0.1628,0.6112572
0.04173333333333333,0.1648,0.6107443
0.042,0.1648,0.6099195
0.042,0.166,0.6097783
0.04226666666666667,0.166,0.60969377
0.04226666666666667,0.168,0.60868007
