fpr,tpr,_
0.0,0.0,1.9965576
0.0,0.0004,0.9965576
0.0,0.0288,0.96261156
0.00013333333333333334,0.0288,0.96069133
0.00013333333333333334,0.0304,0.95822376
0.0002666666666666667,0.0304,0.95783806
0.0002666666666666667,0.0408,0.9472996
0.0004,0.0408,0.9468566
0.0004,0.0552,0.9307029
0.0005333333333333334,0.0552,0.9295334
0.0005333333333333334,0.0568,0.92815346
0.0006666666666666666,0.0568,0.9277918
0.0006666666666666666,0.0644,0.9195843
0.0008,0.0644,0.91930044
0.0008,0.0648,0.91920835
0.0009333333333333333,0.0648,0.9191562
0.0009333333333333333,0.0652,0.9182667
0.0010666666666666667,0.0652,0.9174451
0.0010666666666666667,0.0692,0.91095585
0.0012,0.0692,0.910397
0.0012,0.0744,0.9047833
0.0013333333333333333,0.0744,0.90457845
0.0016,0.0744,0.9043001
0.0016,0.0752,0.9041061
0.0017333333333333333,0.0752,0.9034271
0.0017333333333333333,0.0756,0.90274626
0.0018666666666666666,0.0756,0.9026829
0.0018666666666666666,0.076,0.9022739
0.002,0.076,0.90216124
0.002,0.0844,0.89265484
0.0021333333333333334,0.0844,0.89263415
0.0021333333333333334,0.0888,0.887527
0.002266666666666667,0.0888,0.88637257
0.002266666666666667,0.0896,0.8858201
0.0024,0.0896,0.8855468
0.0024,0.094,0.88254577
0.002533333333333333,0.094,0.88252527
0.002533333333333333,0.0944,0.88177115
0.0026666666666666666,0.0944,0.88152874
0.0026666666666666666,0.0956,0.8794754
0.0028,0.0956,0.87936836
0.0028,0.0984,0.8762112
0.0029333333333333334,0.0984,0.8757849
0.0029333333333333334,0.104,0.87251073
0.0030666666666666668,0.104,0.87238836
0.0030666666666666668,0.1064,0.8713167
0.0032,0.1064,0.8706553
0.0032,0.108,0.86930186
0.0033333333333333335,0.108,0.869139
0.0033333333333333335,0.1084,0.86872417
0.0036,0.1084,0.8683645
0.0036,0.1108,0.86616313
0.0037333333333333333,0.1108,0.8659645
0.0037333333333333333,0.1188,0.8613563
0.0038666666666666667,0.1188,0.861293
0.0038666666666666667,0.124,0.85944855
0.0041333333333333335,0.124,0.8580866
0.0041333333333333335,0.126,0.85650355
0.004266666666666667,0.126,0.856002
0.004266666666666667,0.13,0.8518436
0.0044,0.13,0.85171646
0.0044,0.1344,0.84559846
0.004533333333333334,0.1344,0.8454593
0.004533333333333334,0.1364,0.84266204
0.0048,0.1364,0.84221
0.0048,0.1368,0.8421326
0.004933333333333333,0.1368,0.84209865
0.004933333333333333,0.1392,0.8411282
0.005066666666666666,0.1392,0.84085774
0.005066666666666666,0.14,0.8402543
0.0052,0.14,0.84014684
0.0052,0.1408,0.8386552
0.005333333333333333,0.1408,0.83862096
0.005333333333333333,0.1424,0.8364418
0.0054666666666666665,0.1424,0.8359509
0.0054666666666666665,0.1468,0.8322342
0.0056,0.1468,0.8320401
0.0056,0.152,0.8278991
0.005733333333333333,0.152,0.8277673
0.005733333333333333,0.1552,0.8251608
0.005866666666666667,0.1552,0.8248258
0.005866666666666667,0.1568,0.82389456
0.0061333333333333335,0.1568,0.82343125
0.0061333333333333335,0.1636,0.81883353
0.006266666666666667,0.1636,0.81881243
0.006266666666666667,0.164,0.8181771
0.0064,0.164,0.81752366
0.0064,0.1648,0.8168266
0.006533333333333334,0.1648,0.8165289
0.006533333333333334,0.1652,0.81648004
0.006666666666666667,0.1652,0.81639016
0.006666666666666667,0.1656,0.8163517
0.0068,0.1656,0.81582093
0.0068,0.1672,0.81524456
