fpr,tpr,_
0.0,0.0,1.9991734
0.0,0.0004,0.99917346
0.0,0.0324,0.9923943
0.0002666666666666667,0.0324,0.99231285
0.0002666666666666667,0.144,0.9761863
0.0004,0.144,0.97615916
0.0004,0.164,0.9716349
0.0005333333333333334,0.164,0.9715486
0.0005333333333333334,0.1984,0.965111
0.0006666666666666666,0.1984,0.96503186
0.0006666666666666666,0.2168,0.9611464
0.0008,0.2168,0.961132
0.0008,0.2292,0.9584765
0.0009333333333333333,0.2292,0.9582022
0.0009333333333333333,0.2592,0.9503197
0.0010666666666666667,0.2592,0.95000494
0.0010666666666666667,0.2632,0.94895655
0.0012,0.2632,0.94887316
0.0012,0.2724,0.94701
0.0013333333333333333,0.2724,0.9469639
0.0013333333333333333,0.2864,0.94340986
0.0014666666666666667,0.2864,0.9433839
0.0014666666666666667,0.2968,0.94096047
0.0016,0.2968,0.94075626
0.0016,0.2984,0.94018966
0.0017333333333333333,0.2984,0.9401452
0.0017333333333333333,0.3044,0.9385136
0.0018666666666666666,0.3044,0.9384656
0.0018666666666666666,0.3052,0.938343
0.002,0.3052,0.93831664
0.002,0.3084,0.9378498
0.0021333333333333334,0.3084,0.9378001
0.0021333333333333334,0.3092,0.9375928
0.002266666666666667,0.3092,0.9375598
0.002266666666666667,0.3264,0.9334988
0.0024,0.3264,0.9334717
0.0024,0.3328,0.9309124
0.002533333333333333,0.3328,0.9308566
0.002533333333333333,0.3352,0.9305911
0.0028,0.3352,0.9305894
0.0028,0.3668,0.92020774
0.0029333333333333334,0.3668,0.9200751
0.0029333333333333334,0.3724,0.9187062
0.0030666666666666668,0.3724,0.91854715
0.0030666666666666668,0.3764,0.9169494
0.0033333333333333335,0.3764,0.9169005
0.0033333333333333335,0.378,0.91637194
0.0034666666666666665,0.378,0.9162744
0.0034666666666666665,0.3812,0.91515476
0.0036,0.3812,0.9151411
0.0036,0.3852,0.9139166
0.0037333333333333333,0.3852,0.91359425
0.0037333333333333333,0.3864,0.913156
0.0038666666666666667,0.3864,0.9131213
0.0038666666666666667,0.3868,0.91305333
0.004,0.3868,0.91256803
0.004,0.39,0.9114446
0.0041333333333333335,0.39,0.9113618
0.0041333333333333335,0.3908,0.9110293
0.004266666666666667,0.3908,0.91093874
0.004266666666666667,0.3924,0.91006243
0.004533333333333334,0.3924,0.9098159
0.004533333333333334,0.3932,0.9097649
0.004666666666666667,0.3932,0.90972155
0.004666666666666667,0.3992,0.90662915
0.0048,0.3992,0.90658486
0.0048,0.3996,0.9065737
0.004933333333333333,0.3996,0.9065696
0.004933333333333333,0.4068,0.9043522
0.005066666666666666,0.4068,0.9043239
0.005066666666666666,0.4168,0.9010808
0.005333333333333333,0.4168,0.9007374
0.005333333333333333,0.4172,0.90059584
0.0054666666666666665,0.4172,0.9004696
0.0054666666666666665,0.4224,0.89798737
0.0056,0.4224,0.89748114
0.0056,0.4244,0.8963344
0.005733333333333333,0.4244,0.8962368
0.005733333333333333,0.4324,0.8939714
0.005866666666666667,0.4324,0.89349395
0.005866666666666667,0.4328,0.89336103
0.006,0.4328,0.892958
0.006,0.434,0.8926596
0.0061333333333333335,0.434,0.8926489
0.0061333333333333335,0.4344,0.89236903
0.006266666666666667,0.4344,0.8920037
0.006266666666666667,0.4348,0.89200217
0.0064,0.4348,0.8913303
0.0064,0.4384,0.8898682
0.006533333333333334,0.4384,0.88981915
0.006533333333333334,0.4424,0.8887773
0.006666666666666667,0.4424,0.88876116
0.006666666666666667,0.4476,0.8855976
0.0068,0.4476,0.88548404
0.0068,0.4512,0.88449144
0.0072,0.4512,0.8839409
0.007333333333333333,0.4512,0.88387704
0.007333333333333333,0.4572,0.88172996
0.007466666666666667,0.4572,0.8816668
0.007466666666666667,0.4576,0.8816076
0.0076,0.4576,0.8814723
0.0076,0.4592,0.88096076
0.007733333333333333,0.4592,0.88094383
0.007733333333333333,0.4612,0.8808283
0.008,0.4612,0.8807054
0.008,0.4616,0.8804855
0.008133333333333333,0.4616,0.88029134
0.008133333333333333,0.4652,0.87827724
0.008266666666666667,0.4652,0.8782021
0.008266666666666667,0.4696,0.8765443
0.0084,0.4696,0.87615716
0.0084,0.4736,0.8746581
0.008533333333333334,0.4736,0.87460476
0.008533333333333334,0.4748,0.8742831
0.008666666666666666,0.4748,0.87420416
0.008666666666666666,0.4764,0.8739435
0.0088,0.4764,0.8737296
0.0088,0.4784,0.872745
0.008933333333333333,0.4784,0.87266207
0.008933333333333333,0.4796,0.8723844
0.009066666666666667,0.4796,0.8723516
0.009066666666666667,0.4804,0.87224793
0.0092,0.4804,0.87178
0.0092,0.4808,0.8717665
0.009333333333333334,0.4808,0.87160516
0.009333333333333334,0.4904,0.86596984
0.009466666666666667,0.4904,0.86595553
0.009466666666666667,0.4956,0.8642689
0.0096,0.4956,0.8642397
0.0096,0.498,0.862283
0.009866666666666666,0.498,0.86194277
0.009866666666666666,0.4992,0.861482
0.01,0.4992,0.86075604
0.01,0.508,0.85559964
