fpr,tpr,_
0.0,0.0,1.9972706
0.0,0.0004,0.99727064
0.0,0.0236,0.96965134
0.00013333333333333334,0.0236,0.9694277
0.00013333333333333334,0.032,0.9617407
0.0002666666666666667,0.032,0.96165115
0.0002666666666666667,0.0384,0.955192
0.0004,0.0384,0.9548866
0.0004,0.0492,0.9448365
0.0005333333333333334,0.0492,0.94388264
0.0005333333333333334,0.0644,0.9285208
0.0006666666666666666,0.0644,0.92830575
0.0006666666666666666,0.0652,0.92757696
0.0008,0.0652,0.92750907
0.0008,0.0684,0.92302805
0.0009333333333333333,0.0684,0.92296445
0.0009333333333333333,0.072,0.91874975
0.0010666666666666667,0.072,0.9185728
0.0010666666666666667,0.0756,0.91526115
0.0012,0.0756,0.9152042
0.0012,0.0784,0.9131409
0.0013333333333333333,0.0784,0.91175896
0.0013333333333333333,0.0788,0.9115381
0.0014666666666666667,0.0788,0.91116273
0.0014666666666666667,0.0816,0.9088815
0.0016,0.0816,0.90812534
0.0016,0.0828,0.9072466
0.0017333333333333333,0.0828,0.9068695
0.0017333333333333333,0.086,0.9056078
0.0018666666666666666,0.086,0.9054913
0.0018666666666666666,0.0872,0.90510595
0.002,0.0872,0.9047038
0.002,0.0944,0.89822197
0.0021333333333333334,0.0944,0.89818174
0.0021333333333333334,0.0992,0.894383
0.002266666666666667,0.0992,0.89416987
0.002266666666666667,0.102,0.89140207
0.0024,0.102,0.891035
0.0024,0.1048,0.8876914
0.002533333333333333,0.1048,0.8871927
0.002533333333333333,0.108,0.882613
0.0026666666666666666,0.108,0.88220185
0.0026666666666666666,0.1088,0.88180155
0.0028,0.1088,0.8817109
0.0028,0.1124,0.8801865
0.0029333333333333334,0.1124,0.8797736
0.0029333333333333334,0.1136,0.87878084
0.0030666666666666668,0.1136,0.8787624
0.0030666666666666668,0.114,0.87778944
0.0032,0.114,0.8774248
0.0032,0.1192,0.8725898
0.0034666666666666665,0.1192,0.87184197
0.0034666666666666665,0.1208,0.86985785
0.0036,0.1208,0.86964583
0.0036,0.1216,0.8692335
0.0037333333333333333,0.1216,0.86916405
0.0037333333333333333,0.122,0.8686087
0.0038666666666666667,0.122,0.86810464
0.0038666666666666667,0.1224,0.8675025
0.004266666666666667,0.1224,0.86654145
0.004266666666666667,0.126,0.8646388
0.0044,0.126,0.8645854
0.0044,0.1336,0.8590987
0.004533333333333334,0.1336,0.8590242
0.004533333333333334,0.1364,0.85776526
0.004666666666666667,0.1364,0.8576894
0.004666666666666667,0.14,0.8529614
0.0048,0.14,0.85258096
0.0048,0.1408,0.8519441
0.004933333333333333,0.1408,0.8519327
0.004933333333333333,0.1416,0.85126114
0.005066666666666666,0.1416,0.85087186
0.005066666666666666,0.1424,0.85081637
0.0052,0.1424,0.85002536
0.0052,0.1436,0.8473909
0.0054666666666666665,0.1436,0.8472148
0.0054666666666666665,0.1448,0.8463191
0.005733333333333333,0.1448,0.84625447
0.005733333333333333,0.1452,0.8456887
0.005866666666666667,0.1452,0.8456524
0.005866666666666667,0.146,0.8441678
0.006,0.146,0.84412545
0.006,0.1508,0.8408003
0.0061333333333333335,0.1508,0.84063536
0.0061333333333333335,0.1536,0.8387952
0.006266666666666667,0.1536,0.8383737
0.006266666666666667,0.1564,0.836398
0.0064,0.1564,0.8363275
0.0064,0.1596,0.8345154
0.006533333333333334,0.1596,0.83447987
0.006533333333333334,0.1612,0.832667
0.0068,0.1612,0.8325476
0.0068,0.1628,0.83161396
0.006933333333333333,0.1628,0.8310438
0.006933333333333333,0.1648,0.8291567
0.0072,0.1648,0.8281366
0.0072,0.1664,0.8276818
0.007466666666666667,0.1664,0.8272575
0.007466666666666667,0.168,0.825253
0.0076,0.168,0.8252066
0.0076,0.1688,0.82481176
0.007733333333333333,0.1688,0.8248006
0.007733333333333333,0.1692,0.8240463
0.007866666666666666,0.1692,0.8240187
0.007866666666666666,0.1704,0.82376367
0.008,0.1704,0.8233477
0.008,0.1716,0.8230631
0.008133333333333333,0.1716,0.822918
0.008133333333333333,0.1736,0.82201195
0.008266666666666667,0.1736,0.8219904
0.008266666666666667,0.1768,0.8203684
0.0084,0.1768,0.8198807
0.0084,0.1792,0.8185322
0.008533333333333334,0.1792,0.81749517
0.008533333333333334,0.1812,0.8160048
0.0088,0.1812,0.8157129
0.0088,0.182,0.8150464
0.008933333333333333,0.182,0.8149982
0.008933333333333333,0.1832,0.813602
0.009066666666666667,0.1832,0.8128483
0.009066666666666667,0.1868,0.81039625
0.009333333333333334,0.1868,0.80995405
0.009333333333333334,0.1888,0.8071334
0.0096,0.1888,0.8056659
0.0096,0.192,0.80260235
0.009733333333333333,0.192,0.80245286
0.009733333333333333,0.1932,0.8006035
0.009866666666666666,0.1932,0.8005922
0.009866666666666666,0.1936,0.7996024
0.01,0.1936,0.79951125
0.01,0.1968,0.79673547
0.010133333333333333,0.1968,0.7965424
0.010133333333333333,0.1992,0.7941761
0.010266666666666667,0.1992,0.7941207
0.010266666666666667,0.2008,0.79241586
0.0104,0.2008,0.7922955
0.0104,0.2016,0.7918087
0.010533333333333334,0.2016,0.7916696
0.010533333333333334,0.2048,0.7892477
0.010666666666666666,0.2048,0.788647
0.010666666666666666,0.206,0.7872789
0.0108,0.206,0.786922
0.0108,0.2064,0.7869194
0.010933333333333333,0.2064,0.7868398
0.010933333333333333,0.2128,0.7828708
0.011066666666666667,0.2128,0.7821658
0.011066666666666667,0.2148,0.78024423
0.0112,0.2148,0.7795777
0.0112,0.2168,0.7775568
0.011333333333333334,0.2168,0.7775414
0.011333333333333334,0.2172,0.7774929
0.011466666666666667,0.2172,0.7773233
0.011466666666666667,0.2176,0.7767913
0.0116,0.2176,0.7765239
0.0116,0.2196,0.77489364
0.011866666666666666,0.2196,0.7737864
0.011866666666666666,0.2208,0.7730546
0.012,0.2208,0.7727483
0.012,0.2212,0.77229124
0.012133333333333333,0.2212,0.771799
0.012133333333333333,0.2224,0.77008235
0.012266666666666667,0.2224,0.76967347
0.012266666666666667,0.2228,0.7694308
0.0124,0.2228,0.7690743
0.0124,0.2232,0.7687224
0.012533333333333334,0.2232,0.7684779
0.012533333333333334,0.2244,0.7669927
0.012666666666666666,0.2244,0.7669035
0.012666666666666666,0.2256,0.76671493
0.0128,0.2256,0.76629174
0.0128,0.2264,0.7650498
0.013066666666666667,0.2264,0.76494277
0.013066666666666667,0.2276,0.7636354
0.0132,0.2276,0.76363266
0.0132,0.228,0.76330936
0.013333333333333334,0.228,0.7624524
0.013333333333333334,0.2316,0.7594009
0.013466666666666667,0.2316,0.759151
0.013466666666666667,0.2336,0.7555891
0.0136,0.2336,0.75544745
0.0136,0.2348,0.7547184
0.013733333333333334,0.2348,0.75427055
0.013733333333333334,0.2352,0.7541008
0.013866666666666666,0.2352,0.75390893
0.013866666666666666,0.2392,0.751238
0.014,0.2392,0.75015914
0.014,0.2416,0.74753124
0.014133333333333333,0.2416,0.74738955
0.014133333333333333,0.2424,0.7461227
0.014266666666666667,0.2424,0.7456181
0.014266666666666667,0.2484,0.742043
0.0144,0.2484,0.74201876
0.0144,0.2508,0.73996377
0.014533333333333334,0.2508,0.7392186
0.014533333333333334,0.252,0.73892844
0.014666666666666666,0.252,0.738758
0.014666666666666666,0.2536,0.7355562
0.0148,0.2536,0.7354642
0.0148,0.2552,0.7338134
0.014933333333333333,0.2552,0.73378855
0.014933333333333333,0.2564,0.7333039
0.015066666666666667,0.2564,0.73328596
0.015066666666666667,0.2568,0.7331738
0.0152,0.2568,0.7328359
0.0152,0.2592,0.7315593
0.015333333333333332,0.2592,0.7311872
0.015333333333333332,0.26,0.73077303
0.015466666666666667,0.26,0.73051167
0.015466666666666667,0.2604,0.73032045
0.0156,0.2604,0.72960305
0.015866666666666668,0.2604,0.7289418
0.016,0.2604,0.72857267
0.016,0.2628,0.7253932
0.016133333333333333,0.2628,0.7252931
0.016133333333333333,0.264,0.7243375
0.016266666666666665,0.264,0.7240068
0.016266666666666665,0.2644,0.72352713
0.0164,0.2644,0.7234973
0.0164,0.2656,0.7230389
0.016533333333333334,0.2656,0.72297025
0.016533333333333334,0.2664,0.7226875
0.0168,0.2664,0.7224838
0.0168,0.2672,0.72104234
0.016933333333333335,0.2672,0.7208175
0.016933333333333335,0.2736,0.7164662
0.017066666666666667,0.2736,0.7164288
0.017066666666666667,0.2768,0.71414524
0.0172,0.2768,0.71341985
0.0172,0.2772,0.71325916
0.017333333333333333,0.2772,0.7127275
0.017333333333333333,0.2776,0.712079
0.017466666666666665,0.2776,0.7118607
0.017466666666666665,0.278,0.71148145
0.0176,0.278,0.7105768
0.0176,0.28,0.7094411
0.018,0.28,0.7088099
0.018,0.2804,0.7086638
0.018266666666666667,0.2804,0.70715153
0.018266666666666667,0.2808,0.70713097
0.0184,0.2808,0.7069478
0.0184,0.2828,0.705104
0.018533333333333332,0.2828,0.705101
0.018533333333333332,0.284,0.70476526
0.018666666666666668,0.284,0.70473033
0.018666666666666668,0.2852,0.70444965
0.0188,0.2852,0.70406353
0.0188,0.286,0.7038731
0.018933333333333333,0.286,0.70376533
0.018933333333333333,0.2864,0.70277333
0.0192,0.2864,0.7026127
0.0192,0.2868,0.70259154
0.019333333333333334,0.2868,0.70238984
0.019333333333333334,0.292,0.69760907
0.019466666666666667,0.292,0.69751155
0.019466666666666667,0.2928,0.6969061
0.0196,0.2928,0.69688046
0.0196,0.2948,0.69445884
0.019733333333333332,0.2948,0.6938931
0.019733333333333332,0.2952,0.69362557
0.02,0.2952,0.69099087
0.02,0.2956,0.69088453
0.020133333333333333,0.2956,0.6905794
0.020133333333333333,0.296,0.69001174
0.020266666666666665,0.296,0.6895933
0.020266666666666665,0.2968,0.6892941
0.0204,0.2968,0.6892876
0.0204,0.2976,0.68895304
0.020533333333333334,0.2976,0.6883467
0.020533333333333334,0.298,0.68800247
0.020666666666666667,0.298,0.6879788
0.020666666666666667,0.2992,0.6873211
0.020933333333333335,0.2992,0.6872328
0.020933333333333335,0.3024,0.6845846
0.021066666666666668,0.3024,0.6845596
0.021066666666666668,0.3044,0.6817507
0.021333333333333333,0.3044,0.68098307
0.021333333333333333,0.306,0.6791815
0.021733333333333334,0.306,0.67860436
0.021733333333333334,0.308,0.6763893
0.021866666666666666,0.308,0.67623264
0.021866666666666666,0.3096,0.67560077
0.022266666666666667,0.3096,0.6753617
0.022266666666666667,0.3128,0.673564
0.0228,0.3128,0.67215896
0.0228,0.3144,0.6706274
0.022933333333333333,0.3144,0.67056894
0.022933333333333333,0.3156,0.6694984
0.023066666666666666,0.3156,0.66928494
0.023066666666666666,0.316,0.6691626
0.0232,0.316,0.66832477
0.0232,0.3176,0.6676524
0.023333333333333334,0.3176,0.6673071
0.023333333333333334,0.318,0.6668493
0.0236,0.318,0.66641384
0.0236,0.3192,0.66558695
0.024,0.3192,0.66528356
0.024,0.32,0.6651717
0.024133333333333333,0.32,0.66514134
0.024133333333333333,0.3208,0.66415787
0.0244,0.3208,0.6632835
0.0244,0.3212,0.6630216
0.024666666666666667,0.3212,0.6623855
0.024666666666666667,0.322,0.66204804
0.0248,0.322,0.6619567
0.0248,0.3228,0.6618757
0.02493333333333333,0.3228,0.6614519
0.02493333333333333,0.324,0.66060334
0.0252,0.324,0.6597016
0.0252,0.3256,0.6592435
0.025466666666666665,0.3256,0.6586319
