fpr,tpr,_
0.0,0.0,1.9924908
0.0,0.0004,0.9924907
0.0,0.006,0.97929364
0.00013333333333333334,0.006,0.979262
0.00013333333333333334,0.0196,0.96715176
0.0002666666666666667,0.0196,0.96713716
0.0002666666666666667,0.0384,0.9483562
0.0004,0.0384,0.94750965
0.0004,0.0404,0.9455013
0.0005333333333333334,0.0404,0.94545764
0.0005333333333333334,0.0472,0.9406425
0.0008,0.0472,0.9378259
0.0008,0.048,0.9360033
0.0009333333333333333,0.048,0.9357165
0.0009333333333333333,0.0496,0.93378824
0.0010666666666666667,0.0496,0.93331206
0.0010666666666666667,0.0508,0.9315609
0.0012,0.0508,0.93138266
0.0012,0.052,0.9309786
0.0014666666666666667,0.052,0.93007183
0.0014666666666666667,0.0544,0.92878443
0.0016,0.0544,0.928635
0.0016,0.0596,0.9233763
0.0017333333333333333,0.0596,0.9221322
0.0017333333333333333,0.0624,0.91846496
0.0018666666666666666,0.0624,0.91834867
0.0018666666666666666,0.0628,0.9179793
0.002,0.0628,0.9179503
0.002,0.064,0.9171252
0.0021333333333333334,0.064,0.9169589
0.0021333333333333334,0.066,0.9159054
0.002266666666666667,0.066,0.9157773
0.002266666666666667,0.068,0.91461945
0.0024,0.068,0.91389066
0.0024,0.0744,0.9113218
0.002533333333333333,0.0744,0.91029394
0.002533333333333333,0.0748,0.9093632
0.0029333333333333334,0.0748,0.9090717
0.0029333333333333334,0.0764,0.90856695
0.0030666666666666668,0.0764,0.9084502
0.0030666666666666668,0.0768,0.9080896
0.0032,0.0768,0.90800047
0.0032,0.0776,0.90777797
0.0033333333333333335,0.0776,0.90763366
0.0033333333333333335,0.0844,0.9031216
0.0034666666666666665,0.0844,0.9030068
0.0034666666666666665,0.0856,0.90257096
0.0036,0.0856,0.90254784
0.0036,0.0904,0.9001831
0.0037333333333333333,0.0904,0.8999464
0.0037333333333333333,0.0912,0.8988819
0.0038666666666666667,0.0912,0.89881164
0.0038666666666666667,0.0928,0.8984077
0.0041333333333333335,0.0928,0.89816105
0.0041333333333333335,0.0932,0.89782715
0.004266666666666667,0.0932,0.8971931
0.004266666666666667,0.0936,0.8970708
0.004666666666666667,0.0936,0.8955627
0.004666666666666667,0.098,0.8893369
0.0048,0.098,0.88917756
0.0048,0.0992,0.88807225
0.004933333333333333,0.0992,0.88804895
0.004933333333333333,0.0996,0.8880308
0.0052,0.0996,0.88769764
0.0052,0.1028,0.8859799
0.005333333333333333,0.1028,0.885969
0.005333333333333333,0.1036,0.88487667
0.0054666666666666665,0.1036,0.8848568
0.0054666666666666665,0.1048,0.88312304
0.0056,0.1048,0.8827679
0.0056,0.1068,0.88214946
0.005866666666666667,0.1068,0.8815408
0.005866666666666667,0.1072,0.8810655
0.006,0.1072,0.8810259
0.006,0.1076,0.8808024
0.0061333333333333335,0.1076,0.8806461
0.0061333333333333335,0.1124,0.87743556
0.006266666666666667,0.1124,0.87726784
0.006266666666666667,0.1152,0.87634194
0.006533333333333334,0.1152,0.8759822
0.006533333333333334,0.1156,0.8759137
0.006666666666666667,0.1156,0.8758743
0.006666666666666667,0.1164,0.8754681
0.0068,0.1164,0.87540567
0.0068,0.1168,0.8751275
0.006933333333333333,0.1168,0.8749688
0.006933333333333333,0.1192,0.8732128
0.007066666666666666,0.1192,0.8727308
0.007066666666666666,0.12,0.87253183
0.0072,0.12,0.87219733
0.0072,0.1212,0.8720504
0.007333333333333333,0.1212,0.8719466
0.007333333333333333,0.1232,0.87050974
0.007466666666666667,0.1232,0.8705083
0.007466666666666667,0.1236,0.87044054
0.0076,0.1236,0.8704056
0.0076,0.1272,0.86585736
0.007733333333333333,0.1272,0.8657993
0.007733333333333333,0.1276,0.86507463
0.007866666666666666,0.1276,0.8650534
0.007866666666666666,0.1284,0.865031
0.008,0.1284,0.8648804
0.008,0.1288,0.8648458
0.0084,0.1288,0.8645251
0.0084,0.1324,0.8631995
0.008533333333333334,0.1324,0.8631172
0.008533333333333334,0.1344,0.86237335
0.008666666666666666,0.1344,0.8623114
0.008666666666666666,0.1356,0.8620611
0.0088,0.1356,0.8618636
0.0088,0.138,0.86005116
0.008933333333333333,0.138,0.8599609
0.008933333333333333,0.1396,0.8589982
0.009066666666666667,0.1396,0.8587082
0.009066666666666667,0.1408,0.85759586
0.0092,0.1408,0.856766
0.0092,0.1416,0.8564791
0.009333333333333334,0.1416,0.85600686
0.009333333333333334,0.144,0.8553735
0.009466666666666667,0.144,0.85504425
0.009466666666666667,0.1472,0.853733
0.0096,0.1472,0.8515749
0.0096,0.1476,0.85150814
0.009733333333333333,0.1476,0.8511225
0.009733333333333333,0.152,0.84861565
0.009866666666666666,0.152,0.8485841
0.009866666666666666,0.1528,0.84812385
0.01,0.1528,0.8478284
0.01,0.1532,0.84768796
0.010133333333333333,0.1532,0.84748375
0.010133333333333333,0.1552,0.846885
0.010266666666666667,0.1552,0.84686863
0.010266666666666667,0.1576,0.84529
0.010533333333333334,0.1576,0.84505814
0.010533333333333334,0.1612,0.8426106
0.010666666666666666,0.1612,0.8421439
0.010666666666666666,0.1628,0.84119576
0.010933333333333333,0.1628,0.8409923
0.010933333333333333,0.164,0.84023577
0.011066666666666667,0.164,0.84016186
0.011066666666666667,0.1652,0.83959895
0.0112,0.1652,0.8393993
0.0112,0.1656,0.8393152
0.011333333333333334,0.1656,0.8391948
0.011333333333333334,0.1668,0.8388026
0.0116,0.1668,0.83830124
0.0116,0.168,0.8379248
0.011733333333333333,0.168,0.83737314
0.011733333333333333,0.17,0.8354093
0.012,0.17,0.8347745
0.012,0.1716,0.8340945
0.012133333333333333,0.1716,0.8339951
0.012133333333333333,0.172,0.83376616
0.012266666666666667,0.172,0.833632
0.012266666666666667,0.1732,0.8333065
0.0124,0.1732,0.8328266
0.0124,0.1744,0.83258545
0.012533333333333334,0.1744,0.8323426
0.012533333333333334,0.1768,0.83085996
0.012666666666666666,0.1768,0.8307624
0.012666666666666666,0.18,0.8270912
0.012933333333333333,0.18,0.82687974
0.012933333333333333,0.1808,0.8264845
0.0132,0.1808,0.8261949
0.0132,0.1836,0.82503796
0.013333333333333334,0.1836,0.82490927
0.013333333333333334,0.1844,0.8242294
0.013466666666666667,0.1844,0.8240151
0.013466666666666667,0.1848,0.8239105
0.0136,0.1848,0.823347
0.0136,0.1852,0.8233397
0.014,0.1852,0.82283795
0.014,0.1856,0.8223345
0.014133333333333333,0.1856,0.8217886
0.014133333333333333,0.186,0.82162476
0.014266666666666667,0.186,0.821499
0.014266666666666667,0.1876,0.81977296
0.0144,0.1876,0.8193112
0.0144,0.1892,0.818315
0.014533333333333334,0.1892,0.81817406
0.014533333333333334,0.1952,0.8161442
0.0148,0.1952,0.8152037
0.0148,0.1984,0.8128777
0.014933333333333333,0.1984,0.81269205
0.014933333333333333,0.1988,0.8125293
0.015066666666666667,0.1988,0.81237453
0.015066666666666667,0.2008,0.81216586
0.0156,0.2008,0.8107299
0.0156,0.2012,0.8104197
0.015866666666666668,0.2012,0.8100987
0.015866666666666668,0.202,0.8100533
0.016,0.202,0.81000197
0.016,0.2028,0.8095077
0.016133333333333333,0.2028,0.80942744
0.016133333333333333,0.2036,0.8081288
0.016266666666666665,0.2036,0.80794775
0.016266666666666665,0.2044,0.8075709
0.0164,0.2044,0.80740774
0.0164,0.2048,0.8073429
