fpr,tpr,_
0.0,0.0,1.993279
0.0,0.0004,0.9932789
0.0,0.0124,0.96564096
0.00013333333333333334,0.0124,0.96533626
0.00013333333333333334,0.022,0.9550251
0.0004,0.022,0.9542007
0.0004,0.0336,0.94450355
0.0005333333333333334,0.0336,0.9444246
0.0005333333333333334,0.044,0.93200666
0.0006666666666666666,0.044,0.9317425
0.0006666666666666666,0.0456,0.93095887
0.0009333333333333333,0.0456,0.9306513
0.0009333333333333333,0.0464,0.9302012
0.0010666666666666667,0.0464,0.92998916
0.0010666666666666667,0.05,0.92755836
0.0012,0.05,0.92748106
0.0012,0.0568,0.92327213
0.0013333333333333333,0.0568,0.92325664
0.0013333333333333333,0.058,0.92125744
0.0014666666666666667,0.058,0.9211491
0.0014666666666666667,0.0636,0.91613156
0.0016,0.0636,0.916108
0.0016,0.066,0.9144391
0.0017333333333333333,0.066,0.91441894
0.0017333333333333333,0.068,0.9138985
0.0018666666666666666,0.068,0.9134836
0.0018666666666666666,0.0688,0.9131838
0.002,0.0688,0.9131734
0.002,0.0736,0.91107863
0.0021333333333333334,0.0736,0.91059816
0.0021333333333333334,0.074,0.9104012
0.002266666666666667,0.074,0.91035765
0.002266666666666667,0.0744,0.9103207
0.0024,0.0744,0.9100651
0.0024,0.0776,0.9079133
0.002533333333333333,0.0776,0.90763986
0.002533333333333333,0.08,0.904909
0.0028,0.08,0.90388745
0.0028,0.0804,0.90380675
0.0029333333333333334,0.0804,0.9034422
0.0029333333333333334,0.0816,0.90177244
0.0030666666666666668,0.0816,0.9015212
0.0030666666666666668,0.0876,0.8969888
0.0032,0.0876,0.89687145
0.0032,0.0904,0.89488614
0.0033333333333333335,0.0904,0.8946337
0.0033333333333333335,0.0936,0.8928151
0.0034666666666666665,0.0936,0.8925453
0.0034666666666666665,0.0944,0.89203256
0.0036,0.0944,0.8920177
0.0036,0.098,0.88826656
0.0037333333333333333,0.098,0.88780165
0.0037333333333333333,0.0996,0.8859049
0.0038666666666666667,0.0996,0.8857861
0.0038666666666666667,0.1016,0.88363427
0.004,0.1016,0.88363343
0.004,0.1104,0.87870055
0.0041333333333333335,0.1104,0.87859637
0.0041333333333333335,0.112,0.8769849
0.004533333333333334,0.112,0.8764369
0.004533333333333334,0.1132,0.87549096
0.004666666666666667,0.1132,0.875418
0.004666666666666667,0.1148,0.87410545
0.0048,0.1148,0.8740339
0.0048,0.1152,0.87397236
0.004933333333333333,0.1152,0.8738766
0.004933333333333333,0.1204,0.87105244
0.005066666666666666,0.1204,0.8707621
0.005066666666666666,0.122,0.8698088
0.0052,0.122,0.86971176
0.0052,0.1224,0.86906046
0.005333333333333333,0.1224,0.86905307
0.005333333333333333,0.1256,0.8670903
0.0054666666666666665,0.1256,0.86694556
0.0054666666666666665,0.126,0.8668969
0.005733333333333333,0.126,0.86624175
0.005733333333333333,0.1292,0.8632384
0.005866666666666667,0.1292,0.8632141
0.005866666666666667,0.1304,0.8625389
0.0061333333333333335,0.1304,0.86081105
0.0061333333333333335,0.1348,0.85809314
0.006266666666666667,0.1348,0.8575952
0.006266666666666667,0.1356,0.8568201
0.0064,0.1356,0.8564011
0.0064,0.1372,0.8552834
0.006533333333333334,0.1372,0.85505015
0.006533333333333334,0.1392,0.8535838
0.006666666666666667,0.1392,0.8527114
0.006666666666666667,0.1404,0.85215485
0.0068,0.1404,0.8520176
0.0068,0.148,0.8484764
0.006933333333333333,0.148,0.847829
0.006933333333333333,0.15,0.84603024
0.0072,0.15,0.8455051
0.0072,0.1536,0.843212
0.007333333333333333,0.1536,0.8422257
0.007333333333333333,0.1544,0.8416492
0.007466666666666667,0.1544,0.8412385
0.007466666666666667,0.1548,0.8412187
0.0076,0.1548,0.8412144
0.0076,0.1552,0.8411989
0.007866666666666666,0.1552,0.84066033
0.007866666666666666,0.156,0.839945
0.008133333333333333,0.156,0.8395564
0.008133333333333333,0.164,0.83533305
0.008266666666666667,0.164,0.8349616
0.008266666666666667,0.1676,0.8326701
0.0084,0.1676,0.8324343
0.0084,0.1704,0.831226
0.0084,0.1712,0.8311991
0.0084,0.1724,0.8305647
0.008666666666666666,0.1724,0.8285655
0.008666666666666666,0.1756,0.82733905
0.008933333333333333,0.1756,0.8259754
0.008933333333333333,0.178,0.8232554
0.009066666666666667,0.178,0.8227881
0.009066666666666667,0.1788,0.82269794
0.0092,0.1788,0.8223785
0.0092,0.1808,0.82127136
0.009333333333333334,0.1808,0.82117176
0.009333333333333334,0.182,0.8203882
0.009466666666666667,0.182,0.8202992
0.009466666666666667,0.1852,0.8182807
0.0096,0.1852,0.81826466
0.0096,0.1856,0.81812036
0.009733333333333333,0.1856,0.81807613
0.009733333333333333,0.1872,0.8159591
0.009866666666666666,0.1872,0.8152652
0.009866666666666666,0.1888,0.81434476
0.01,0.1888,0.8142813
0.01,0.1992,0.80679065
0.010133333333333333,0.1992,0.80655676
0.010133333333333333,0.2,0.8064452
0.010266666666666667,0.2,0.8064419
0.010266666666666667,0.2008,0.8062517
0.0104,0.2008,0.80617243
0.0104,0.2012,0.8061015
0.010666666666666666,0.2012,0.80591995
0.0108,0.2012,0.8057498
0.0108,0.202,0.805465
0.010933333333333333,0.202,0.8054227
0.010933333333333333,0.204,0.8032152
0.011066666666666667,0.204,0.8026042
0.011066666666666667,0.2056,0.801642
0.0112,0.2056,0.8009146
0.0112,0.2084,0.8001972
0.011466666666666667,0.2084,0.7995992
0.011466666666666667,0.2112,0.7960572
0.0116,0.2112,0.7951061
0.0116,0.2156,0.79133654
0.011733333333333333,0.2156,0.7907916
0.011733333333333333,0.2168,0.79038024
0.011866666666666666,0.2168,0.79037875
0.011866666666666666,0.2172,0.7893203
0.012,0.2172,0.7892456
0.012,0.218,0.78909177
0.012133333333333333,0.218,0.78867185
0.012133333333333333,0.2196,0.78788525
0.0124,0.2196,0.7875288
0.0124,0.22,0.7875196
0.012666666666666666,0.22,0.7872152
0.012666666666666666,0.2204,0.78697664
0.0128,0.2204,0.78681207
0.0128,0.2208,0.7865377
0.012933333333333333,0.2208,0.78571826
0.012933333333333333,0.2212,0.78532416
0.0132,0.2212,0.78458434
0.0132,0.222,0.7827677
0.0136,0.222,0.78190917
0.0136,0.2232,0.7806009
0.013866666666666666,0.2232,0.7799168
0.014,0.2232,0.77984446
0.014,0.226,0.7783485
0.014266666666666667,0.226,0.7780368
0.014266666666666667,0.2268,0.77763385
0.014666666666666666,0.2268,0.7772479
0.014666666666666666,0.2284,0.776293
0.0148,0.2284,0.7762213
0.0148,0.2296,0.77605736
0.014933333333333333,0.2296,0.7759243
0.014933333333333333,0.2304,0.77497125
0.015066666666666667,0.2304,0.77490056
0.015066666666666667,0.2308,0.7748031
0.0152,0.2308,0.7747489
0.0152,0.2312,0.77426434
0.015466666666666667,0.2312,0.77337295
0.015466666666666667,0.2324,0.77288145
0.0156,0.2324,0.772583
0.0156,0.2332,0.77236515
0.015733333333333332,0.2332,0.7723449
0.015733333333333332,0.2336,0.7705605
0.015866666666666668,0.2336,0.7704903
0.015866666666666668,0.234,0.76977956
0.016,0.234,0.7693198
0.016,0.2344,0.76905364
0.016133333333333333,0.2344,0.7689254
0.016133333333333333,0.2372,0.7674399
0.0164,0.2372,0.76729405
0.0164,0.2404,0.76592416
0.016666666666666666,0.2404,0.7658326
0.016666666666666666,0.2412,0.76563126
0.0168,0.2412,0.7655524
0.0168,0.2416,0.76528233
0.016933333333333335,0.2416,0.76513124
0.016933333333333335,0.242,0.765077
0.0172,0.242,0.76492584
0.0172,0.2432,0.7638464
0.017333333333333333,0.2432,0.7637227
0.017333333333333333,0.244,0.76362634
0.017466666666666665,0.244,0.76304495
0.017466666666666665,0.2452,0.76216686
0.0176,0.2452,0.76209754
0.0176,0.2456,0.7620632
0.017866666666666666,0.2456,0.76136446
0.017866666666666666,0.246,0.76130396
0.018133333333333335,0.246,0.759864
0.018133333333333335,0.248,0.75867975
0.0184,0.248,0.7582855
0.0184,0.2484,0.75827223
0.018533333333333332,0.2484,0.75806475
0.018533333333333332,0.2508,0.75458145
0.018666666666666668,0.2508,0.754573
0.018666666666666668,0.252,0.75407934
0.0188,0.252,0.7538555
0.0188,0.2524,0.75371397
0.018933333333333333,0.2524,0.7536828
0.018933333333333333,0.2532,0.75293916
0.019066666666666666,0.2532,0.7529364
0.019066666666666666,0.2552,0.751598
0.019333333333333334,0.2552,0.75106114
0.019333333333333334,0.2556,0.75070024
0.0196,0.2556,0.7505079
0.0196,0.2576,0.7496681
0.019866666666666668,0.2576,0.7492623
0.019866666666666668,0.258,0.7487515
0.02,0.258,0.74860287
0.02,0.2636,0.7461549
0.020133333333333333,0.2636,0.74599624
0.020133333333333333,0.2676,0.74312866
0.020266666666666665,0.2676,0.7431116
0.020266666666666665,0.2696,0.7428364
0.020533333333333334,0.2696,0.7417407
0.020533333333333334,0.2708,0.74157006
0.020666666666666667,0.2708,0.741335
0.020666666666666667,0.2712,0.7412765
0.0208,0.2712,0.74123865
0.0208,0.2748,0.7384768
0.021066666666666668,0.2748,0.7377328
0.021066666666666668,0.2772,0.7367849
0.0212,0.2772,0.7367421
0.0212,0.2776,0.73666495
0.021333333333333333,0.2776,0.7365721
0.021333333333333333,0.278,0.7363939
0.021466666666666665,0.278,0.7357638
0.021466666666666665,0.2788,0.735371
0.0216,0.2788,0.7349767
0.0216,0.2796,0.7343154
0.021733333333333334,0.2796,0.7341562
0.021733333333333334,0.2808,0.7332983
0.021866666666666666,0.2808,0.73261774
0.021866666666666666,0.2812,0.7323384
0.022,0.2812,0.7320234
0.022,0.2816,0.73198855
0.022266666666666667,0.2816,0.731692
0.022266666666666667,0.2832,0.7309731
0.022533333333333332,0.2832,0.7307662
0.022533333333333332,0.2836,0.73053294
0.023066666666666666,0.2836,0.7289132
0.023066666666666666,0.286,0.7261514
0.0232,0.286,0.72595453
0.0232,0.2876,0.72496104
0.023333333333333334,0.2876,0.72487634
0.023333333333333334,0.288,0.7246332
0.023466666666666667,0.288,0.7245883
0.023466666666666667,0.2884,0.72441804
0.0236,0.2884,0.7243266
0.0236,0.2888,0.72417444
0.023866666666666668,0.2888,0.7236008
0.023866666666666668,0.2892,0.72328836
0.024133333333333333,0.2892,0.72273785
0.024133333333333333,0.2912,0.72192
0.0244,0.2912,0.7203945
0.0244,0.2928,0.71743006
0.024666666666666667,0.2928,0.7172529
0.024666666666666667,0.2952,0.7153407
0.02493333333333333,0.2952,0.71447355
0.02493333333333333,0.2972,0.7130846
0.025466666666666665,0.2972,0.7121043
0.025466666666666665,0.2976,0.7118998
0.0256,0.2976,0.71144783
0.0256,0.2996,0.7097109
0.025866666666666666,0.2996,0.7093063
0.025866666666666666,0.3016,0.7080051
0.026,0.3016,0.707656
0.026,0.3024,0.70747614
0.026133333333333335,0.3024,0.7065908
0.026133333333333335,0.3032,0.7055805
0.026266666666666667,0.3032,0.7055703
0.026266666666666667,0.3036,0.7049662
0.0264,0.3036,0.7049338
0.0264,0.3048,0.7039971
0.0268,0.3048,0.70316327
0.0268,0.3064,0.70278656
0.026933333333333333,0.3064,0.7025402
0.026933333333333333,0.3068,0.7022646
0.027333333333333334,0.3068,0.7017259
0.027333333333333334,0.3076,0.70166165
0.027466666666666667,0.3076,0.7016234
0.027466666666666667,0.308,0.70154804
0.0276,0.308,0.70136374
0.0276,0.3088,0.70089674
0.027733333333333332,0.3088,0.70076907
0.027733333333333332,0.3096,0.70004094
0.028133333333333333,0.3096,0.69914234
0.028133333333333333,0.31,0.6989035
0.028266666666666666,0.31,0.69871306
0.028266666666666666,0.3112,0.6976051
0.0284,0.3112,0.6973402
0.0284,0.3116,0.6971853
0.028533333333333334,0.3116,0.6970967
0.028533333333333334,0.3124,0.69658494
0.028666666666666667,0.3124,0.6954793
0.028666666666666667,0.3132,0.6950517
0.028933333333333332,0.3132,0.69480664
0.028933333333333332,0.3148,0.69345725
0.029066666666666668,0.3148,0.69336426
0.029066666666666668,0.3152,0.6932644
0.0292,0.3152,0.6932413
0.0292,0.316,0.69288915
0.029333333333333333,0.316,0.6927072
0.029333333333333333,0.3168,0.6925623
0.029466666666666665,0.3168,0.69247645
0.029466666666666665,0.3172,0.6923386
0.0296,0.3172,0.6921015
0.0296,0.3184,0.6915928
0.030133333333333335,0.3184,0.6907631
0.030133333333333335,0.3192,0.6906762
0.0304,0.3192,0.690079
