fpr,tpr,_
0.0,0.0,1.9898512
0.0,0.0004,0.98985124
0.0,0.0016,0.96339965
0.00013333333333333334,0.0016,0.9600273
0.00013333333333333334,0.0056,0.93649435
0.0002666666666666667,0.0056,0.9326323
0.0002666666666666667,0.0132,0.91081244
0.0004,0.0132,0.91068923
0.0004,0.016,0.8994954
0.0006666666666666666,0.016,0.8952618
0.0006666666666666666,0.0196,0.8897106
0.0008,0.0196,0.8891266
0.0008,0.0204,0.88804424
0.0012,0.0204,0.8861749
0.0012,0.0224,0.88144267
0.0014666666666666667,0.0224,0.8795081
0.0014666666666666667,0.0232,0.8769547
0.0016,0.0232,0.87671065
0.0016,0.0248,0.8734345
0.0017333333333333333,0.0248,0.8712429
0.0017333333333333333,0.0256,0.86814123
0.002,0.0256,0.86540806
0.002,0.0268,0.864469
0.0021333333333333334,0.0268,0.8642993
0.0021333333333333334,0.0288,0.8596628
0.002266666666666667,0.0288,0.8589008
0.002266666666666667,0.0304,0.8574609
0.0024,0.0304,0.8574382
0.0024,0.0324,0.8551185
0.002533333333333333,0.0324,0.8542778
0.002533333333333333,0.0332,0.85237485
0.0026666666666666666,0.0332,0.8518542
0.0026666666666666666,0.034,0.84934294
0.0028,0.034,0.84907675
0.0028,0.0344,0.8485868
0.0029333333333333334,0.0344,0.84782916
0.0029333333333333334,0.0356,0.846871
0.0030666666666666668,0.0356,0.8461803
0.0030666666666666668,0.0364,0.84538347
0.0033333333333333335,0.0364,0.8447763
0.0033333333333333335,0.0376,0.84069973
0.0034666666666666665,0.0376,0.84052336
0.0034666666666666665,0.0388,0.83956236
0.0037333333333333333,0.0388,0.8393829
0.0037333333333333333,0.04,0.8379242
0.0038666666666666667,0.04,0.8376448
0.0038666666666666667,0.0404,0.8364986
0.004,0.0404,0.8348947
0.004,0.0408,0.83430034
0.004266666666666667,0.0408,0.83389103
0.004266666666666667,0.0424,0.832352
0.0044,0.0424,0.83221525
0.0044,0.044,0.82992893
0.004533333333333334,0.044,0.8296645
0.004533333333333334,0.0464,0.8268971
0.004666666666666667,0.0464,0.8266331
0.004666666666666667,0.0484,0.8244052
0.0052,0.0484,0.8232793
0.0052,0.05,0.8219945
0.0054666666666666665,0.05,0.8210974
0.0054666666666666665,0.0512,0.8204662
0.0056,0.0512,0.8197956
0.0056,0.0516,0.81926465
0.005866666666666667,0.0516,0.81847984
0.005866666666666667,0.052,0.817745
0.006,0.052,0.81709963
0.006,0.0544,0.8144691
0.0061333333333333335,0.0544,0.8144101
0.0061333333333333335,0.0588,0.8083728
0.006266666666666667,0.0588,0.80727714
0.006266666666666667,0.0592,0.8071349
0.006666666666666667,0.0592,0.8061464
0.006666666666666667,0.0596,0.8059593
0.0068,0.0596,0.80548584
0.0068,0.0604,0.804413
0.006933333333333333,0.0604,0.8040116
0.006933333333333333,0.062,0.80362606
0.007066666666666666,0.062,0.8036031
0.007066666666666666,0.064,0.8028051
0.0072,0.064,0.8025189
0.0072,0.0656,0.80115736
0.007466666666666667,0.0656,0.7994011
0.007466666666666667,0.0664,0.7985981
0.008,0.0664,0.7971763
