fpr,tpr,_
0.0,0.0,1.9996662
0.0,0.0004,0.9996662
0.0,0.0024,0.99954045
0.0,0.0032,0.99953735
0.0,0.0908,0.99829584
0.0,0.0916,0.9982937
0.0,0.1044,0.9981351
0.0,0.1052,0.9981312
0.0,0.1268,0.99786997
0.0,0.1276,0.9978563
0.0,0.172,0.99731344
0.0,0.1728,0.99730885
0.0,0.1852,0.9971609
0.0,0.186,0.9971597
0.0,0.2164,0.9967732
0.0,0.2172,0.9967649
0.0,0.2276,0.99661213
0.0,0.2284,0.9965905
0.0,0.2404,0.9963671
0.0,0.2412,0.9963617
0.0,0.2664,0.9959067
0.0,0.2672,0.9958955
0.0,0.2676,0.99589515
0.0,0.2684,0.9958884
0.0,0.2832,0.99570173
0.0,0.284,0.9956975
0.0,0.3392,0.99468505
0.0,0.34,0.99467766
0.0,0.404,0.99324554
0.0,0.4048,0.99324167
0.0,0.5192,0.9893756
0.0,0.52,0.9893702
0.0,0.5468,0.98804086
0.0,0.5476,0.98802257
0.0,0.5732,0.9868933
0.00013333333333333334,0.5732,0.9868318
0.00013333333333333334,0.578,0.9866766
0.00013333333333333334,0.5788,0.98666465
0.00013333333333333334,0.6176,0.9843928
0.00013333333333333334,0.6184,0.98437434
0.00013333333333333334,0.6984,0.97735196
0.0002666666666666667,0.6984,0.9773032
0.0002666666666666667,0.716,0.9751403
0.0002666666666666667,0.7168,0.9750191
0.0002666666666666667,0.7268,0.9736072
0.0004,0.7268,0.9735685
0.0004,0.7664,0.9662151
0.0005333333333333334,0.7664,0.9662108
0.0005333333333333334,0.8436,0.9406781
0.0006666666666666666,0.8436,0.940559
0.0006666666666666666,0.848,0.9388495
0.0008,0.848,0.9375819
0.0008,0.8504,0.9355766
0.0009333333333333333,0.8504,0.9352541
0.0009333333333333333,0.8632,0.92883265
0.0010666666666666667,0.8632,0.92880845
0.0010666666666666667,0.868,0.9233159
0.0012,0.868,0.9230245
0.0012,0.8796,0.9148284
0.0013333333333333333,0.8796,0.91474485
0.0013333333333333333,0.8924,0.90111756
0.0014666666666666667,0.8924,0.9008268
0.0014666666666666667,0.8956,0.8958248
0.0016,0.8956,0.8953779
0.0016,0.8988,0.88876003
0.0017333333333333333,0.8988,0.8887347
0.0017333333333333333,0.9,0.8881584
0.002,0.9,0.8876814
0.002,0.912,0.8573167
0.0021333333333333334,0.912,0.8556579
0.0021333333333333334,0.9164,0.84634036
0.002266666666666667,0.9164,0.8449329
0.002266666666666667,0.9192,0.8384103
0.0024,0.9192,0.8361286
0.0024,0.9228,0.8258689
0.002533333333333333,0.9228,0.8230906
0.002533333333333333,0.9244,0.81852245
0.0026666666666666666,0.9244,0.8178083
0.0026666666666666666,0.9256,0.81605285
0.0028,0.9256,0.8149089
0.0028,0.932,0.7962183
0.0029333333333333334,0.932,0.79344606
0.0029333333333333334,0.9392,0.76865816
0.0030666666666666668,0.9392,0.7660965
0.0030666666666666668,0.9408,0.76082474
0.0032,0.9408,0.7605005
0.0032,0.942,0.75360286
0.0033333333333333335,0.942,0.7532033
0.0033333333333333335,0.9484,0.7153863
0.0034666666666666665,0.9484,0.713076
0.0034666666666666665,0.9492,0.71129143
0.0036,0.9492,0.70828706
0.0036,0.9504,0.7038913
0.0037333333333333333,0.9504,0.7009227
0.0037333333333333333,0.9508,0.69890845
0.0038666666666666667,0.9508,0.6980443
0.0038666666666666667,0.952,0.6864235
0.004,0.952,0.68153006
0.004,0.9524,0.680339
0.0041333333333333335,0.9524,0.67839795
0.0041333333333333335,0.9532,0.6774376
0.004266666666666667,0.9532,0.6766454
0.004266666666666667,0.9536,0.6692727
0.004533333333333334,0.9536,0.6649033
0.004533333333333334,0.9544,0.6643841
0.0048,0.9544,0.64390975
0.0048,0.9552,0.63724726
0.005066666666666666,0.9552,0.6235357
0.005066666666666666,0.956,0.61864436
0.0052,0.956,0.6162974
0.0052,0.9564,0.6063231
0.005733333333333333,0.9564,0.5943855
0.005733333333333333,0.9568,0.5934576
0.006,0.9568,0.5847682
0.006,0.9572,0.5829019
0.0061333333333333335,0.9572,0.5809468
0.0061333333333333335,0.9584,0.5635295
0.006533333333333334,0.9584,0.5583216
0.006533333333333334,0.9616,0.5340727
0.006666666666666667,0.9616,0.5325746
0.006666666666666667,0.964,0.5140364
0.007333333333333333,0.964,0.4992598
0.007333333333333333,0.9648,0.4981457
0.0076,0.9648,0.4925535
0.0076,0.9656,0.4805993
0.007866666666666666,0.9656,0.47999176
0.008133333333333333,0.9656,0.4787508
0.008133333333333333,0.966,0.4756485
0.008266666666666667,0.966,0.4545829
0.008266666666666667,0.9664,0.44893917
0.008933333333333333,0.9664,0.4349495
0.008933333333333333,0.9668,0.43312702
0.0092,0.9668,0.42560518
0.0092,0.9672,0.42287403
0.009466666666666667,0.9672,0.41666752
0.009466666666666667,0.968,0.41281667
0.009733333333333333,0.968,0.4046689
0.01,0.968,0.4037902
0.01,0.9684,0.4030015
0.010133333333333333,0.9684,0.40264353
0.010133333333333333,0.9688,0.40116456
0.011066666666666667,0.9688,0.37086642
0.011066666666666667,0.9692,0.36753717
0.011866666666666666,0.9692,0.36034963
0.011866666666666666,0.9696,0.3543743
0.012,0.9696,0.34989423
0.012266666666666667,0.9696,0.34416583
0.013866666666666666,0.9696,0.3053689
0.013866666666666666,0.97,0.30445638
0.014,0.97,0.30416584
0.014,0.9704,0.3029783
0.0144,0.9704,0.29943794
0.0144,0.9708,0.2961902
0.018933333333333333,0.9708,0.24740252
0.018933333333333333,0.9712,0.24416019
0.019333333333333334,0.9712,0.23902415
0.0196,0.9712,0.23743235
0.019733333333333332,0.9712,0.23666543
0.019733333333333332,0.9716,0.23543288
0.0208,0.9716,0.22836858
0.0208,0.972,0.22742328
0.022133333333333335,0.972,0.21685894
0.022133333333333335,0.9724,0.2161074
0.023866666666666668,0.9724,0.20182264
0.023866666666666668,0.9728,0.19838412
0.024266666666666666,0.9728,0.19583087
0.024266666666666666,0.9732,0.19538221
0.024533333333333334,0.9732,0.19434352
0.024533333333333334,0.9736,0.19414239
0.025733333333333334,0.9736,0.18481754
0.025733333333333334,0.974,0.18175422
0.027333333333333334,0.974,0.17169993
0.0276,0.974,0.17164502
0.028666666666666667,0.974,0.16844562
0.028666666666666667,0.9744,0.1683034
0.0304,0.9744,0.15784013
0.0304,0.9748,0.15771672
0.035866666666666665,0.9748,0.1275054
0.03613333333333334,0.9748,0.12685874
0.0372,0.9748,0.123591796
0.03746666666666667,0.9748,0.12354568
0.039466666666666664,0.9748,0.11163916
0.039733333333333336,0.9748,0.11087583
0.04306666666666667,0.9748,0.09637986
0.043333333333333335,0.9748,0.09613681
0.04493333333333333,0.9748,0.09106833
0.04493333333333333,0.9752,0.090745084
0.0452,0.9752,0.090496875
0.0472,0.9752,0.08494466
0.047466666666666664,0.9752,0.08355042
0.05053333333333333,0.9752,0.075268075
0.0508,0.9752,0.075136214
0.05173333333333333,0.9752,0.07371379
0.052,0.9752,0.07368712
0.05466666666666667,0.9752,0.06788067
0.05466666666666667,0.9756,0.06785767
0.0568,0.9756,0.06259559
0.05706666666666667,0.9756,0.062414493
0.05826666666666667,0.9756,0.06131622
0.05853333333333333,0.9756,0.061220363
0.0592,0.9756,0.060748328
0.05946666666666667,0.9756,0.059955515
0.0628,0.9756,0.056357324
0.0628,0.976,0.055888105
0.06333333333333334,0.976,0.05477662
0.0636,0.976,0.05475698
0.06453333333333333,0.976,0.053455554
0.0648,0.976,0.05328113
0.0688,0.976,0.04961979
0.0688,0.9764,0.049540456
0.06946666666666666,0.9764,0.049200986
