fpr,tpr,_
0.0,0.0,1.9593444
0.0,0.0004,0.9593444
0.0,0.0012,0.956125
0.00013333333333333334,0.0012,0.9498556
0.00013333333333333334,0.0044,0.92998004
0.0002666666666666667,0.0044,0.92946184
0.0002666666666666667,0.0128,0.90008396
0.0004,0.0128,0.8955567
0.0004,0.014,0.8946172
0.0005333333333333334,0.014,0.8934225
0.0005333333333333334,0.0156,0.88952947
0.0006666666666666666,0.0156,0.88896424
0.0006666666666666666,0.0168,0.88656735
0.0008,0.0168,0.8856911
0.0008,0.0176,0.88273454
0.0009333333333333333,0.0176,0.8826182
0.0009333333333333333,0.018,0.8810594
0.0010666666666666667,0.018,0.8795251
0.0010666666666666667,0.0216,0.8699794
0.0016,0.0216,0.8681192
0.0016,0.022,0.8677116
0.0017333333333333333,0.022,0.86505455
0.0017333333333333333,0.0228,0.8627198
0.002,0.0228,0.86144423
0.002,0.0264,0.85650915
0.0021333333333333334,0.0264,0.8560343
0.0021333333333333334,0.0268,0.8558295
0.0024,0.0268,0.8554673
0.0026666666666666666,0.0268,0.8547397
0.0026666666666666666,0.0276,0.8546026
0.0029333333333333334,0.0276,0.8526606
0.0029333333333333334,0.0292,0.8516713
0.0030666666666666668,0.0292,0.8511909
0.0030666666666666668,0.0304,0.8503904
0.0032,0.0304,0.849842
0.0032,0.0312,0.84877086
0.0033333333333333335,0.0312,0.84869224
0.0033333333333333335,0.0336,0.8457532
0.0034666666666666665,0.0336,0.8438663
0.0034666666666666665,0.034,0.84380245
0.0036,0.034,0.8437124
0.0036,0.0352,0.84204024
0.0037333333333333333,0.0352,0.8416915
0.0037333333333333333,0.0368,0.83821493
0.0038666666666666667,0.0368,0.8375687
0.0038666666666666667,0.0388,0.83469814
0.004266666666666667,0.0388,0.8331664
0.004266666666666667,0.0392,0.833157
0.0044,0.0392,0.8331292
0.0044,0.0396,0.8326132
0.004533333333333334,0.0396,0.8315613
0.004533333333333334,0.0404,0.83070683
0.004666666666666667,0.0404,0.8289932
0.004666666666666667,0.0424,0.8253159
0.0048,0.0424,0.82446635
0.0048,0.0432,0.82420814
0.005066666666666666,0.0432,0.8238804
0.005066666666666666,0.044,0.8213496
0.0052,0.044,0.8209127
0.0052,0.0452,0.8199265
0.0054666666666666665,0.0452,0.8196001
0.0054666666666666665,0.048,0.8171627
0.0056,0.048,0.81712127
0.0056,0.0484,0.815729
0.005733333333333333,0.0484,0.81482166
0.005733333333333333,0.0508,0.8121473
0.006,0.0508,0.8117194
0.006,0.0516,0.81053495
0.0061333333333333335,0.0516,0.8103866
0.0061333333333333335,0.0528,0.80873656
0.006533333333333334,0.0528,0.8057416
0.006533333333333334,0.0532,0.8056335
0.006666666666666667,0.0532,0.8055256
0.006666666666666667,0.0536,0.80534893
