fpr,tpr,_
0.0,0.0,1.9999997558751854
0.0,0.0004,0.9999997558751853
0.0,0.3228,0.9107504037277959
0.0002,0.3228,0.9095910933681205
0.0002,0.336,0.8967539306185804
0.0004,0.336,0.8965475436350459
0.0004,0.3416,0.8906647823989715
0.0006,0.3416,0.8905477855995793
0.0006,0.3472,0.8840177952210828
0.0008,0.3472,0.8839738144831356
0.0008,0.3476,0.8837806336300987
0.001,0.3476,0.8837389328750813
0.001,0.3484,0.8827755757503901
0.0012,0.3484,0.8821645785712093
0.0012,0.3632,0.8645722309541614
0.0014,0.3632,0.8640221106915809
0.0014,0.3648,0.8623265443200775
0.0016,0.3648,0.8622511140985007
0.0016,0.368,0.8553892904619335
0.0018,0.368,0.8545120772424702
0.0018,0.3852,0.8200957344730446
0.002,0.3852,0.8192892454120877
0.002,0.3956,0.8095955044329001
0.0022,0.3956,0.8086975327362106
0.0022,0.398,0.803858821807114
0.0024,0.398,0.8037820896998669
0.0024,0.3996,0.8029189690365395
0.0026,0.3996,0.8027137659382075
0.0026,0.4208,0.7618682512518392
0.0028,0.4208,0.7615351042279859
0.0028,0.4296,0.7477112162605398
0.003,0.4296,0.7472562875445409
0.003,0.432,0.7452201008166711
0.0032,0.432,0.7439567456905007
0.0032,0.4328,0.7433487717949058
0.0034,0.4328,0.7427745710807867
0.0034,0.4348,0.7380214094893921
0.0038,0.4348,0.7369548748312033
0.0038,0.4376,0.7354655949546117
0.004,0.4376,0.735443598033389
0.004,0.438,0.7353768638079525
0.0042,0.438,0.7347668171799872
0.0042,0.4384,0.7344913956983078
0.0044,0.4384,0.7344470248388236
0.0044,0.4392,0.7343836390005548
0.005,0.4392,0.7329500667428624
0.005,0.44,0.7320669352959461
0.0052,0.44,0.7317247634709994
0.0052,0.442,0.728018428637238
0.0054,0.442,0.7277778747660681
0.0054,0.448,0.7201937830919896
0.0056,0.448,0.7200931500910867
0.0056,0.45,0.7175231434301247
0.0058,0.45,0.7172987935364348
0.0058,0.4512,0.7158116213496595
0.006,0.4512,0.7140858331386786
0.006,0.454,0.7111444167485993
0.0062,0.454,0.7107947110954318
0.0062,0.4552,0.7058024133149925
0.0064,0.4552,0.7055365597052604
0.0064,0.4556,0.7049389952787753
0.0066,0.4556,0.7041788849884293
0.0066,0.4564,0.7021329761719083
0.0068,0.4564,0.7019731632110979
0.0068,0.4596,0.6996855510405704
0.007,0.4596,0.6985954185125967
0.007,0.4604,0.6977378485157519
0.0072,0.4604,0.6970255272675748
0.0072,0.4616,0.6949874144301241
0.0074,0.4616,0.6949231118561511
0.0074,0.462,0.6939013383810668
0.0076,0.462,0.6938279987333089
0.0076,0.4652,0.6895169652500545
0.0078,0.4652,0.6893456475257892
0.0078,0.4664,0.6891198412546171
0.008,0.4664,0.6888893905052293
0.008,0.4668,0.6881696641554849
0.0084,0.4668,0.6878342390086039
0.0084,0.4676,0.6877116910580048
0.0088,0.4676,0.6876315183419234
0.0088,0.468,0.6866341893822083
0.009,0.468,0.6859649387125274
0.009,0.4684,0.6854366466914311
0.0092,0.4684,0.685345119021138
0.0092,0.4712,0.6813142289689419
0.0094,0.4712,0.6812882543352891
0.0094,0.4724,0.6798802229156691
0.0096,0.4724,0.6796336267701271
0.0096,0.4736,0.6783632923241061
0.0098,0.4736,0.6772558188669633
0.0098,0.4744,0.6760022736784245
0.01,0.4744,0.6750881309999305
0.01,0.4764,0.6717193673077636
0.0102,0.4764,0.6716233811579233
0.0102,0.4768,0.671031633754
0.0104,0.4768,0.6697698958489605
0.0104,0.4784,0.6689681942051849
0.0108,0.4784,0.6680270953576402
0.0108,0.4788,0.6677064736425964
0.0116,0.4788,0.6636800380609466
0.0116,0.4808,0.6620014423364082
0.0118,0.4808,0.6619634752510566
0.0118,0.4812,0.6614283134418223
0.012,0.4812,0.6613752921920139
0.012,0.4824,0.6589712409451478
0.0122,0.4824,0.6583280200231335
0.0122,0.4828,0.6582678135094324
0.0124,0.4828,0.6581601920582468
0.0124,0.4832,0.6580311927730151
0.0126,0.4832,0.6572025682821449
0.0126,0.4848,0.6547090383208186
0.0128,0.4848,0.654514964027184
0.0128,0.486,0.6538872825970053
0.013,0.486,0.653862223038405
0.013,0.4872,0.6531374537038583
0.0132,0.4872,0.6530352275243964
0.0132,0.4884,0.6526112895481254
0.0136,0.4884,0.6518452356604062
0.0136,0.492,0.6484652462788377
0.0138,0.492,0.6477223908937735
0.0138,0.4932,0.6472592456006325
0.014,0.4932,0.6472436832706552
0.014,0.4968,0.6437146651460105
0.0142,0.4968,0.6434508838313235
0.0142,0.4972,0.6432610333390675
0.0144,0.4972,0.6432218155435047
0.0144,0.4984,0.6426042802763616
0.0146,0.4984,0.6420639192197616
0.0146,0.5,0.6410428291838733
0.0148,0.5,0.6409992566532821
0.0148,0.5032,0.6372533025047731
0.015,0.5032,0.6363557027293102
0.015,0.5036,0.6358479828642728
0.0152,0.5036,0.6354458407891214
0.0152,0.504,0.6339969295444631
0.0154,0.504,0.6332355059899065
0.0154,0.5072,0.6310329735832108
0.016,0.5072,0.6298097221518371
0.016,0.5104,0.624797415440328
0.0166,0.5104,0.623699977178641
0.0166,0.5108,0.6236826607258705
0.0168,0.5108,0.6234379181242558
0.0168,0.5112,0.6232822039606385
0.017,0.5112,0.6224186124853579
0.017,0.5124,0.6215946340884282
0.0174,0.5124,0.6209363930790432
0.0174,0.5136,0.6200284187679954
0.0176,0.5136,0.6199045940384386
0.0176,0.5156,0.6164943053533555
0.0178,0.5156,0.6161488609485235
0.0178,0.516,0.6155475611954168
0.018,0.516,0.6152362350517682
0.018,0.5172,0.614748540023629
0.0184,0.5172,0.6145116437879818
0.0184,0.5184,0.6137537290783929
0.0186,0.5184,0.6128101806300994
0.0186,0.5192,0.6122530792694437
0.0192,0.5192,0.6101584466385374
0.0192,0.5196,0.6098777541787771
0.0194,0.5196,0.6098392592720513
