fpr,tpr,_
0.0,0.0,1.999623063312296
0.0,0.0004,0.999623063312296
0.0,0.2736,0.8847805688324107
0.0002,0.2736,0.8845837305290877
0.0002,0.2964,0.84106781440249
0.0004,0.2964,0.8408140132096559
0.0004,0.3184,0.7994990162149652
0.0006,0.3184,0.7994485577904272
0.0006,0.3204,0.796108018733857
0.0008,0.3204,0.7959909151630696
0.0008,0.3212,0.7924055434558538
0.001,0.3212,0.7913526589673221
0.001,0.3224,0.7879710628930657
0.0012,0.3224,0.7876340478640542
0.0012,0.3356,0.760472305721697
0.0014,0.3356,0.7602519000926593
0.0014,0.3376,0.7571540755166606
0.0016,0.3376,0.7568467512654
0.0016,0.338,0.7568047008158999
0.002,0.338,0.7565061718863729
0.002,0.342,0.7479028561081136
0.0022,0.342,0.7471778989757137
0.0022,0.344,0.7447772975373136
0.0024,0.344,0.744531762927355
0.0024,0.3468,0.74092258893978
0.0026,0.3468,0.7398790504803833
0.0026,0.3476,0.7393252581412705
0.0028,0.3476,0.7378590830429482
0.0028,0.3564,0.7200916837771056
0.003,0.3564,0.7196028461390896
0.003,0.3572,0.7192355618352517
0.0032,0.3572,0.71804240062158
0.0032,0.3576,0.7173894346334164
0.0036,0.3576,0.7164552079088881
0.0036,0.358,0.7163772380148787
0.0038,0.358,0.716320180504273
0.0038,0.3616,0.710752245675637
0.004,0.3616,0.7099336201186803
0.004,0.3652,0.702975490747528
0.0042,0.3652,0.7029478607060549
0.0042,0.3668,0.701122467746448
0.0044,0.3668,0.7010011907692132
0.0044,0.3672,0.700999071947816
0.0048,0.3672,0.6992197851726106
0.0048,0.3716,0.694517444937349
0.005,0.3716,0.6942066177964834
0.005,0.372,0.6941949461402173
0.0052,0.372,0.694080399877673
0.0052,0.3728,0.6935835574895696
0.0054,0.3728,0.6935313108648279
0.0054,0.374,0.6922782119890044
0.0056,0.374,0.6919305609897483
0.0056,0.3744,0.6912978679661937
0.0058,0.3744,0.69117186492586
0.0058,0.3756,0.6908103965781786
0.006,0.3756,0.6902236224962779
0.006,0.376,0.6896441235249151
0.0062,0.376,0.6894265677183163
0.0062,0.38,0.6837456124417929
0.0064,0.38,0.6835740969263011
0.0064,0.3816,0.6808301823870573
0.0066,0.3816,0.6805515348626152
0.0066,0.3824,0.678838254308024
0.0068,0.3824,0.6786858566133235
0.0068,0.3828,0.6784382595407974
0.007,0.3828,0.6776358848136393
0.007,0.3844,0.676717597049354
0.0074,0.3844,0.6762466906615922
0.0074,0.3864,0.6755744517131006
0.0076,0.3864,0.6753409414950422
0.0076,0.3924,0.6689797357987669
0.0078,0.3924,0.6685921621883243
0.0078,0.396,0.6643077805239983
0.008,0.396,0.6640421471697335
0.008,0.3964,0.663725078832485
0.0082,0.3964,0.663413589144847
0.0082,0.4008,0.6607036117099314
0.0084,0.4008,0.6603495585606091
0.0084,0.402,0.6592856339528435
0.0086,0.402,0.6582416034953338
0.0086,0.4024,0.6577948513392577
0.0088,0.4024,0.6571859774159784
0.0088,0.404,0.6559655258934523
0.0092,0.404,0.6538010625913437
0.0092,0.4048,0.652950428871476
0.0096,0.4048,0.6519273756979613
0.0096,0.4068,0.6505618369342149
0.0098,0.4068,0.6499629069536278
0.0098,0.4072,0.6497753577273239
0.01,0.4072,0.6497447292508849
0.01,0.4104,0.6469497730084266
0.0102,0.4104,0.646611557224707
0.0102,0.4132,0.6442480024938826
0.0106,0.4132,0.6441472778918084
0.0106,0.4144,0.6428259930218909
0.0108,0.4144,0.6425375989946686
0.0108,0.416,0.6419614445970703
0.011,0.416,0.6416735906787696
0.011,0.4164,0.6413491252239388
0.0112,0.4164,0.6413034833705926
0.0112,0.4168,0.6410182867270765
0.0114,0.4168,0.6409958515781935
0.0114,0.4172,0.6395734493335794
0.0116,0.4172,0.639500254226762
