fpr,tpr,_
0.0,0.0,1.9269127907695616
0.0002,0.0,0.9269127907695615
0.0008,0.0,0.8816251517689715
0.0008,0.0008,0.8730426317609481
0.001,0.0008,0.8706962503566371
0.001,0.0012,0.868294334953913
0.0018,0.0012,0.8570113096574375
0.0018,0.0016,0.8556515843029966
0.0026,0.0016,0.8518906309262263
0.0026,0.002,0.8514932287535412
0.0028,0.002,0.8485132646552138
0.0028,0.0028,0.8465292399125569
0.003,0.0028,0.8455979704359022
0.003,0.0032,0.8409269732763313
0.0032,0.0032,0.8399037312562857
0.0032,0.004,0.8386653167941649
0.0036,0.004,0.8350918010969935
0.0036,0.0044,0.8323487913549414
0.0038,0.0044,0.8318940671893674
0.0038,0.0048,0.8308740584111728
0.004,0.0048,0.8304621196913943
0.004,0.0056,0.8256825196400264
0.0042,0.0056,0.8254252691817039
0.0042,0.006,0.8250104064298616
0.0044,0.006,0.8249001554699326
0.0044,0.0064,0.8247335695562547
0.0046,0.0064,0.822339001477309
0.0046,0.0084,0.8204270080243937
0.005,0.0084,0.8175239320575673
0.005,0.0088,0.8153713819647871
0.0054,0.0088,0.8146659721377288
0.0054,0.0092,0.8145275248245955
0.0058,0.0092,0.8100181091987767
0.0058,0.0096,0.8084655539582746
0.006,0.0096,0.807105226542607
0.006,0.0108,0.8062868020386266
0.0066,0.0108,0.8052724859849378
0.0066,0.0116,0.8038539513359622
0.007,0.0116,0.8004854194387326
0.007,0.012,0.7990344065181847
0.0072,0.012,0.797532925627301
0.0072,0.0124,0.7969343656608813
0.0074,0.0124,0.7963378780392331
0.0074,0.014,0.7929287157656109
0.0078,0.014,0.7913946023577106
0.0078,0.0144,0.7908797671297139
0.0082,0.0144,0.7905938266018997
0.0082,0.0148,0.7886801571128168
0.0084,0.0148,0.7884109118337224
0.0084,0.0156,0.7861330549875875
0.0086,0.0156,0.7860081800777823
0.0086,0.016,0.7859751386233083
0.0088,0.016,0.7847511887167121
0.0088,0.0164,0.7842369904146042
0.009,0.0164,0.7838753323538342
0.009,0.02,0.7778458998600696
0.0092,0.02,0.7770215685600461
0.0092,0.0204,0.7770119127874039
0.0094,0.0204,0.7769076950720526
0.0094,0.0224,0.7745909926251839
0.0102,0.0224,0.7729577264987479
0.0102,0.026,0.7677835979064146
0.0104,0.026,0.7669690029914455
0.0104,0.0272,0.7660318248559425
0.011,0.0272,0.7652319571257163
0.011,0.0288,0.7627347043070218
0.0114,0.0288,0.7619059845832487
0.0114,0.03,0.7610558704021032
0.0116,0.03,0.7608719469509759
0.0116,0.0316,0.7585565971173974
0.0118,0.0316,0.7581766575376591
0.0118,0.0344,0.7566655099585037
0.0122,0.0344,0.7560529082915795
0.0122,0.0348,0.7556870649393604
0.0124,0.0348,0.7547701534768682
0.0124,0.0356,0.7537563818300455
0.0126,0.0356,0.7534687431909822
0.0126,0.0368,0.7511318511735121
0.013,0.0368,0.7503919806137995
0.013,0.0376,0.750032808325194
0.0132,0.0376,0.7499414204073775
0.0132,0.0392,0.7486142391096275
0.0134,0.0392,0.7483652763146924
0.0134,0.04,0.7477582575198951
0.0138,0.04,0.7464179193622922
0.0138,0.0404,0.7460969455983216
0.014,0.0404,0.746002956991513
0.014,0.0408,0.7455301264271714
0.0144,0.0408,0.7438446976896578
0.0144,0.0416,0.7433986323133752
0.0146,0.0416,0.7422799564042134
0.0146,0.0428,0.7415491309392321
0.0148,0.0428,0.7413616240450037
0.0148,0.0456,0.7392735903818151
0.015,0.0456,0.7390229809163134
0.015,0.046,0.7385866789403759
0.0152,0.046,0.7379556734569485
0.0152,0.048,0.736116100453549
0.0162,0.048,0.734258154774132
0.0162,0.0484,0.7342551783007364
0.0164,0.0484,0.734120320483805
0.0164,0.0488,0.7340667567977559
0.017,0.0488,0.7332864065412306
0.017,0.0492,0.7331679889753451
0.0172,0.0492,0.7330919252443275
0.0172,0.0496,0.7330131688629785
0.0176,0.0496,0.7315942651549304
0.0176,0.0508,0.7303764818624306
0.018,0.0508,0.7303128433381462
0.018,0.052,0.7297852747533289
0.0184,0.052,0.7291134089860336
0.0184,0.0532,0.7276594578017004
0.0188,0.0532,0.7272411618667955
0.0188,0.0536,0.7270012684876431
0.0192,0.0536,0.7264114189725136
0.0192,0.054,0.7262604439910864
0.0196,0.054,0.7259563496476718
0.0196,0.0572,0.7229000955274307
0.0198,0.0572,0.7226932991767178
0.0198,0.0576,0.7225700310174954
0.02,0.0576,0.7224554359863066
0.02,0.0604,0.7199690179740602
0.0206,0.0604,0.7196565174462368
0.0206,0.0628,0.7192138179875616
0.0212,0.0628,0.7183588161113391
0.0212,0.0632,0.7180581931633899
0.0218,0.0632,0.7165072648578893
0.0218,0.064,0.7156493429656067
0.022,0.064,0.715477601252761
0.022,0.0652,0.7141673214487281
0.0224,0.0652,0.7140378301111231
0.0224,0.0656,0.7137736584657018
0.0226,0.0656,0.7135456866592205
0.0226,0.0672,0.7119952606773845
0.0228,0.0672,0.711968002922972
0.0228,0.068,0.7115269578760298
0.0232,0.068,0.7104499909389098
0.0232,0.0684,0.7101567205616931
0.0234,0.0684,0.7101131187628957
0.0234,0.07,0.7094569158007785
0.024,0.07,0.7087426945508897
0.024,0.0708,0.7084137407001058
0.0242,0.0708,0.7084113163780609
0.0242,0.072,0.7076261534071102
0.0244,0.072,0.7070304951009314
0.0244,0.0728,0.7067284177189097
0.0246,0.0728,0.7067239761453106
0.0246,0.0736,0.7062739282853427
0.0248,0.0736,0.7061077501939945
0.0248,0.0744,0.7060371302049951
0.0252,0.0744,0.7041680823366189
0.0252,0.0756,0.7024414060473236
0.0254,0.0756,0.7023507188374543
0.0254,0.076,0.7023191275833169
0.0256,0.076,0.7021317048312056
0.0256,0.0772,0.7014737886641227
0.026,0.0772,0.7006847772426603
0.026,0.0808,0.6983395952876565
0.0262,0.0808,0.6982946385425015
0.0262,0.0828,0.697425825095284
0.0264,0.0828,0.6973925150483913
0.0264,0.0848,0.6957439887367199
0.0266,0.0848,0.6953519030341136
0.0266,0.0892,0.691678496736202
0.027,0.0892,0.6913704793459979
0.027,0.0896,0.6912897538327599
0.0272,0.0896,0.6912288208209842
0.0272,0.0904,0.6909196450498998
0.0274,0.0904,0.6908582966732006
0.0274,0.092,0.6900016428844141
0.028,0.092,0.6894483930831977
0.028,0.0924,0.6894024144781159
0.0282,0.0924,0.6889366203571375
0.0282,0.096,0.6859365806599319
0.0286,0.096,0.6854274324664632
0.0286,0.0972,0.6845940502638961
0.0288,0.0972,0.6841763897755934
0.0288,0.0976,0.6839144187254609
0.029,0.0976,0.6838539565461916
0.029,0.098,0.6835672112820275
0.0292,0.098,0.6835126722402383
