fpr,tpr,_
0.0,0.0,1.8765255037287785
0.0002,0.0,0.8765255037287785
0.0012,0.0,0.8239391368856661
0.0012,0.0004,0.8229467436328405
0.0014,0.0004,0.8221617520123272
0.0014,0.0008,0.8210940016898977
0.002,0.0008,0.8127181182624506
0.002,0.0032,0.8038355811695771
0.0022,0.0032,0.8006880280444075
0.0022,0.0036,0.799059902035283
0.0026,0.0036,0.7976223288269929
0.0026,0.0044,0.7968362289421115
0.003,0.0044,0.7958695064699284
0.003,0.0048,0.7926027612316677
0.0038,0.0048,0.7876133305041164
0.0038,0.006,0.7813530503081795
0.0044,0.006,0.7803385490060962
0.0044,0.0072,0.7780498562572837
0.0048,0.0072,0.7764544401469177
0.0048,0.008,0.7754135271044544
0.005,0.008,0.7752571056353664
0.005,0.0092,0.7725090945528326
0.0054,0.0092,0.771335843311245
0.0054,0.0096,0.7711863295655674
0.0056,0.0096,0.7708688496051829
0.0056,0.01,0.7705474281397038
0.0058,0.01,0.7685276304474227
0.0058,0.0104,0.7683948550084637
0.006,0.0104,0.7674156425823726
0.006,0.0112,0.7668085193240906
0.0062,0.0112,0.766343213490712
0.0062,0.014,0.7576941979625651
0.0064,0.014,0.7572842482614144
0.0064,0.0152,0.7528242707274873
0.007,0.0152,0.7518140954580906
0.007,0.0156,0.75165034980085
0.0078,0.0156,0.7505531080983214
0.0078,0.0184,0.7476758463788903
0.0084,0.0184,0.7466253008919107
0.0084,0.0208,0.7409833005744089
0.0088,0.0208,0.7398356127467981
0.0088,0.0228,0.7377912423773354
0.009,0.0228,0.737755692136219
0.009,0.0236,0.7372304170201981
0.0104,0.0236,0.7309295139521338
0.0104,0.0244,0.7301505991156727
0.0106,0.0244,0.7292117973251868
0.0106,0.0248,0.7290721819740158
0.0108,0.0248,0.7288089347774346
0.0108,0.0252,0.7284776143352235
0.011,0.0252,0.7252829448859522
0.011,0.0272,0.7211214193011176
0.012,0.0272,0.7201151799399411
0.012,0.028,0.7190984371081933
0.0122,0.028,0.7186883217746413
0.0122,0.0284,0.7186744669983266
0.0128,0.0284,0.7176114452181412
0.0128,0.0296,0.7167957069266583
0.0132,0.0296,0.7159078027551525
0.0132,0.0316,0.7143258813929703
0.0136,0.0316,0.7129134947107009
0.0136,0.0332,0.7110443945969228
0.0138,0.0332,0.710664629711933
0.0138,0.0336,0.7106234503047122
0.0142,0.0336,0.7098424646742111
0.0142,0.0344,0.7088788764837194
0.0146,0.0344,0.7081358522090594
0.0146,0.0356,0.7079946653189975
0.0148,0.0356,0.7078736523492583
0.0148,0.038,0.7046186880705644
0.015,0.038,0.7038698251201658
0.015,0.0416,0.7007872325181254
0.0152,0.0416,0.7004848969514539
0.0152,0.0424,0.699554650733583
0.0156,0.0424,0.6989605822502734
0.0156,0.0428,0.6986797779062451
0.016,0.0428,0.6973826099526986
0.016,0.0436,0.6960062216385977
0.0166,0.0436,0.6946916738730824
0.0166,0.046,0.6926465298731777
0.0168,0.046,0.6926378999534338
0.0168,0.0468,0.6925140670774966
0.0174,0.0468,0.6918680081258849
0.0174,0.0472,0.6897422987369174
0.0176,0.0472,0.6897261753724776
0.0176,0.048,0.6891548302706879
0.0178,0.048,0.6889928799363997
0.0178,0.0484,0.6885093181378267
0.0186,0.0484,0.6869647505183586
0.0186,0.0496,0.6866661629658867
0.0192,0.0496,0.685489787971394
0.0192,0.0508,0.6845917747302368
0.0194,0.0508,0.6842866226360836
0.0194,0.052,0.6835064556877921
0.0202,0.052,0.6826144514427167
0.0202,0.0548,0.681779979935061
0.0204,0.0548,0.6817795725513303
0.0204,0.058,0.6803245076560774
0.0206,0.058,0.6796903164172303
0.0206,0.0612,0.6778627555105365
0.0208,0.0612,0.6776481235728727
0.0208,0.0644,0.67514720219664
0.021,0.0644,0.6750628230499731
0.021,0.0648,0.6749539083116041
0.0212,0.0648,0.6748773998427199
0.0212,0.066,0.6747100018366593
0.0214,0.066,0.6742026345169333
0.0214,0.0668,0.6738486495363789
0.0216,0.0668,0.673845105779044
0.0216,0.0676,0.673692576700262
0.0224,0.0676,0.672959822615204
0.0224,0.0704,0.6698949160178042
0.0226,0.0704,0.6696702007426567
0.0226,0.0708,0.6695221319189807
0.0232,0.0708,0.6674133160744211
0.0232,0.0712,0.6671324323304376
0.0234,0.0712,0.6669460711315193
0.0234,0.0728,0.6665611824346174
0.0248,0.0728,0.6650718918625556
0.0248,0.0736,0.6639836910931042
0.0252,0.0736,0.6637349522242004
0.0252,0.074,0.6631598359093944
0.0254,0.074,0.66307030922449
0.0254,0.0748,0.6627241014066431
0.0258,0.0748,0.6623463371247734
0.0258,0.0752,0.6622037664685144
0.026,0.0752,0.6621635117705885
0.026,0.0756,0.6619486773987996
0.0262,0.0756,0.6619122938736721
0.0262,0.0776,0.6597299904929562
0.0264,0.0776,0.6593794688303216
0.0264,0.0788,0.658911923952124
0.0272,0.0788,0.6587997364004485
0.0272,0.0792,0.6587456247777342
0.0274,0.0792,0.6586042406252077
0.0274,0.0804,0.6582730344358118
0.0276,0.0804,0.6582638487645878
0.0276,0.0808,0.6582071775461401
0.0278,0.0808,0.6581453234130025
0.0278,0.0812,0.6580851502353117
0.028,0.0812,0.6580090081614226
0.028,0.0816,0.6575628064636067
0.0282,0.0816,0.6572243829942369
0.0282,0.082,0.6570858317579232
0.0284,0.082,0.6570406546944376
0.0284,0.0824,0.6568188259244915
0.0286,0.0824,0.6565961885411618
0.0286,0.0828,0.6565060935474591
0.0288,0.0828,0.6564193070742683
0.0288,0.0836,0.6562117235549094
0.0292,0.0836,0.6560724884489242
0.0292,0.0848,0.6555339848932555
0.0302,0.0848,0.6546359545338809
0.0302,0.0868,0.6532789574733422
0.0304,0.0868,0.6531678199581026
0.0304,0.0888,0.6519014675043712
0.0306,0.0888,0.6517991612862126
0.0306,0.09,0.65107199366739
0.0312,0.09,0.6495244262442381
0.0312,0.0904,0.6489222987225607
0.0318,0.0904,0.648733886435022
0.0318,0.092,0.6475242225948614
0.032,0.092,0.6474254404363202
0.032,0.0932,0.6469310428948919
0.0324,0.0932,0.646207574316052
0.0324,0.0936,0.6458837400767709
0.0328,0.0936,0.6457912760071718
0.0328,0.0976,0.6436466498491887
0.033,0.0976,0.6436210737623113
0.033,0.0984,0.6430918337989282
0.0334,0.0984,0.6429510877365894
0.0334,0.0988,0.6427247404959606
0.034,0.0988,0.642027682133178
0.034,0.0996,0.6407657225466487
0.0342,0.0996,0.6407483614314082
0.0342,0.1004,0.6401054477965358
0.0344,0.1004,0.6400617445636846
0.0344,0.1044,0.6382370510084118
0.0346,0.1044,0.6378309182668921
0.0346,0.1052,0.6373565483700021
0.035,0.1052,0.6364703876887478
0.035,0.1056,0.6364019184981718
0.0352,0.1056,0.6360823167092605
0.0352,0.106,0.6353790432315313
0.0356,0.106,0.6351902172194528
0.0356,0.1076,0.6346982748054057
0.0358,0.1076,0.6346354936297993
0.0358,0.1092,0.6330374132489168
0.0364,0.1092,0.6323569354283535
0.0364,0.1112,0.6310139995011863
0.0368,0.1112,0.630755970852628
0.0368,0.1116,0.6307296993228905
0.0372,0.1116,0.6305521421488808
0.0372,0.1124,0.6304168573529746
0.0374,0.1124,0.6302157059916662
0.0374,0.1132,0.6299338335972635
0.0378,0.1132,0.6297237580208193
0.0378,0.1136,0.6295927274104803
0.0382,0.1136,0.62889911694494
0.0382,0.116,0.6276426055297554
0.0386,0.116,0.627483877049557
0.0386,0.1192,0.6251486457105869
0.0388,0.1192,0.6250251723101113
0.0388,0.1196,0.6245196672197464
0.039,0.1196,0.6244763663736628
0.039,0.12,0.6242613685787164
0.0394,0.12,0.624078141687599
