fpr,tpr,_
0.0,0.0,1.9999999986019976
0.0,0.0004,0.9999999986019976
0.0,0.2756,0.9484968074726098
0.0002,0.2756,0.9483937522830672
0.0002,0.3028,0.9190035371623027
0.0004,0.3028,0.9186771935398147
0.0004,0.3144,0.9055186161679545
0.0006,0.3144,0.9053487131507021
0.0006,0.3284,0.8843827418670239
0.0008,0.3284,0.8840806543217816
0.0008,0.33,0.882079249605139
0.001,0.33,0.8819871671975306
0.001,0.3324,0.8771227609676994
0.0012,0.3324,0.8769334379289747
0.0012,0.3428,0.8559193337028945
0.0014,0.3428,0.8553867427088759
0.0014,0.3496,0.8468279498722537
0.0016,0.3496,0.8463870941001395
0.0016,0.3528,0.8424841826340721
0.0018,0.3528,0.8421583266922268
0.0018,0.3664,0.8255981989317916
0.002,0.3664,0.8250892370174477
0.002,0.3692,0.8219217620782462
0.0022,0.3692,0.8212682823133433
0.0022,0.376,0.8119715312384262
0.0024,0.376,0.8118870800652199
0.0024,0.3788,0.8083659599461521
0.0026,0.3788,0.8080446222921533
0.0026,0.3824,0.8033125917782308
0.0028,0.3824,0.8023071785677612
0.0028,0.3848,0.7995563694233234
0.003,0.3848,0.7993030192948506
0.003,0.3876,0.7961193778767123
0.0034,0.3876,0.7929434659060915
0.0034,0.388,0.7919003114830165
0.0036,0.388,0.7917037803365417
0.0036,0.3884,0.7906427001850551
0.0038,0.3884,0.7905509848675084
0.0038,0.3992,0.7772005525634136
0.004,0.3992,0.7770249810423202
0.004,0.4012,0.775323567778597
0.0042,0.4012,0.7749544466932127
0.0042,0.4044,0.7704856755818829
0.0044,0.4044,0.7703077368856751
0.0044,0.4072,0.7648447774114785
0.0046,0.4072,0.7631169628908177
0.0046,0.4096,0.7609716434682281
0.0048,0.4096,0.7594521821400085
0.0048,0.416,0.7477908238592961
0.005,0.416,0.7471187183643401
0.005,0.4196,0.7440131286405308
0.0052,0.4196,0.7433149784902644
0.0052,0.4232,0.7380653822856397
0.0054,0.4232,0.7372420172358584
0.0054,0.4236,0.7361206660819866
0.0058,0.4236,0.7354665739561334
0.0058,0.4264,0.7308529695545999
0.006,0.4264,0.7302518334328062
0.006,0.4272,0.7296596752192892
0.0062,0.4272,0.7286459092742997
0.0062,0.4276,0.7265517046846504
0.0064,0.4276,0.7260704343448364
0.0064,0.4292,0.7247763452365814
0.0066,0.4292,0.7240811068455683
0.0066,0.4296,0.7240639767327114
