fpr,tpr,_
0.0,0.0,1.99950974721275
0.0,0.0004,0.99950974721275
0.0,0.2624,0.8806144259828832
0.0002,0.2624,0.8804283992107677
0.0002,0.2708,0.8638444403330787
0.0004,0.2708,0.8634331651649602
0.0004,0.2876,0.8354983893140037
0.0006,0.2876,0.8353573772476957
0.0006,0.2944,0.8249333654217842
0.0008,0.2944,0.824691299084315
0.0008,0.2968,0.8211464741722494
0.001,0.2968,0.820448454806405
0.001,0.3036,0.8096726816179551
0.0012,0.3036,0.808469611241629
0.0012,0.3068,0.8013653390060742
0.0014,0.3068,0.8011768802779575
0.0014,0.3128,0.7950344820281731
0.0018,0.3128,0.7943423813210341
0.0018,0.3156,0.7910838027268378
0.0022,0.3156,0.7906644040797199
0.0022,0.3168,0.78955982421887
0.0024,0.3168,0.7893311995619825
0.0024,0.3248,0.7733574054556334
0.0026,0.3248,0.7731595953082614
0.0026,0.3256,0.7720240740337493
0.0028,0.3256,0.7717988210285865
0.0028,0.326,0.7714739790239175
0.003,0.326,0.7713845512074323
0.003,0.3304,0.7668194903954064
0.0032,0.3304,0.7655085492651804
0.0032,0.3348,0.7612676040118246
0.0034,0.3348,0.761192236245004
0.0034,0.3372,0.7557367414850846
0.0036,0.3372,0.7553004911631032
0.0036,0.3436,0.7482195200472743
0.0038,0.3436,0.7463456017995265
0.0038,0.3472,0.7435578686141434
0.0044,0.3472,0.742758773206421
0.0044,0.3476,0.7422496515224161
0.0046,0.3476,0.7421420942781509
0.0046,0.3492,0.7401419727850078
0.0048,0.3492,0.7394685340491899
0.0048,0.3516,0.732898012817841
0.005,0.3516,0.7328542915740422
0.005,0.3528,0.7300885476110036
0.0052,0.3528,0.7298344567801305
0.0052,0.3544,0.7280522845697269
0.0054,0.3544,0.7266923344224764
0.0054,0.3552,0.7259287968265627
0.0058,0.3552,0.7253437845199309
0.0058,0.3584,0.7215029256699255
0.006,0.3584,0.7205166100983011
0.006,0.3596,0.7195504470192574
0.0062,0.3596,0.7193590621917024
0.0062,0.36,0.7186176940896942
0.0064,0.36,0.7184581440042364
0.0064,0.3688,0.7076876229932978
0.0066,0.3688,0.7063049033629936
0.0066,0.3692,0.7061035077233302
0.007,0.3692,0.7043897113319864
0.007,0.3696,0.7043184815330116
0.0072,0.3696,0.7035785402282966
0.0072,0.37,0.7031915663294543
0.0074,0.37,0.7028478523486597
0.0074,0.3704,0.7014466378300589
0.0076,0.3704,0.7011558935620391
0.0076,0.3732,0.6981849714588677
0.0078,0.3732,0.6977701978451915
0.0078,0.3736,0.6977155040818027
0.008,0.3736,0.6971762039260736
0.008,0.3776,0.6908627391272433
0.0082,0.3776,0.6908604790562087
0.0082,0.3804,0.6874432843129752
0.0084,0.3804,0.6870601467322323
0.0084,0.3808,0.6868459100606805
0.0086,0.3808,0.686842656022919
0.0086,0.3812,0.6856659712483618
0.0088,0.3812,0.6851561251427802
0.0088,0.3832,0.682045259293705
0.009,0.3832,0.681673978200918
0.009,0.3844,0.6790357379205508
0.0092,0.3844,0.678924946957679
0.0092,0.3856,0.678359627616365
0.0094,0.3856,0.6779398782984564
0.0094,0.386,0.6756843770325589
0.0096,0.386,0.674776597760149
0.0096,0.3872,0.673962408319622
0.0098,0.3872,0.6737332807397469
0.0098,0.3876,0.6736751515217991
0.0102,0.3876,0.6716983564579531
0.0102,0.39,0.6682585448222143
0.0104,0.39,0.6681959058672069
0.0104,0.3912,0.6674970175154729
0.0106,0.3912,0.6669646939130779
0.0106,0.3952,0.6628773175349759
0.0108,0.3952,0.6621843753294282
0.0108,0.398,0.6583289571844155
0.011,0.398,0.657929802808449
0.011,0.3984,0.6574730190071206
0.0114,0.3984,0.6568498523965731
0.0114,0.4,0.6556684580680197
0.0122,0.4,0.6545314549136664
0.0122,0.4004,0.6541548395237651
0.0124,0.4004,0.6529006879636648
0.0124,0.4008,0.6518345187257399
0.0128,0.4008,0.651139603690843
0.0128,0.4012,0.6511280162260776
0.013,0.4012,0.6511203012048457
0.013,0.4056,0.646589539466265
0.0132,0.4056,0.6464557633840562
0.0132,0.4068,0.6458802375016142
0.0134,0.4068,0.6455901935393499
0.0134,0.4072,0.6455851353610995
0.0136,0.4072,0.6453679651107441
0.0136,0.4092,0.6421302412831839
0.0138,0.4092,0.6416240876229997
0.0138,0.4108,0.6402197411469615
0.014,0.4108,0.639968412423544
0.014,0.4128,0.6376011554270935
0.0142,0.4128,0.6372517914448956
0.0142,0.4132,0.6370813319016417
