fpr,tpr,_
0.0,0.0,1.9027772124168179
0.0002,0.0,0.9027772124168177
0.0026,0.0,0.8583967832179228
0.0026,0.0004,0.8554372218478985
0.0028,0.0004,0.8517824569958983
0.0028,0.0016,0.8478563321290158
0.0032,0.0016,0.846918025664881
0.0032,0.0028,0.8452404409593339
0.0038,0.0028,0.8371541224558176
0.0038,0.0032,0.8331814955076428
0.004,0.0032,0.8300121550542665
0.004,0.0036,0.8275680256568015
0.0046,0.0036,0.8254618650007142
0.0046,0.004,0.8231361637412236
0.0048,0.004,0.8193466108380584
0.0048,0.0048,0.8174108492084728
0.0052,0.0048,0.8089035503313475
0.0052,0.0052,0.8073713311222237
0.0058,0.0052,0.8032533538685636
0.0058,0.006,0.8027889654831168
0.006,0.006,0.8016060094345894
0.006,0.0068,0.800830318504178
0.0062,0.0068,0.8006158617760457
0.0062,0.0072,0.7993567683821547
0.0068,0.0072,0.7985815917216049
0.0068,0.008,0.7956668395521813
0.007,0.008,0.7949777718108288
0.007,0.0116,0.7890366179303365
0.0074,0.0116,0.7846622273594294
0.0074,0.0124,0.782292941149159
0.0076,0.0124,0.7815644917843407
0.0076,0.014,0.7782181523974547
0.008,0.014,0.777767674800472
0.008,0.0152,0.7772049682155293
0.0082,0.0152,0.7771012908273793
0.0082,0.0156,0.7769363649659518
0.0086,0.0156,0.7766329916589733
0.0086,0.016,0.7756386996427898
0.009,0.016,0.7738150238561058
0.009,0.0176,0.7704535953910804
0.0092,0.0176,0.7702549353765661
0.0092,0.018,0.7698044497510824
0.0098,0.018,0.767340492335621
0.0098,0.0192,0.7664565904065515
0.01,0.0192,0.7660941134711138
0.01,0.0224,0.7650585504281459
0.0102,0.0224,0.7645824491999113
0.0102,0.0244,0.7626000718145725
0.0106,0.0244,0.762337186323735
0.0106,0.0248,0.7623031649804689
0.011,0.0248,0.7617219961956914
0.011,0.0256,0.7610000944167681
0.0112,0.0256,0.7598372499700635
0.0112,0.026,0.7578500306517284
0.0116,0.026,0.756525641878171
0.0116,0.0276,0.7552196374740621
0.0118,0.0276,0.7551622529206501
0.0118,0.028,0.7548183463777483
0.012,0.028,0.7542130499485703
0.012,0.03,0.7529176351148079
0.0122,0.03,0.7527684863424485
0.0122,0.0308,0.7523166170781147
0.0124,0.0308,0.7514544282857799
0.0124,0.0324,0.7489606078310853
0.0128,0.0324,0.7477506391642195
0.0128,0.0356,0.7457492567709917
0.013,0.0356,0.7450113761035045
0.013,0.036,0.7449754449192039
0.0132,0.036,0.7448078773660036
0.0132,0.0372,0.7433282886767774
0.0134,0.0372,0.7430280697434904
0.0134,0.0408,0.74072095947896
0.0136,0.0408,0.7393630216525476
0.0136,0.0424,0.7390314332995516
0.0138,0.0424,0.7385899562946766
0.0138,0.0428,0.7377884680695997
0.014,0.0428,0.7373318888290019
0.014,0.044,0.7363941366368244
0.0142,0.044,0.7363539516542342
0.0142,0.0448,0.7360667574548397
0.0146,0.0448,0.7351989888051542
