fpr,tpr,_
0.0,0.0,1.8463894319184169
0.0002,0.0,0.846389431918417
0.0002,0.0004,0.8401505109270389
0.0008,0.0004,0.8153605085573957
0.0008,0.0008,0.8149445148153037
0.0016,0.0008,0.8095047581972865
0.0016,0.0012,0.8085415009011884
0.0018,0.0012,0.8041834456327752
0.0018,0.0016,0.8003524659084988
0.0022,0.0016,0.7987623954504952
0.0022,0.002,0.795999710623739
0.0024,0.002,0.7945587479523216
0.0024,0.0024,0.79303166399463
0.0026,0.0024,0.7925074020507645
0.0026,0.0028,0.7913492942045915
0.0028,0.0028,0.7910916535662473
0.0028,0.0032,0.7896368146742024
0.003,0.0032,0.789514164813647
0.003,0.0036,0.7871665859363581
0.0036,0.0036,0.7860734386693614
0.0036,0.0044,0.7836707162915225
0.004,0.0044,0.7773169071295376
0.004,0.0048,0.7740993627185877
0.0044,0.0048,0.7715665807662919
0.0044,0.0056,0.7680890873768713
0.0058,0.0056,0.7626529787007629
0.0058,0.0068,0.7614664830827876
0.0064,0.0068,0.7606758670339568
0.0064,0.0076,0.7599970567110973
0.0066,0.0076,0.7565059774125377
0.0066,0.008,0.7558500666323926
0.0072,0.008,0.752227963004343
0.0072,0.0092,0.7511680954582058
0.0074,0.0092,0.7504619523351166
0.0074,0.0096,0.7502509671289247
0.0078,0.0096,0.7500200396233893
0.0078,0.0104,0.746720295537123
0.008,0.0104,0.7457947859260258
0.008,0.012,0.7449913384289001
0.0092,0.012,0.7381086963234762
0.0092,0.0132,0.736858081213021
0.0094,0.0132,0.7360870763947364
0.0094,0.014,0.7349667854743123
0.0096,0.014,0.7344188481549176
0.0096,0.0152,0.7320971287878568
0.0098,0.0152,0.7304625039759857
0.0098,0.0156,0.729858279915842
0.01,0.0156,0.7298488463789711
0.01,0.0168,0.7295307726742847
0.0104,0.0168,0.7290200292806127
0.0104,0.0172,0.7286524860855847
0.0108,0.0172,0.7278813266540914
0.0108,0.0176,0.7272848759794267
0.011,0.0176,0.7267418707833935
0.011,0.0184,0.7262611927333805
0.0112,0.0184,0.7260819376286551
0.0112,0.0188,0.725904600529797
0.0118,0.0188,0.724437900463999
0.0118,0.0192,0.7240909665390394
0.012,0.0192,0.7238557596044107
0.012,0.0196,0.7236483642619267
0.0122,0.0196,0.7232527665742381
0.0122,0.02,0.7217543372366417
0.0132,0.02,0.7201461415183716
0.0132,0.0212,0.7195003193390345
0.0134,0.0212,0.7194664116967229
0.0134,0.0216,0.7188285811618456
0.0136,0.0216,0.7187799653063133
0.0136,0.0232,0.715108664580734
0.0138,0.0232,0.7150686678947986
0.0138,0.024,0.7137936619834843
0.0142,0.024,0.7124228027525427
0.0142,0.0244,0.7121688100568364
0.015,0.0244,0.7115366215950899
0.015,0.026,0.7106710369879158
0.0154,0.026,0.709523182989749
0.0154,0.0268,0.7083349796745027
0.016,0.0268,0.7081064316516199
0.016,0.0276,0.7080332634729081
0.0162,0.0276,0.707567876469377
0.0162,0.028,0.7074984485068246
0.0164,0.028,0.7064349754818661
0.0164,0.0288,0.7060010792006292
0.0172,0.0288,0.7046591355604092
0.0172,0.0296,0.7038491776170028
0.0176,0.0296,0.7027141200781947
0.0176,0.0304,0.7024601927608664
0.0178,0.0304,0.7022607041335468
0.0178,0.0324,0.7008601920321604
0.018,0.0324,0.7005949056600467
0.018,0.0328,0.6985807079101625
0.0182,0.0328,0.6984254706081453
0.0182,0.034,0.6978903950092684
0.0184,0.034,0.6976900382215603
0.0184,0.0352,0.6967112371792782
0.0186,0.0352,0.6966513002254401
0.0186,0.036,0.6963928235731605
0.019,0.036,0.6955262846038254
0.019,0.0364,0.695517989477178
0.02,0.0364,0.6944373358128747
0.02,0.0368,0.6939460321973325
0.0206,0.0368,0.6934026212553723
0.0206,0.0372,0.6932209296046352
0.0208,0.0372,0.6930532514181383
0.0208,0.0408,0.6862143499974299
0.021,0.0408,0.68609357041043
0.021,0.0432,0.6835131656901385
0.0212,0.0432,0.6834951754875265
0.0212,0.0456,0.6812914266053908
0.0214,0.0456,0.6799401946615968
0.0214,0.0464,0.6794137866649917
0.0216,0.0464,0.6792031618963136
0.0216,0.0472,0.6790753575129603
0.0218,0.0472,0.6790338485911398
0.0218,0.054,0.674242365366453
0.022,0.054,0.6739171009491511
0.022,0.0544,0.6737672946969728
0.0224,0.0544,0.6731381789813589
0.0224,0.0552,0.6728430281795573
0.023,0.0552,0.6721058980505838
0.023,0.056,0.6720691650650118
0.0234,0.056,0.6702812869881674
0.0234,0.0564,0.6701960554687312
0.0244,0.0564,0.6692880483294558
0.0244,0.0576,0.6691065823970129
0.0248,0.0576,0.6686741619474713
0.0248,0.0592,0.6678322844117844
0.025,0.0592,0.6676822594554832
0.025,0.06,0.6673779905746557
0.0254,0.06,0.6669367802763384
0.0254,0.0612,0.6666419237808932
0.0262,0.0612,0.6660322536870561
0.0262,0.0636,0.6648191531979071
0.0266,0.0636,0.6639793034070899
0.0266,0.064,0.6639213247712131
0.0268,0.064,0.6636357439862687
0.0268,0.0644,0.6636288743891088
0.0274,0.0644,0.6622011442075151
0.0274,0.0664,0.6605086484811019
0.0276,0.0664,0.6603902404630049
0.0276,0.0668,0.6601718511289137
0.0278,0.0668,0.6598364476393921
0.0278,0.0692,0.6565882452124547
0.028,0.0692,0.6564356534983498
0.028,0.0696,0.6562740727817534
0.0282,0.0696,0.6559316416826113
0.0282,0.0712,0.6549085385406197
0.0286,0.0712,0.6548662750323895
0.0286,0.0724,0.6544088098829192
0.029,0.0724,0.6537368053184771
0.029,0.0728,0.6534875382829503
0.03,0.0728,0.6521869178964282
0.03,0.0732,0.6518276195812014
0.0302,0.0732,0.6517202232020851
0.0302,0.0756,0.6510079114711694
0.0304,0.0756,0.6507609018141576
0.0304,0.0768,0.6501715621279667
0.0308,0.0768,0.6494879337413644
0.0308,0.0772,0.6491402658566829
0.0312,0.0772,0.648462547233475
0.0312,0.0784,0.6481151123760633
0.0314,0.0784,0.647849028622744
0.0314,0.0792,0.6473259885779258
0.0316,0.0792,0.6472660032802874
0.0316,0.08,0.6466847990263223
0.032,0.08,0.6465490142111897
0.032,0.0816,0.6460710265997192
0.0322,0.0816,0.646070146017914
0.0322,0.0828,0.6452866028884047
0.0324,0.0828,0.6447696370188984
0.0324,0.0836,0.644278216903372
0.0326,0.0836,0.6437727932073944
0.0326,0.0856,0.642822085893579
0.0328,0.0856,0.6425957625693496
0.0328,0.086,0.6424395875138247
0.0334,0.086,0.6417833005247152
0.0334,0.0864,0.6416227820422842
0.0336,0.0864,0.6415291998277003
0.0336,0.0876,0.6407890677644111
0.0338,0.0876,0.6407332559250977
0.0338,0.0892,0.6394958524178763
0.0342,0.0892,0.6392877604949279
0.0342,0.0896,0.6391150001357357
0.0344,0.0896,0.6389489088568362
0.0344,0.0916,0.637856562967404
0.0348,0.0916,0.6375822380488881
0.0348,0.0932,0.6366184841147546
0.035,0.0932,0.6360341768256322
0.035,0.0952,0.6345077613296319
0.0352,0.0952,0.6342850704225504
0.0352,0.0956,0.6341429402600631
0.0356,0.0956,0.6333221463737867
0.0356,0.096,0.6331177859877043
0.0368,0.096,0.6320052076134304
0.0368,0.0964,0.6319048345867557
0.037,0.0964,0.6318416591418576
0.037,0.0972,0.6317204423287388
0.0372,0.0972,0.6314319778474791
0.0372,0.0976,0.631273542618832
0.0374,0.0976,0.6310946283938124
0.0374,0.098,0.6310876951649264
0.0378,0.098,0.6308545249701177
0.0378,0.0984,0.6305366219978313
0.038,0.0984,0.6295260321007466
0.038,0.0992,0.6283729570013304
0.0384,0.0992,0.6282366041700082
0.0384,0.1,0.6276981155861362
0.0388,0.1,0.6272804932849392
0.0388,0.102,0.6267981441496008
0.039,0.102,0.6266721754454959
0.039,0.1028,0.6260641504591898
0.0394,0.1028,0.6258927316875181
0.0394,0.1032,0.6255430330021152
0.04,0.1032,0.6245832160232925
0.04,0.1044,0.6243649149110908
0.0406,0.1044,0.6237198392570856
0.0406,0.1052,0.6229144199127087
0.0412,0.1052,0.6225997532801345
0.0412,0.1056,0.6223970904310238
0.0414,0.1056,0.6219966167823071
0.0414,0.1064,0.6215423824416992
0.0416,0.1064,0.6214077335265775
0.0416,0.1072,0.6207821211228712
0.0418,0.1072,0.6205297074203221
0.0418,0.108,0.6200792469267078
0.042,0.108,0.6198688368727702
0.042,0.1088,0.6197072305855512
0.0422,0.1088,0.6197004422039344
0.0422,0.11,0.6188503343398852
0.0426,0.11,0.6186177141869286
0.0426,0.1108,0.6185572774269287
0.0428,0.1108,0.6183668954619309
0.0428,0.1124,0.6175039684566802
0.0436,0.1124,0.6170084002534617
0.0436,0.114,0.6166755515224769
0.0438,0.114,0.6166176647372021
0.0438,0.1144,0.6165846357229358
0.0442,0.1144,0.616053653415092
0.0442,0.1148,0.6160504750945042
0.0444,0.1148,0.6158708805446712
0.0444,0.1164,0.6144434985642087
0.0448,0.1164,0.6141656238785017
0.0448,0.1168,0.6141623399268225
0.046,0.1168,0.6132136671185086
0.046,0.1172,0.6127973970474742
0.0464,0.1172,0.6127754956452571
