fpr,tpr,_
0.0,0.0,1.9999999995212372
0.0,0.0004,0.9999999995212372
0.0,0.3152,0.9072359331785291
0.0002,0.3152,0.9064497623922784
0.0002,0.3228,0.8986247014246821
0.0004,0.3228,0.8986055454206552
0.0004,0.3276,0.8890112974724608
0.0006,0.3276,0.8876002086251146
0.0006,0.3316,0.8841501069506811
0.0008,0.3316,0.8836437031925486
0.0008,0.3548,0.8515031729461303
0.001,0.3548,0.8510724725869637
0.001,0.3584,0.8433568659751937
0.0012,0.3584,0.8419235448748585
0.0012,0.3692,0.8285980854986865
0.0014,0.3692,0.8282164518838503
0.0014,0.3696,0.8274730710624971
0.0016,0.3696,0.8268167351557364
0.0016,0.386,0.8017396423482999
0.0018,0.386,0.8000270980426911
0.0018,0.3888,0.796779620168467
0.002,0.3888,0.7958441026230298
0.002,0.3912,0.7902559243778772
0.0022,0.3912,0.7901395794339849
0.0022,0.394,0.7862168977657525
0.0024,0.394,0.7843639403349667
0.0024,0.3956,0.7819836921292839
0.0026,0.3956,0.7792443798357535
0.0026,0.396,0.7782984318968427
0.0028,0.396,0.7781811674657997
0.0028,0.3984,0.7758660269393739
0.003,0.3984,0.775757249231913
0.003,0.4052,0.7635946809556591
0.0032,0.4052,0.7635571132662231
0.0032,0.4056,0.7622533216624992
0.0034,0.4056,0.7601288420874392
0.0034,0.4092,0.7545981909110325
0.0036,0.4092,0.7539511050072025
0.0036,0.4136,0.7496249538909971
0.004,0.4136,0.7481402714362808
0.004,0.4184,0.7430054388372435
0.0042,0.4184,0.7425953087399785
0.0042,0.42,0.7405849039623651
0.0044,0.42,0.7405588366826195
0.0044,0.4236,0.7368501427713674
0.0046,0.4236,0.7364518550961412
0.0046,0.4288,0.727997784795976
0.0048,0.4288,0.7279841219065646
0.0048,0.43,0.7233185125289627
0.005,0.43,0.7231928274298246
0.005,0.4312,0.7199738205520133
0.0052,0.4312,0.7199425052914953
0.0052,0.4316,0.7195316244870692
0.0054,0.4316,0.7191943839879906
0.0054,0.432,0.7188804583598636
0.0056,0.432,0.7173434588698617
0.0056,0.4404,0.7016369936114775
0.006,0.4404,0.6999755607903412
0.006,0.4424,0.6978087225984183
0.0064,0.4424,0.695940459678045
0.0064,0.4468,0.6899640209210862
0.0066,0.4468,0.6893510229330223
0.0066,0.448,0.6886456471199173
0.0068,0.448,0.6879576068496884
0.0068,0.45,0.6850997256272238
0.007,0.45,0.6837763177929195
0.007,0.452,0.6819033128908167
0.0072,0.452,0.6816483913818703
0.0072,0.4568,0.6756533057335004
0.0074,0.4568,0.675593822953084
0.0074,0.4572,0.6753995040010643
0.0076,0.4572,0.6748353796457005
0.0076,0.4588,0.672414004726897
0.008,0.4588,0.6722572321237762
0.008,0.4592,0.6722177115789787
0.0082,0.4592,0.6713997769994424
0.0082,0.4632,0.6666031830009987
0.0084,0.4632,0.6662203986705396
0.0084,0.464,0.6652997003203809
0.0086,0.464,0.6652325886402529
0.0086,0.4652,0.6630570114590086
0.0088,0.4652,0.662455665065747
0.0088,0.4664,0.6620690134365615
0.009,0.4664,0.6619133171979773
0.009,0.4668,0.6616049891185792
0.0092,0.4668,0.661456004945484
0.0092,0.4684,0.6602846116230978
0.0094,0.4684,0.6601295148589436
0.0094,0.4692,0.6599318964609208
0.0098,0.4692,0.6593161125360817
0.0098,0.4716,0.6556382779587481
0.01,0.4716,0.6552645433796161
0.01,0.472,0.6551045689699616
0.0106,0.472,0.6516883750675527
0.0106,0.4732,0.6508990259814709
0.011,0.4732,0.6499134915661732
0.011,0.4736,0.6483559291582025
0.0112,0.4736,0.6476193683809891
0.0112,0.4772,0.644853017704688
0.0114,0.4772,0.6438849753123852
0.0114,0.478,0.6418788633622946
0.0118,0.478,0.6404604212084798
0.0118,0.4804,0.6395764862527351
0.0122,0.4804,0.6386860498759163
0.0122,0.482,0.6371445292368165
0.0124,0.482,0.6360586007687887
0.0124,0.4828,0.6352166972637455
0.0126,0.4828,0.6350658521254652
0.0126,0.4852,0.6334159621639812
0.0128,0.4852,0.6332437236174915
0.0128,0.4856,0.6325457676843836
0.0136,0.4856,0.6315826646796346
0.0136,0.4868,0.6306810810838581
0.0138,0.4868,0.6302571616418009
0.0138,0.4872,0.629711878485776
0.014,0.4872,0.6291088121159856
0.014,0.4892,0.627396367331004
0.0144,0.4892,0.6267550518610936
0.0144,0.4912,0.6247626514651351
0.0148,0.4912,0.6243580694077406
0.0148,0.492,0.6234718875787858
0.015,0.492,0.6224773971895671
0.015,0.4936,0.6210245778631253
0.0152,0.4936,0.6203380081638927
0.0152,0.4952,0.6199518630277541
0.0154,0.4952,0.6186909170207806
0.0154,0.4956,0.6184427125600165
0.0158,0.4956,0.6182719072492737
0.0158,0.496,0.6180565537195979
0.016,0.496,0.6176517231163802
0.016,0.4972,0.6161755847119698
0.0162,0.4972,0.6161610398916985
0.0162,0.498,0.6133186921744391
0.0168,0.498,0.6122532369679066
0.0168,0.4984,0.6119229136571636
