fpr,tpr,_
0.0,0.0,1.9997288799610837
0.0,0.0004,0.9997288799610836
0.0,0.286,0.8420432701194269
0.0002,0.286,0.8412844866970592
0.0002,0.3228,0.7829853363709215
0.0004,0.3228,0.7828962277774816
0.0004,0.3268,0.7769651245212721
0.0006,0.3268,0.7768266428591842
0.0006,0.3284,0.773725365852223
0.0008,0.3284,0.7734867786366086
0.0008,0.3308,0.7692202578645809
0.001,0.3308,0.7686546863913856
0.001,0.3316,0.7670287380603779
0.0012,0.3316,0.7664782268663247
0.0012,0.3332,0.758042651645862
0.0014,0.3332,0.7577649679398861
0.0014,0.3448,0.7389515575655082
0.0016,0.3448,0.7379479938819048
0.0016,0.3456,0.7367981801876868
0.002,0.3456,0.7358144543007583
0.002,0.3492,0.7316274694921437
0.0022,0.3492,0.7314134496575169
0.0022,0.35,0.7306720998999243
0.0024,0.35,0.7303887909995533
0.0024,0.3512,0.7293405125749295
0.0026,0.3512,0.7281368630335913
0.0026,0.354,0.7243947018968159
0.0028,0.354,0.7243661608204358
0.0028,0.3548,0.7225332508393391
0.003,0.3548,0.7222477324051212
0.003,0.3556,0.7213838572871026
0.0032,0.3556,0.7212064035069168
0.0032,0.3568,0.718771071006139
0.0034,0.3568,0.7182457914793328
0.0034,0.3596,0.7165382726269954
0.0038,0.3596,0.7154164409066445
0.0038,0.3612,0.7136164448632656
0.004,0.3612,0.7130369860323945
0.004,0.3616,0.7122921003291367
0.0042,0.3616,0.7121917993844099
0.0042,0.3656,0.7066165070073558
0.0044,0.3656,0.7062671308706696
0.0044,0.3664,0.7061778489715037
0.0046,0.3664,0.7060004506599059
0.0046,0.3688,0.7032947837401813
0.0048,0.3688,0.7030325434360759
0.0048,0.3696,0.7029734254577785
0.005,0.3696,0.7025953932722421
0.005,0.3704,0.7021438972253979
0.0052,0.3704,0.7016858260570582
0.0052,0.3744,0.6954360966135079
0.0054,0.3744,0.6951010403934001
0.0054,0.3752,0.6939223560205106
0.0058,0.3752,0.6931743124579642
0.0058,0.376,0.6925452135895893
0.006,0.376,0.6913025462548038
0.006,0.3772,0.6899585558767601
0.0062,0.3772,0.6893776393204694
0.0062,0.3788,0.6872785783221775
0.0064,0.3788,0.6870742388143393
0.0064,0.3824,0.6840820636394513
