fpr,tpr,_
0.0,0.0,1.9171694133607367
0.0002,0.0,0.9171694133607367
0.001,0.0,0.8811585789940766
0.001,0.0004,0.8721202908146954
0.0016,0.0004,0.8594220249719305
0.0016,0.0012,0.8517678154220419
0.0026,0.0012,0.8414365628911725
0.0026,0.0016,0.8391977449963834
0.0032,0.0016,0.8337897361101392
0.0032,0.0024,0.8292164622838506
0.0042,0.0024,0.8223858839750635
0.0042,0.0032,0.822024545424325
0.0052,0.0032,0.8106984818231081
0.0052,0.0048,0.8083549764880379
0.0056,0.0048,0.8076087770605915
0.0056,0.0052,0.8070466135896472
0.0062,0.0052,0.8036330339403361
0.0062,0.006,0.7997931467942483
0.0064,0.006,0.7996559138727843
0.0064,0.0068,0.7993018540380841
0.007,0.0068,0.7949685781113085
0.007,0.0092,0.7923861130759309
0.0078,0.0092,0.790397492434656
0.0078,0.0096,0.7902327877044999
0.0082,0.0096,0.7874389316963922
0.0082,0.01,0.7868656593206433
0.0084,0.01,0.7852373085003758
0.0084,0.0104,0.7846939351884519
0.0094,0.0104,0.7791346923716223
0.0094,0.0112,0.7775878542065177
0.0096,0.0112,0.7772909121233222
0.0096,0.0116,0.7771367138638847
0.0108,0.0116,0.7729667472259065
0.0108,0.012,0.7727573311461114
0.011,0.012,0.7727516707866802
0.011,0.0124,0.7708872589910666
0.0114,0.0124,0.7689451186016155
0.0114,0.014,0.7675627099802547
0.0118,0.014,0.766892362768806
0.0118,0.0144,0.7668200348677144
0.012,0.0144,0.7667633417897398
0.012,0.0156,0.7648501998862116
0.0122,0.0156,0.7647831272832931
0.0122,0.0172,0.7628684495478152
0.0126,0.0172,0.7622099003421409
0.0126,0.0176,0.7611296135575841
0.0128,0.0176,0.7588417454193688
0.0128,0.018,0.7586975474151342
0.013,0.018,0.7576865417618249
0.013,0.0192,0.754401824087046
0.0132,0.0192,0.7538030140220444
0.0132,0.0196,0.7536621169611802
0.0134,0.0196,0.752437257275543
0.0134,0.02,0.7522201598861399
0.0136,0.02,0.7520344468424462
0.0136,0.0208,0.750969142710982
0.0138,0.0208,0.7508234677162533
0.0138,0.022,0.7503228071818306
0.014,0.022,0.7501593015505711
0.014,0.0228,0.7490929773741204
