fpr,tpr,_
0.0,0.0,1.833084305641477
0.0002,0.0,0.8330843056414771
0.0004,0.0,0.8328413451312171
0.0004,0.0008,0.8232837580346708
0.0006,0.0008,0.8188338420986825
0.0006,0.0012,0.8136565880356836
0.0008,0.0012,0.8099401379609171
0.0008,0.0024,0.8041798537055971
0.001,0.0024,0.8016778368760591
0.001,0.0028,0.8013923119827842
0.0012,0.0028,0.7999496640621012
0.0012,0.0036,0.7979572429233712
0.0014,0.0036,0.7957779184766616
0.0014,0.004,0.7941460833494978
0.002,0.004,0.7900564522438118
0.002,0.0048,0.7854415597694333
0.0022,0.0048,0.7848866252364143
0.0022,0.0052,0.7835715427785918
0.0026,0.0052,0.7819149190295974
0.0026,0.0056,0.7810626754192189
0.003,0.0056,0.7778678106091216
0.003,0.0068,0.7736826331312074
0.0032,0.0068,0.7727247838608108
0.0032,0.0076,0.7709403122646021
0.0034,0.0076,0.7708179822145131
0.0034,0.0084,0.7689510323967569
0.0036,0.0084,0.7688862457229073
0.0036,0.0088,0.7685081602121012
0.0044,0.0088,0.7652326929367049
0.0044,0.01,0.7616030811714807
0.0046,0.01,0.7600217347178598
0.0046,0.0104,0.7594342831976021
0.0048,0.0104,0.7593399895092837
0.0048,0.012,0.7563054600767793
0.005,0.012,0.7559301532349733
0.005,0.0128,0.7556712853701375
0.0052,0.0128,0.7530845353531272
0.0052,0.0132,0.7524470181439395
0.0056,0.0132,0.7520778411582414
0.0056,0.0152,0.7494522078259283
0.0058,0.0152,0.7485001477851847
0.0058,0.0164,0.7440993849560715
0.0066,0.0164,0.7415799015425127
0.0066,0.0168,0.7414822378866472
0.0074,0.0168,0.7405574532718049
0.0074,0.0176,0.7388073820580677
0.0078,0.0176,0.7384208079851398
0.0078,0.0188,0.7377751030523803
0.0082,0.0188,0.7371848826879467
0.0082,0.0192,0.7369276918006845
0.009,0.0192,0.7360420601400688
0.009,0.0196,0.7359590105542656
0.0092,0.0196,0.7349886341538404
0.0092,0.0204,0.7341168983618721
0.01,0.0204,0.7332586600252735
0.01,0.0208,0.733032118721931
0.0102,0.0208,0.7323208822758703
0.0102,0.0216,0.7303673341287326
0.0104,0.0216,0.7296864318902965
0.0104,0.0224,0.7272769219607225
0.0106,0.0224,0.7270987197996942
0.0106,0.0228,0.7268114470394641
0.0108,0.0228,0.7260787318090389
0.0108,0.0232,0.7258144743437714
0.011,0.0232,0.7257570505428614
0.011,0.0244,0.7236496578390458
0.0112,0.0244,0.722952458273299
0.0112,0.0248,0.7227517416808464
0.0114,0.0248,0.7225621819388153
0.0114,0.0252,0.7222550229329051
0.0118,0.0252,0.7215683129945645
0.0118,0.0264,0.7200516601922463
0.0122,0.0264,0.7190458178793894
0.0122,0.0276,0.7180640790958666
0.0126,0.0276,0.7174235000115543
0.0126,0.028,0.7170578150390169
0.0128,0.028,0.716845664309831
0.0128,0.0288,0.7160503979177788
0.0132,0.0288,0.7143700769058284
0.0132,0.0296,0.7131085955211507
0.0134,0.0296,0.712634580667174
0.0134,0.0316,0.7113676458852861
0.0136,0.0316,0.7110110059430519
0.0136,0.032,0.7107911126982143
0.0142,0.032,0.7093137872460897
0.0142,0.0336,0.706698331512624
0.0146,0.0336,0.7058092543750302
0.0146,0.0348,0.7049469190930756
0.0148,0.0348,0.7045841572799951
0.0148,0.036,0.7041736714087261
0.0152,0.036,0.7032569384415687
0.0152,0.0364,0.7032562816830967
0.0156,0.0364,0.7026122058178412
0.0156,0.0368,0.7023100026361786
0.0158,0.0368,0.7021909438342377
0.0158,0.0392,0.699835600378147
0.016,0.0392,0.6993295500419402
0.016,0.04,0.6972464804824009
0.0164,0.04,0.6967813736881402
0.0164,0.0408,0.6957496603520328
0.0168,0.0408,0.6952313981586603
0.0168,0.0432,0.693297103019475
0.0172,0.0432,0.6929828568406168
0.0172,0.0436,0.6926615624899861
0.0178,0.0436,0.6919296010271772
0.0178,0.044,0.6918018367389361
0.0184,0.044,0.6903626114801493
0.0184,0.0444,0.6899620490811662
0.0186,0.0444,0.6893051420781799
0.0186,0.0448,0.6889969141316392
0.0188,0.0448,0.6888490347390511
0.0188,0.0464,0.6881670129306936
0.0196,0.0464,0.6867268963513468
0.0196,0.0468,0.686582245780278
0.0206,0.0468,0.6849045359545779
0.0206,0.0472,0.6844121445726573
0.0208,0.0472,0.6842913999826455
0.0208,0.048,0.6840513920937068
0.0214,0.048,0.683826706534527
0.0214,0.0484,0.683445421577002
0.0216,0.0484,0.6833941680820567
0.0216,0.05,0.6818999597122579
0.0226,0.05,0.6809533183773545
0.0226,0.0512,0.6800832987080038
0.0228,0.0512,0.6798383343226672
0.0228,0.0516,0.6795538453850308
0.0232,0.0516,0.6788535485245923
0.0232,0.0524,0.677761193576617
0.0234,0.0524,0.6777522719108025
0.0234,0.0532,0.67750110676998
0.0238,0.0532,0.6771035315022084
0.0238,0.0548,0.6763593297193268
0.024,0.0548,0.6761971182035348
0.024,0.0556,0.6754902016626751
0.0242,0.0556,0.6752891855570295
0.0242,0.056,0.6752104650755435
0.0244,0.056,0.6748598329721877
0.0244,0.0564,0.6746444911503419
0.0254,0.0564,0.6737684740131396
0.0254,0.0572,0.6733960292023735
0.0258,0.0572,0.6731860847478075
0.0258,0.058,0.6727512165497748
0.026,0.058,0.67148377377761
0.026,0.0584,0.6712435749166181
0.0262,0.0584,0.6707774061098751
0.0262,0.0616,0.669230346563415
0.0278,0.0616,0.6673653980391401
0.0278,0.0628,0.6666766877327908
0.028,0.0628,0.6664253367788516
0.028,0.0632,0.6654319743583675
0.0284,0.0632,0.665289391451155
0.0284,0.0648,0.6637117702158544
0.0288,0.0648,0.6631335657859729
0.0288,0.0656,0.662692972270333
0.029,0.0656,0.6626788838276769
0.029,0.0664,0.6622976764506605
0.0292,0.0664,0.6620657521716962
0.0292,0.0668,0.662023597598116
0.0294,0.0668,0.661604032426694
0.0294,0.0672,0.6612461683277078
0.0296,0.0672,0.6612171959884523
0.0296,0.068,0.6610572741126087
0.03,0.068,0.6605464657572002
0.03,0.0688,0.6601992488451146
0.0304,0.0688,0.6596788836558156
0.0304,0.07,0.6588939303712241
0.0314,0.07,0.6580306277186088
0.0314,0.0716,0.6567866847477687
0.0316,0.0716,0.6564337298079904
0.0316,0.0724,0.6561921251568572
0.0318,0.0724,0.6556487194180167
0.0318,0.0744,0.6539718380618958
0.032,0.0744,0.6539284774367599
0.032,0.0772,0.6525709206594387
0.0324,0.0772,0.6522411220879775
0.0324,0.0776,0.6519327854773012
0.0328,0.0776,0.6514744616933511
0.0328,0.078,0.6513170657336124
0.0332,0.078,0.6497459934673145
0.0332,0.0792,0.6483768424111843
0.0334,0.0792,0.6482189309157756
0.0334,0.0796,0.6481934097336054
0.0338,0.0796,0.6476623271577301
0.0338,0.0832,0.646214362342649
0.034,0.0832,0.6460857394194682
0.034,0.086,0.6448609948813483
0.0342,0.086,0.644860855278321
0.0342,0.0872,0.6442171244711656
0.0344,0.0872,0.6440037297554854
