fpr,tpr,_
0.0,0.0,2.0
0.0,0.0012,1.0
0.0,0.0032,0.9999999
0.0,0.006,0.99999976
0.0,0.0076,0.99999964
0.0,0.0108,0.9999995
0.0,0.0132,0.9999994
0.0,0.018,0.9999993
0.0,0.0192,0.99999917
0.0,0.022,0.99999905
0.0,0.0256,0.9999989
0.0,0.0288,0.9999988
0.0,0.0324,0.9999987
0.0,0.0336,0.99999857
0.0,0.0372,0.99999845
0.0,0.0404,0.99999833
0.0,0.0432,0.9999982
0.0,0.0456,0.9999981
0.0,0.0492,0.999998
0.0,0.0516,0.99999785
0.0,0.0544,0.99999774
0.0,0.056,0.9999976
0.0,0.0588,0.9999975
0.0,0.0604,0.9999974
0.0,0.0632,0.99999726
0.0,0.0656,0.99999714
0.0,0.066,0.999997
0.0,0.0676,0.9999969
0.0,0.0688,0.9999968
0.0,0.0704,0.99999666
0.0,0.0724,0.99999654
0.0,0.0736,0.9999964
0.0,0.0784,0.9999962
0.0,0.0816,0.99999595
0.0,0.0824,0.9999958
0.0,0.0888,0.9999956
0.0,0.0916,0.99999547
0.0,0.0936,0.99999535
0.0,0.0948,0.99999523
0.0,0.0988,0.999995
0.0,0.0996,0.9999949
0.0,0.1016,0.99999475
0.0,0.1032,0.99999464
0.0,0.1072,0.9999944
0.0,0.1076,0.9999943
0.0,0.11,0.99999416
0.0,0.1132,0.9999939
0.0,0.1156,0.9999938
0.0,0.1164,0.9999937
0.0,0.1168,0.99999356
0.0,0.1176,0.99999344
0.0,0.12,0.9999933
0.0,0.1224,0.9999931
0.0,0.1228,0.99999297
0.0,0.1248,0.99999285
0.0,0.1252,0.9999927
0.0,0.126,0.9999926
0.0,0.1272,0.9999925
0.0,0.1288,0.9999924
0.0,0.13,0.99999225
0.0,0.1324,0.999992
0.0,0.1332,0.9999919
0.0,0.1336,0.9999918
0.0,0.1344,0.99999166
0.0,0.1356,0.99999154
0.0,0.136,0.9999914
0.0,0.1376,0.9999913
0.0,0.1388,0.9999912
0.0,0.1396,0.99999106
0.0,0.1408,0.99999094
0.0,0.1412,0.9999908
0.0,0.1424,0.9999907
0.0,0.1456,0.99999046
0.0,0.146,0.99999034
0.0,0.1472,0.9999902
0.0,0.1488,0.99999
0.0,0.1508,0.99998987
0.0,0.154,0.9999896
0.0,0.1556,0.9999894
0.0,0.1568,0.9999893
0.0,0.1584,0.99998903
0.0,0.1616,0.9999889
0.0,0.164,0.99998856
0.0,0.166,0.9999883
0.0,0.1676,0.9999881
0.0,0.1688,0.99998796
0.0,0.1692,0.99998784
0.0,0.1712,0.9999876
0.0,0.1716,0.9999875
