Folder Level 1,Folder Level 2,Folder Level 3,Accuracy,AUROC,AUPRC,
GAT,Word2Vec,Topology-Based,0.9504,0.9495725333333334,0.8964636595753367,
GAT,Word2Vec,Uniform Random,0.7798,0.7166954133333332,0.4913645414651538,
GAT,Word2Vec,Feature-Based,0.768,0.7114576533333332,0.45568502410815376,
GAT,Metapath2Vec,Topology-Based,0.9607,0.9634606933333333,0.9441788843989403,
GAT,Metapath2Vec,Uniform Random,0.7692,0.7770060799999999,0.5164991851120717,
GAT,Metapath2Vec,Feature-Based,0.7726,0.7710141333333334,0.5046467215925108,
GAT,DeepWalk,Topology-Based,0.9749,0.9665619200000001,0.9558107700591606,
GAT,DeepWalk,Uniform Random,0.755,0.8271129866666667,0.5766824051264867,
GAT,DeepWalk,Feature-Based,0.7544,0.8203355733333333,0.564465965,
GAT,Node2Vec,Topology-Based,0.9928,0.9778318933333333,0.9813430297568368,
GAT,Node2Vec,Uniform Random,0.7515,0.8296159466666668,0.5798361335111697,
GAT,Node2Vec,Feature-Based,0.7543,0.8214602133333333,0.5821876570082398,
GAT,Struc2Vec,Topology-Based,0.9715,0.96552832,0.9159591038638866,
GAT,Struc2Vec,Uniform Random,0.7654,0.7800382933333334,0.49314929859149503,
GAT,Struc2Vec,Feature-Based,0.7679,0.7828973600000002,0.4969992095124307,
GAT,BiNE,Topology-Based,0.9558,0.9519445333333334,0.9134351536142841,
GAT,BiNE,Uniform Random,0.7666,0.7342362133333333,0.4641153076090417,
GAT,BiNE,Feature-Based,0.7877,0.82915008,0.4972824759961221,
GraphSAGE,Word2Vec,Topology-Based,0.9584,0.9715148266666667,0.9681771871386603,
GraphSAGE,Word2Vec,Uniform Random,0.7777,0.7676962666666667,0.5298621442365323,
GraphSAGE,Word2Vec,Feature-Based,0.7785,0.77494344,0.5309623774792194,
GraphSAGE,Metapath2Vec,Topology-Based,0.9582,0.9674282133333333,0.9564872520743269,
GraphSAGE,Metapath2Vec,Uniform Random,0.7577,0.78983632,0.5030566591330821,
GraphSAGE,Metapath2Vec,Feature-Based,0.7804,0.7686998133333333,0.5077890514850202,
GraphSAGE,DeepWalk,Topology-Based,0.9904,0.9710683733333334,0.9762949370221218,
GraphSAGE,DeepWalk,Uniform Random,0.7579,0.81474504,0.5665102182216357,
GraphSAGE,DeepWalk,Feature-Based,0.7564,0.8047101866666668,0.5429156398550568,
GraphSAGE,Node2Vec,Topology-Based,0.9927,0.9780867733333334,0.9815150481036321,
GraphSAGE,Node2Vec,Uniform Random,0.7517,0.8290548,0.5712190411526905,
GraphSAGE,Node2Vec,Feature-Based,0.7548,0.8273640533333333,0.5811442318120795,
GraphSAGE,Struc2Vec,Topology-Based,0.9661,0.9690764266666667,0.9568223790448249,
GraphSAGE,Struc2Vec,Uniform Random,0.7556,0.8063088533333332,0.5422869635734973,
GraphSAGE,Struc2Vec,Feature-Based,0.7587,0.8145407466666666,0.5632664844555635,
GraphSAGE,BiNE,Topology-Based,0.9517,0.9527589066666666,0.8423775294128852,
GraphSAGE,BiNE,Uniform Random,0.764,0.7484195466666668,0.47263774055381125,
GraphSAGE,BiNE,Feature-Based,0.8255,0.8745514133333333,0.5993038030609223,
XGBoost,Word2Vec,Topology-Based,0.9856,0.9882685866666667,0.9854561368880972,
XGBoost,Word2Vec,Uniform Random,0.7816,0.7757354133333334,0.538376399,
XGBoost,Word2Vec,Feature-Based,0.7789,0.7799399733333333,0.5381826466738249,
XGBoost,Metapath2Vec,Topology-Based,0.901,0.9496176533333335,0.8385534753701687,
XGBoost,Metapath2Vec,Uniform Random,0.7541,0.7319362666666667,0.460465336,
XGBoost,Metapath2Vec,Feature-Based,0.757,0.7309019733333333,0.4534468931639649,
