fpr,tpr,_
0.0,0.0,1.7080373
0.0,0.0004,0.70803726
0.0,0.1232,0.5496182
0.0002,0.1232,0.54940003
0.0002,0.1384,0.5025129
0.0004,0.1384,0.50232065
0.0004,0.1416,0.49909937
0.0008,0.1416,0.4982177
0.0008,0.1552,0.489168
0.001,0.1552,0.48912442
0.001,0.1644,0.4815596
0.0012,0.1644,0.4815116
0.0012,0.1648,0.48135948
0.0014,0.1648,0.48101386
0.0014,0.1684,0.47939435
0.0016,0.1684,0.47938582
0.0016,0.1748,0.47627392
0.0018,0.1748,0.4759479
0.0018,0.1764,0.47565654
0.002,0.1764,0.47559437
0.002,0.1888,0.47008005
0.0024,0.1888,0.4699297
0.0024,0.1912,0.46893257
0.0026,0.1912,0.46882182
0.0026,0.1996,0.46556398
0.0028,0.1996,0.4650815
0.0028,0.2024,0.46372172
0.003,0.2024,0.4635788
0.003,0.2056,0.46207646
0.0032,0.2056,0.46185175
0.0032,0.206,0.46163058
0.0034,0.206,0.46151412
0.0034,0.2068,0.4609778
0.0038,0.2068,0.46054903
0.0038,0.2072,0.4604669
0.004,0.2072,0.4604599
0.004,0.2108,0.45934364
0.0042,0.2108,0.45928958
0.0042,0.2128,0.4584617
0.0044,0.2128,0.4582373
0.0044,0.2136,0.45802262
0.005,0.2136,0.45761728
0.005,0.2176,0.45512083
0.0054,0.2176,0.45448714
0.0054,0.2184,0.4541755
0.0056,0.2184,0.45375577
0.0056,0.2192,0.45347667
0.006,0.2192,0.45345643
0.006,0.22,0.4532838
0.0062,0.22,0.45320743
0.0062,0.2212,0.45246628
0.0064,0.2212,0.45242473
0.0064,0.2276,0.4498325
0.0066,0.2276,0.44954765
0.0066,0.2288,0.4487273
0.0068,0.2288,0.44871345
0.0068,0.2312,0.44753146
0.007,0.2312,0.44752648
0.007,0.2344,0.446279
0.0072,0.2344,0.44627488
0.0072,0.2372,0.44551775
0.0074,0.2372,0.44511124
0.0074,0.2396,0.4444318
0.0076,0.2396,0.4443811
0.0076,0.2408,0.44377863
0.0078,0.2408,0.44377697
0.0078,0.2416,0.4436103
0.008,0.2416,0.4434028
0.008,0.2424,0.44325235
0.0082,0.2424,0.44319025
0.0082,0.244,0.44265407
0.0084,0.244,0.4426246
0.0084,0.2448,0.44199714
0.0086,0.2448,0.441995
0.0086,0.2452,0.4418785
0.0088,0.2452,0.44186544
0.0088,0.2488,0.44103268
0.009,0.2488,0.4410269
0.009,0.2508,0.44068855
0.0094,0.2508,0.4402103
0.0094,0.2512,0.4400574
0.0096,0.2512,0.43996397
0.0096,0.2516,0.43988666
0.0098,0.2516,0.4395791
0.0098,0.2544,0.43885732
0.01,0.2544,0.43840292
0.01,0.2552,0.4382619
0.0102,0.2552,0.4381524
0.0102,0.2576,0.43667752
0.0104,0.2576,0.43645394
0.0104,0.258,0.43640965
0.0106,0.258,0.4362678
0.0106,0.2584,0.43625975
0.0108,0.2584,0.43613473
0.0108,0.2596,0.43560484
0.011,0.2596,0.43556327
0.011,0.26,0.43545702
0.012,0.26,0.4346458
0.012,0.2604,0.43445438
0.0126,0.2604,0.43406373
0.0126,0.262,0.43356448
0.0128,0.262,0.4333434
0.0128,0.2624,0.43333772
0.013,0.2624,0.43326545
0.013,0.2628,0.43306336
0.0132,0.2628,0.43301502
0.0132,0.2644,0.43265477
0.0138,0.2644,0.43240833
0.0138,0.2648,0.43237787
0.014,0.2648,0.43221658
0.014,0.2652,0.43200943
0.0148,0.2652,0.43172094
0.0148,0.2656,0.431627
0.0152,0.2656,0.4310235
0.0152,0.266,0.4309913
0.0154,0.266,0.43092507
0.0154,0.2664,0.43091542
0.0158,0.2664,0.43067014
0.0158,0.2692,0.42930526
0.0162,0.2692,0.4287303
0.0162,0.2708,0.42814484
0.0166,0.2708,0.4280358
0.0166,0.272,0.4275345
0.0168,0.272,0.42750314
0.0168,0.274,0.42700714
0.0172,0.274,0.42653576
0.0172,0.2752,0.4261978
0.0174,0.2752,0.42607662
0.0174,0.276,0.42598936
0.0176,0.276,0.42596155
0.0176,0.2776,0.42569786
0.0178,0.2776,0.42539173
0.0178,0.278,0.4251273
0.018,0.278,0.42508784
0.018,0.2788,0.42493382
0.0182,0.2788,0.42483917
0.0182,0.2796,0.42471126
0.0184,0.2796,0.42467245
0.0184,0.28,0.42465404
0.0186,0.28,0.42464626
0.0186,0.2812,0.42437634
0.0192,0.2812,0.4239861
0.0192,0.2816,0.42388275
0.0196,0.2816,0.42377162
0.0196,0.2824,0.42370975
0.0198,0.2824,0.42365435
0.0198,0.2832,0.4234687
0.02,0.2832,0.42327574
0.02,0.2836,0.42317578
0.0208,0.2836,0.4224702
0.0208,0.284,0.42238995
0.0212,0.284,0.42212024
0.0212,0.2844,0.42191967
0.0214,0.2844,0.42187026
0.0214,0.2848,0.4217722
0.0216,0.2848,0.4217341
0.0216,0.2856,0.42162916
0.0218,0.2856,0.42158306
0.0218,0.286,0.4215498
0.022,0.286,0.42154932
0.022,0.2864,0.4214867
0.0222,0.2864,0.4214537
0.0222,0.2868,0.42143393
0.0224,0.2868,0.42139724
0.0224,0.2872,0.42112324
0.0228,0.2872,0.4210869
0.0228,0.288,0.42100403
0.023,0.288,0.42091608
0.023,0.2884,0.420821
0.0236,0.2884,0.42060438
0.0236,0.2888,0.42053416
0.0244,0.2888,0.42036214
0.0244,0.2896,0.42016715
0.0246,0.2896,0.42005348
0.0246,0.29,0.41973242
