fpr,tpr,_
0.0,0.0,1.9939873
0.0,0.0004,0.9939873
0.0,0.1524,0.8515244
0.0002,0.1524,0.85148203
0.0002,0.1944,0.83060926
0.0004,0.1944,0.8299028
0.0004,0.1956,0.8291733
0.0006,0.1956,0.8291667
0.0006,0.196,0.8286227
0.0008,0.196,0.82836133
0.0008,0.2424,0.802703
0.001,0.2424,0.80240554
0.001,0.2436,0.80203635
0.0012,0.2436,0.8019979
0.0012,0.2532,0.7980661
0.0014,0.2532,0.7979508
0.0014,0.2652,0.7914196
0.0016,0.2652,0.7914001
0.0016,0.286,0.78166586
0.0018,0.286,0.7816644
0.0018,0.2872,0.7814364
0.002,0.2872,0.7812583
0.002,0.2988,0.77691114
0.0022,0.2988,0.7768638
0.0022,0.306,0.7743553
0.0024,0.306,0.77362233
0.0024,0.3168,0.7688543
0.0026,0.3168,0.76871353
0.0026,0.338,0.75622374
0.0028,0.338,0.7562146
0.0028,0.3404,0.7556522
0.003,0.3404,0.75556207
0.003,0.346,0.7519685
0.0032,0.346,0.7517953
0.0032,0.3484,0.75139725
0.0034,0.3484,0.7513638
0.0034,0.3492,0.75048006
0.0036,0.3492,0.75045234
0.0036,0.3524,0.74825674
0.0038,0.3524,0.7481276
0.0038,0.3548,0.7467354
0.004,0.3548,0.74672216
0.004,0.358,0.7450883
0.0046,0.358,0.7438281
0.0046,0.3596,0.7436311
0.0054,0.3596,0.7420496
0.0054,0.3604,0.7417698
0.0056,0.3604,0.7414411
0.0056,0.3632,0.73836094
0.0058,0.3632,0.7382415
0.0058,0.3636,0.73738796
0.006,0.3636,0.73674625
0.006,0.3692,0.7319529
0.0062,0.3692,0.7305569
0.0062,0.3724,0.7275736
0.0066,0.3724,0.7272076
0.0066,0.3732,0.725724
0.0068,0.3732,0.7250542
0.0068,0.3776,0.7224847
0.007,0.3776,0.72192895
0.007,0.38,0.72059286
0.0072,0.38,0.7203382
0.0072,0.384,0.7174369
0.0074,0.384,0.71713287
0.0074,0.3872,0.71476185
0.0076,0.3872,0.7146046
0.0076,0.3932,0.70640236
0.0078,0.3932,0.7063085
0.0078,0.3936,0.70622236
0.008,0.3936,0.7060294
0.008,0.3948,0.7053907
0.0082,0.3948,0.7049884
0.0082,0.3952,0.70490265
0.0084,0.3952,0.7048696
0.0084,0.398,0.70414805
0.0086,0.398,0.7039343
0.0086,0.4016,0.7020538
0.0088,0.4016,0.7019954
0.0088,0.4024,0.7015864
0.009,0.4024,0.7008567
0.009,0.4064,0.6972592
0.0098,0.4064,0.69630736
0.0098,0.4068,0.69565034
0.01,0.4068,0.6951821
0.01,0.4076,0.6950296
0.0102,0.4076,0.69498765
0.0102,0.4084,0.6947656
0.0106,0.4084,0.6940403
0.0106,0.4112,0.69036317
0.011,0.4112,0.69012606
0.011,0.412,0.6896821
0.0112,0.412,0.68920535
0.0112,0.4124,0.68901706
0.0114,0.4124,0.6885318
0.0114,0.4144,0.6861996
0.0116,0.4144,0.6858813
0.0116,0.418,0.6809972
0.0118,0.418,0.68098086
0.0118,0.4192,0.6799332
0.0124,0.4192,0.6785937
0.0124,0.4204,0.6777166
0.0126,0.4204,0.6774841
0.0126,0.4208,0.67720383
0.0128,0.4208,0.67713374
0.0128,0.4212,0.67707384
0.013,0.4212,0.6765381
0.013,0.4228,0.6759525
0.0132,0.4228,0.67591995
0.0132,0.4232,0.67582905
0.0136,0.4232,0.6751273
0.0136,0.4252,0.674209
0.0138,0.4252,0.6741249
0.0138,0.4268,0.67327666
0.014,0.4268,0.6730038
0.014,0.4276,0.67182815
0.0142,0.4276,0.6718204
0.0142,0.4284,0.67076755
0.0144,0.4284,0.67056674
0.0144,0.4304,0.6686854
0.0146,0.4304,0.6686454
0.0146,0.4312,0.6677228
0.015,0.4312,0.6669369
0.015,0.4332,0.6653756
0.0152,0.4332,0.66533345
0.0152,0.4336,0.66432106
0.0158,0.4336,0.6632441
0.0158,0.4344,0.66211826
0.016,0.4344,0.661635
0.016,0.4352,0.66151774
0.0162,0.4352,0.66083515
0.0162,0.436,0.6600272
0.017,0.436,0.6583432
0.017,0.4372,0.6574781
0.0172,0.4372,0.65735114
0.0172,0.438,0.6572251
0.0174,0.438,0.65698314
0.0174,0.4388,0.6565862
0.0178,0.4388,0.6565413
0.0178,0.4404,0.6560937
0.0182,0.4404,0.6556118
0.0182,0.4408,0.65531516
0.0184,0.4408,0.65510017
0.0184,0.442,0.654648
0.0186,0.442,0.6544238
0.0186,0.4428,0.6537849
0.0188,0.4428,0.6535317
0.0188,0.444,0.6526795
0.019,0.444,0.65265447
0.019,0.4444,0.6526486
0.0192,0.4444,0.65249777
0.0192,0.4448,0.65217423
0.0194,0.4448,0.65179014
0.0194,0.4456,0.6514543
0.0196,0.4456,0.65067816
0.0196,0.4476,0.64809453
0.0198,0.4476,0.64770156
0.0198,0.4488,0.6467771
0.02,0.4488,0.64675343
0.02,0.4512,0.64632916
0.0202,0.4512,0.64631003
0.0202,0.452,0.6455309
0.0204,0.452,0.6453343
0.0204,0.4544,0.64257073
0.0206,0.4544,0.64234334
0.0206,0.4552,0.6419709
0.021,0.4552,0.6414833
0.021,0.456,0.6409497
0.0212,0.456,0.6397841
0.0212,0.4572,0.63918155
0.0214,0.4572,0.6384969
0.0214,0.4584,0.63823843
0.0218,0.4584,0.6370264
0.0218,0.46,0.6359827
0.0222,0.46,0.6357495
0.0222,0.4608,0.6350666
0.0226,0.4608,0.63473856
0.0226,0.4616,0.63414407
0.0228,0.4616,0.6340783
0.0228,0.4624,0.63398004
0.023,0.4624,0.63321745
0.023,0.4668,0.63132256
0.0236,0.4668,0.6306491
0.0236,0.4672,0.6306416
0.024,0.4672,0.6301644
0.024,0.4688,0.6290059
0.0242,0.4688,0.6289613
0.0242,0.4704,0.62813705
0.0244,0.4704,0.6272185
0.0244,0.4708,0.62707406
0.0246,0.4708,0.62675774
0.0246,0.4724,0.6260322
0.025,0.4724,0.62538016
0.025,0.4744,0.62455255
0.0252,0.4744,0.6243188
0.0252,0.476,0.62383926
0.0254,0.476,0.6232518
0.0254,0.478,0.62070674
0.0256,0.478,0.62063193
0.0256,0.4788,0.6204219
0.026,0.4788,0.62005055
0.026,0.4792,0.6194527
0.0262,0.4792,0.6190069
0.0262,0.4796,0.61839396
0.0264,0.4796,0.61799115
0.0264,0.4816,0.616701
0.0266,0.4816,0.61664265
0.0266,0.4828,0.6165119
0.0268,0.4828,0.61643946
0.0268,0.4832,0.6162303
0.0272,0.4832,0.6155381
0.0272,0.4844,0.6142465
0.0278,0.4844,0.61319554
0.0278,0.4856,0.6125764
0.028,0.4856,0.61220413
0.028,0.486,0.6110113
0.0286,0.486,0.6097588
0.0286,0.4864,0.6097416
0.029,0.4864,0.6095656
0.029,0.4884,0.60884434
0.0296,0.4884,0.6085681
0.0296,0.4904,0.60796654
0.03,0.4904,0.60704756
0.03,0.4912,0.60642195
0.0302,0.4912,0.60630226
0.0302,0.4916,0.60627216
0.0304,0.4916,0.6061746
0.0304,0.4924,0.6055748
0.0306,0.4924,0.605461
0.0306,0.4928,0.60540664
0.0308,0.4928,0.60462856
0.0308,0.4956,0.60312986
0.031,0.4956,0.6030962
0.031,0.496,0.60302377
0.0312,0.496,0.6026626
0.0312,0.4964,0.6022115
0.0314,0.4964,0.6019357
0.0314,0.4968,0.6018501
0.032,0.4968,0.6014775
0.032,0.4972,0.60128945
0.0328,0.4972,0.6006736
0.0328,0.4988,0.5998946
0.0342,0.4988,0.59836304
0.0342,0.5008,0.597776
0.0348,0.5008,0.59683347
0.0348,0.5012,0.5965792
0.035,0.5012,0.5964802
0.035,0.5044,0.59472483
0.0352,0.5044,0.5946944
0.0352,0.5076,0.5933984
0.0354,0.5076,0.59310305
0.0354,0.508,0.5929122
0.0356,0.508,0.5925106
0.0356,0.5104,0.5889646
0.0358,0.5104,0.5884109
0.0358,0.5108,0.588112
0.0362,0.5108,0.5879639
0.0362,0.5112,0.5875
0.0366,0.5112,0.5872446
0.0366,0.512,0.58615524
0.0368,0.512,0.58553976
0.0368,0.5128,0.58529544
0.037,0.5128,0.58506995
0.037,0.5144,0.58379906
0.0372,0.5144,0.58362424
0.0372,0.5148,0.5833817
0.0376,0.5148,0.58312315
0.0376,0.5164,0.5823788
0.0378,0.5164,0.5822478
0.0378,0.5176,0.5816081
0.038,0.5176,0.58126104
0.038,0.518,0.580855
0.0382,0.518,0.5806057
0.0382,0.5184,0.5805808
0.0384,0.5184,0.58045286
0.0384,0.5188,0.5804389
0.0386,0.5188,0.5804158
0.0386,0.52,0.57971644
0.039,0.52,0.57921654
0.039,0.5208,0.5790312
0.0392,0.5208,0.57899636
0.0392,0.5216,0.57751095
0.0396,0.5216,0.5771258
0.0396,0.5224,0.5770565
0.0402,0.5224,0.57648903
0.0402,0.524,0.57558084
