precision,recall,_
0.3333333333333333,1.0,0.0
0.3332444325910121,0.9996,1.9945381691967284e-40
0.3331555081355028,0.9992,2.368846008494852e-39
0.3331999466453248,0.9992,8.191583324849455e-38
0.333110992529349,0.9988,1.1421145245710532e-37
0.333022014676451,0.9984,1.1476523439981877e-37
0.33293301307712836,0.998,1.4255439545623193e-37
0.33284398772187374,0.9976,2.9115687131512624e-36
0.33288841430859584,0.9976,3.040190423971446e-36
0.3329328527566413,0.9976,4.5513485355048874e-36
0.3328437917222964,0.9972,9.02867694364162e-36
0.3328882360795834,0.9972,1.1883375449599826e-35
0.3329326923076923,0.9972,5.006791468446394e-35
0.3329771604113797,0.9972,5.783880478061276e-35
0.33302164039540477,0.9972,5.95769981752691e-35
0.3330661322645291,0.9972,9.852382942542963e-35
0.3331106360235168,0.9972,1.1520448456445656e-34
0.33315515167713483,0.9972,1.9931232218611533e-34
0.3330660251269714,0.9968,2.040653371663943e-34
0.33311054671835316,0.9968,6.491965099423635e-34
0.3331550802139037,0.9968,8.806829390299502e-34
0.33319962561839817,0.9968,9.550828233938737e-34
0.33311045734153516,0.9964,9.778811689860873e-34
0.3331550086933262,0.9964,9.844536517751224e-34
0.3331995719636169,0.9964,1.2871866097950557e-33
0.3331103678929766,0.996,1.373154185090536e-33
0.333021139951833,0.9956,1.553828493331387e-33
0.33306570319818013,0.9956,1.8678939515772164e-33
0.333110278372591,0.9956,2.1083332395142534e-33
0.33302101458974703,0.9952,2.2204985431277314e-33
0.33306559571619815,0.9952,2.6067632317430503e-33
0.332976302048467,0.9948,2.8101445092574378e-33
0.33288698446705944,0.9944,3.19163209903361e-33
0.33279764296236775,0.994,3.5722498229901744e-33
0.332708277524779,0.9936,3.881488591228932e-33
0.33275284661754856,0.9936,4.3617448897810396e-33
0.3327974276527331,0.9936,4.4493335452547006e-33
0.33284202063513335,0.9936,4.618674894092175e-33
0.3327526132404181,0.9932,4.669234008146995e-33
0.3327972121699504,0.9932,4.8632056370540426e-33
0.3328418230563003,0.9932,5.25581230136304e-33
0.3327523796755597,0.9928,5.2950139359370094e-33
0.33266291230893,0.9924,5.31549472094818e-33
0.3327075231326271,0.9924,6.399151004218584e-33
0.33275214592274677,0.9924,6.729778626854522e-33
0.3327967806841046,0.9924,6.837217341151741e-33
0.332707271263751,0.992,7.01090103958955e-33
0.33261773782369514,0.9916,7.647395231045324e-33
0.33266237251744496,0.9916,7.795906452644243e-33
0.3325728090189236,0.9912,9.119972269150928e-33
0.3326174496644295,0.9912,9.279860806697868e-33
0.3325278560880655,0.9908,9.605896654525907e-33
0.33257250268528465,0.9908,1.1811939555874401e-32
0.33261716127299584,0.9908,1.2706149128804455e-32
0.3326618318560301,0.9908,1.315025530264893e-32
0.33270651443922095,0.9908,1.4218707668517402e-32
0.3327512090274046,0.9908,1.671900178513167e-32
0.3326615611984415,0.9904,1.6952901651058288e-32
0.33257188927707604,0.99,1.76004094898973e-32
0.33261658379250103,0.99,1.919433134047035e-32
0.3326612903225806,0.99,1.97868613085214e-32
0.33257158220190886,0.9896,2.112770363346623e-32
0.3326162947028771,0.9896,2.2457746104062876e-32
0.3325265564071534,0.9892,2.3080649376771238e-32
0.3325712748789672,0.9892,2.3165859492894407e-32
0.3324815063887021,0.9888,2.4124914477003602e-32
0.332391713747646,0.9884,2.4490621055119985e-32
0.3323018969460514,0.988,2.653204185010757e-32
0.3323466092572659,0.988,3.1330674276393085e-32
0.3322567622123537,0.9876,3.454231879940746e-32
0.3323014804845222,0.9876,3.563663351036196e-32
0.332346210795531,0.9876,3.715503719573437e-32
0.33225632740980077,0.9872,3.737566279170433e-32
0.3323010636865491,0.9872,3.7952369136425375e-32
0.3322111500134662,0.9868,4.006979004929744e-32
0.33225589225589225,0.9868,4.1521284596221045e-32
0.33216594827586204,0.9864,4.216067417719969e-32
0.33207598006196953,0.986,4.229469816560869e-32
0.3319859876044193,0.9856,4.687779488646331e-32
0.33203072362215336,0.9856,4.7119829173297616e-32
0.3319407008086253,0.9852,4.979960658360306e-32
0.3319854427820461,0.9852,5.097434274056907e-32
0.33203019681854945,0.9852,5.327413278576358e-32
0.3320749629230147,0.9852,5.380350491171289e-32
0.3321197411003236,0.9852,5.389676275603537e-32
0.33202966958867164,0.9848,5.546230376487576e-32
0.3320744537361748,0.9848,5.872933170422913e-32
0.33211924996627545,0.9848,6.14291248445932e-32
0.33202914193200217,0.9844,6.634930926422549e-32
0.3320739441370935,0.9844,7.39446249527416e-32
0.3319838056680162,0.984,7.475692093651857e-32
0.3320286138480227,0.984,7.639846941008313e-32
0.33193844492440605,0.9836,7.742356513618946e-32
0.33184825165384096,0.9832,8.649026473604509e-32
0.3318930596813395,0.9832,8.794416316891613e-32
0.33193787981093853,0.9832,8.807577151643419e-32
0.3318476499189627,0.9828,9.10450820015548e-32
0.33189247602323385,0.9828,9.967812410297682e-32
0.3318022156174007,0.9824,1.0532124930330833e-31
0.3318470476962573,0.9824,1.1140958123407027e-31
0.3318918918918919,0.9824,1.1425886199102841e-31
0.33180159481010946,0.982,1.1675179163553478e-31
0.3318464449851311,0.982,1.1877417089140698e-31
0.3318913072867379,0.982,1.191717348357986e-31
