fpr,tpr,_
0.0,0.0,1.0
0.0002,0.0,3.0747337e-08
0.0002,0.0004,2.0945837e-08
0.0004,0.0004,1.269303e-08
0.0004,0.0016,6.229614e-09
0.0006,0.0016,6.1876935e-09
0.0006,0.0024,5.751844e-09
0.0012,0.0024,5.3939355e-09
0.0012,0.004,3.8308015e-09
0.0014,0.004,3.7546726e-09
0.0014,0.0044,3.7132162e-09
0.0016,0.0044,3.5451226e-09
0.0016,0.0052,2.8232878e-09
0.0022,0.0052,2.614892e-09
0.0022,0.008,2.0244781e-09
0.0032,0.008,1.7762833e-09
0.0032,0.0088,1.6801257e-09
0.0036,0.0088,1.6778232e-09
0.0036,0.0096,1.5846545e-09
0.004,0.0096,1.5395015e-09
0.004,0.01,1.5263794e-09
0.0046,0.01,1.4408781e-09
0.0046,0.0112,1.3890845e-09
0.005,0.0112,1.3478962e-09
0.005,0.014,1.2018522e-09
0.0052,0.014,1.1960801e-09
0.0052,0.016,1.1291778e-09
0.0058,0.016,1.0268777e-09
0.0058,0.0176,9.88281e-10
0.006,0.0176,9.444283e-10
0.006,0.018,9.346102e-10
0.0064,0.018,9.1151225e-10
0.0064,0.0196,8.858742e-10
0.0068,0.0196,8.734601e-10
0.0068,0.0204,8.4833873e-10
0.0072,0.0204,8.3387014e-10
0.0072,0.0212,8.09137e-10
0.0074,0.0212,7.996355e-10
0.0074,0.022,7.721325e-10
0.0076,0.022,7.699236e-10
0.0076,0.0228,7.5193923e-10
0.008,0.0228,7.2212397e-10
0.008,0.0236,6.68647e-10
0.0082,0.0236,6.6246486e-10
0.0082,0.024,6.457367e-10
0.0084,0.024,6.4279243e-10
0.0084,0.0268,6.009854e-10
0.009,0.0268,5.807688e-10
0.009,0.0272,5.7900246e-10
0.0092,0.0272,5.762668e-10
0.0092,0.0276,5.720059e-10
0.0094,0.0276,5.571527e-10
0.0094,0.0288,5.3309696e-10
0.0098,0.0288,5.213043e-10
0.0098,0.0292,5.172396e-10
0.0102,0.0292,5.1183213e-10
0.0102,0.0308,5.050631e-10
0.0104,0.0308,5.035933e-10
0.0104,0.0316,4.9094895e-10
0.0114,0.0316,4.5854526e-10
0.0114,0.0324,4.529153e-10
0.0116,0.0324,4.4833248e-10
0.0116,0.0332,4.328909e-10
0.0122,0.0332,4.2057216e-10
0.0122,0.0336,4.1988846e-10
0.0126,0.0336,4.0690776e-10
0.0126,0.034,3.8585332e-10
0.0128,0.034,3.780894e-10
0.0128,0.0348,3.6756495e-10
0.013,0.0348,3.6603e-10
0.013,0.036,3.4156294e-10
0.0132,0.036,3.3891068e-10
0.0132,0.0364,3.380314e-10
0.0136,0.0364,3.2746758e-10
0.0136,0.0384,3.041089e-10
0.014,0.0384,3.0048738e-10
0.014,0.0388,2.9968664e-10
0.0144,0.0388,2.9391822e-10
0.0144,0.0396,2.911796e-10
0.0146,0.0396,2.892461e-10
0.0146,0.04,2.8561303e-10
0.0148,0.04,2.8299715e-10
0.0148,0.0404,2.824568e-10
0.015,0.0404,2.7977376e-10
0.015,0.0424,2.7029645e-10
0.0152,0.0424,2.6956126e-10
0.0152,0.0448,2.5484967e-10
0.016,0.0448,2.5231717e-10
0.016,0.0452,2.5219402e-10
0.0162,0.0452,2.5172978e-10
0.0162,0.0464,2.444199e-10
0.0168,0.0464,2.3946392e-10
0.0168,0.0472,2.3495367e-10
0.017,0.0472,2.3308924e-10
0.017,0.048,2.3047167e-10
0.0172,0.048,2.2940462e-10
0.0172,0.0484,2.2649685e-10
0.0174,0.0484,2.2522256e-10
0.0174,0.05,2.2154396e-10
0.018,0.05,2.1994738e-10
0.018,0.0504,2.1934829e-10
0.0186,0.0504,2.1687305e-10
0.0186,0.0512,2.152042e-10
0.0188,0.0512,2.1397469e-10
0.0188,0.0528,2.0982403e-10
0.019,0.0528,2.096784e-10
0.019,0.0532,2.090068e-10
0.0192,0.0532,2.0467399e-10
0.0192,0.0536,2.0345998e-10
0.0194,0.0536,2.0252998e-10
0.0194,0.0544,2.000792e-10
0.0196,0.0544,1.9621868e-10
0.0196,0.056,1.9112313e-10
0.0198,0.056,1.8816614e-10
0.0198,0.0564,1.8645058e-10
0.02,0.0564,1.8461926e-10
0.02,0.0572,1.8181387e-10
0.0204,0.0572,1.81483e-10
0.0204,0.058,1.8135808e-10
0.0206,0.058,1.8021912e-10
0.0206,0.0584,1.802064e-10
0.0208,0.0584,1.8004974e-10
0.0208,0.0604,1.720365e-10
0.021,0.0604,1.7147236e-10
0.021,0.0608,1.7131414e-10
0.0216,0.0608,1.6771888e-10
0.0216,0.0612,1.6694524e-10
0.0218,0.0612,1.664394e-10
0.0218,0.0616,1.6594774e-10
0.022,0.0616,1.6573676e-10
0.022,0.0624,1.6282496e-10
0.0228,0.0624,1.6017163e-10
0.0228,0.064,1.5607765e-10
0.023,0.064,1.5593214e-10
0.023,0.0648,1.5494783e-10
0.0232,0.0648,1.545423e-10
0.0232,0.0652,1.5434376e-10
0.0234,0.0652,1.5349415e-10
0.0234,0.066,1.5286773e-10
0.0236,0.066,1.5256567e-10
0.0236,0.0668,1.5238623e-10
0.0238,0.0668,1.5234032e-10
0.0238,0.0676,1.515396e-10
0.024,0.0676,1.4895732e-10
0.024,0.068,1.4781561e-10
0.0242,0.068,1.4753028e-10
0.0242,0.0692,1.4606062e-10
0.025,0.0692,1.4111014e-10
0.025,0.0704,1.3867622e-10
0.0254,0.0704,1.3671309e-10
0.0254,0.0716,1.3332344e-10
0.0256,0.0716,1.3317349e-10
0.0256,0.0724,1.3181492e-10
0.026,0.0724,1.297275e-10
0.026,0.0728,1.2889068e-10
0.0268,0.0728,1.2628155e-10
0.0268,0.0732,1.2585043e-10
0.0272,0.0732,1.2421328e-10
0.0272,0.0736,1.2383644e-10
