fpr,tpr,_
0.0,0.0,1.9930909
0.0002,0.0,0.99309087
0.0008,0.0,0.9905974
0.0008,0.0004,0.98932403
0.001,0.0004,0.98822916
0.001,0.0012,0.9878399
0.0016,0.0012,0.9873338
0.0016,0.002,0.9864955
0.002,0.002,0.9854049
0.002,0.0024,0.98432213
0.0022,0.0024,0.9840925
0.0022,0.0032,0.98337513
0.0028,0.0032,0.9819818
0.0028,0.0048,0.98116755
0.003,0.0048,0.98094887
0.003,0.0052,0.9807364
0.0034,0.0052,0.9802203
0.0034,0.0056,0.97979903
0.0038,0.0056,0.9794453
0.0038,0.0064,0.9783318
0.0042,0.0064,0.97823
0.0042,0.0068,0.978028
0.0044,0.0068,0.9777395
0.0044,0.0084,0.97683185
0.0046,0.0084,0.97643924
0.0046,0.0096,0.97569
0.005,0.0096,0.97544485
0.005,0.01,0.97541285
0.0052,0.01,0.97511816
0.0052,0.0104,0.97510964
0.0054,0.0104,0.97498065
0.0054,0.0108,0.97486645
0.0066,0.0108,0.9737694
0.0066,0.0112,0.97315854
0.0068,0.0112,0.97297
0.0068,0.0128,0.9722846
0.0072,0.0128,0.97196937
0.0072,0.0136,0.9714786
0.0074,0.0136,0.9709641
0.0074,0.0148,0.970414
0.0076,0.0148,0.96966225
0.0076,0.0152,0.96962994
0.0078,0.0152,0.96961635
0.0078,0.0156,0.96929955
0.008,0.0156,0.9691609
0.008,0.0168,0.9678537
0.0092,0.0168,0.9663408
0.0092,0.0176,0.96576357
0.0096,0.0176,0.9648506
0.0096,0.0184,0.9646804
0.0098,0.0184,0.96427995
0.0098,0.0192,0.9629924
0.01,0.0192,0.96294206
0.01,0.02,0.96225864
0.0102,0.02,0.962054
0.0102,0.0204,0.9618932
0.0108,0.0204,0.9604472
0.0108,0.0208,0.9597357
0.0112,0.0208,0.9595028
0.0112,0.0212,0.9593611
0.0116,0.0212,0.9587121
0.0116,0.022,0.95855486
0.0118,0.022,0.95834255
0.0118,0.0232,0.9577822
0.0122,0.0232,0.9573132
0.0122,0.024,0.9567763
0.0124,0.024,0.95667255
0.0124,0.0252,0.95627445
0.0126,0.0252,0.9560196
0.0126,0.026,0.9557916
0.013,0.026,0.95559853
0.013,0.0268,0.95467514
0.0132,0.0268,0.9545127
0.0132,0.0272,0.95436764
0.0138,0.0272,0.9540398
0.0138,0.0276,0.95396066
0.014,0.0276,0.9538988
0.014,0.0288,0.9529568
0.0144,0.0288,0.9526619
0.0144,0.0292,0.9522879
0.0148,0.0292,0.9519499
0.0148,0.0296,0.95157087
0.015,0.0296,0.951263
0.015,0.0304,0.9509451
0.0154,0.0304,0.9507027
0.0154,0.0308,0.95058507
0.0158,0.0308,0.9499408
0.0158,0.0312,0.94946545
0.016,0.0312,0.9487435
0.016,0.0316,0.9483514
0.0162,0.0316,0.9480945
0.0162,0.0328,0.9476974
0.0168,0.0328,0.94712824
0.0168,0.034,0.946827
0.0174,0.034,0.9458967
0.0174,0.0344,0.94560313
0.0178,0.0344,0.945263
0.0178,0.0348,0.94521296
0.0184,0.0348,0.9448957
0.0184,0.0352,0.94483787
0.0188,0.0352,0.94413996
0.0188,0.0356,0.94366103
0.019,0.0356,0.942961
0.019,0.0364,0.9428272
0.0198,0.0364,0.9419635
0.0198,0.0368,0.9418952
0.02,0.0368,0.9417334
0.02,0.0384,0.94081295
0.0212,0.0384,0.93919826
0.0212,0.0388,0.9391907
0.0214,0.0388,0.9391527
0.0214,0.0392,0.93906957
0.0216,0.0392,0.9389982
0.0216,0.0404,0.93814373
0.0218,0.0404,0.93792456
0.0218,0.0416,0.9374593
0.0222,0.0416,0.9372737
0.0222,0.0428,0.9369866
0.0224,0.0428,0.9368714
0.0224,0.0448,0.93519497
0.0226,0.0448,0.93504953
0.0226,0.0476,0.9342431
0.023,0.0476,0.9339685
0.023,0.0484,0.93375415
0.0232,0.0484,0.933729
0.0232,0.0504,0.93224025
0.0234,0.0504,0.9321319
0.0234,0.0508,0.9321024
0.0236,0.0508,0.9320867
0.0236,0.0512,0.93205214
0.0238,0.0512,0.93202364
0.0238,0.0528,0.93118054
0.0242,0.0528,0.9303679
0.0242,0.0536,0.9303464
0.0246,0.0536,0.92937857
0.0246,0.054,0.92937636
0.0248,0.054,0.92936826
0.0248,0.0552,0.9290098
0.025,0.0552,0.92884547
0.025,0.0572,0.92783797
0.0252,0.0572,0.927831
0.0252,0.0592,0.92628944
0.0256,0.0592,0.92597985
0.0256,0.0596,0.9256969
0.0258,0.0596,0.92565644
0.0258,0.06,0.9256272
0.026,0.06,0.9255912
0.026,0.0604,0.92537516
0.0262,0.0604,0.9252557
0.0262,0.0624,0.9216869
0.0264,0.0624,0.9216125
0.0264,0.0636,0.9211176
0.027,0.0636,0.92034775
0.027,0.064,0.9202712
0.0274,0.064,0.92012906
0.0274,0.0676,0.91810876
0.0278,0.0676,0.9180845
0.0278,0.0696,0.9163221
0.028,0.0696,0.9162564
0.028,0.07,0.91614485
0.0284,0.07,0.9157521
0.0284,0.0712,0.91404
0.0288,0.0712,0.913793
0.0288,0.0728,0.91355634
0.029,0.0728,0.9133595
0.029,0.0744,0.91237205
0.0292,0.0744,0.9121465
0.0292,0.076,0.9116334
0.0298,0.076,0.91115314
0.0298,0.078,0.90932405
0.0302,0.078,0.90916944
0.0302,0.0784,0.9090106
0.0306,0.0784,0.9087514
0.0306,0.0788,0.908227
0.0308,0.0788,0.9078601
0.0308,0.0792,0.9077947
0.0312,0.0792,0.9073742
0.0312,0.0808,0.9064154
0.0318,0.0808,0.90613276
0.0318,0.0844,0.9043105
0.032,0.0844,0.90415496
0.032,0.0888,0.9028257
0.0322,0.0888,0.9026533
0.0322,0.0896,0.9020189
0.0326,0.0896,0.90175635
0.0326,0.0908,0.89992183
0.0328,0.0908,0.8999041
0.0328,0.0916,0.8998176
0.033,0.0916,0.8995249
0.033,0.092,0.8994781
0.0338,0.092,0.8992102
0.0338,0.0928,0.89915085
0.035,0.0928,0.8979303
0.035,0.0944,0.8973352
0.0352,0.0944,0.8972466
0.0352,0.0948,0.8972343
0.0356,0.0948,0.8965339
0.0356,0.0956,0.8961028
0.0358,0.0956,0.8960688
0.0358,0.096,0.89582324
0.0364,0.096,0.8951757
0.0364,0.098,0.89419484
0.0366,0.098,0.8940287
0.0366,0.1004,0.892721
0.037,0.1004,0.89201885
0.037,0.1016,0.89118993
0.0372,0.1016,0.8911751
0.0372,0.1028,0.89016575
0.0374,0.1028,0.89010435
0.0374,0.1036,0.88983905
0.0376,0.1036,0.8896402
0.0376,0.1044,0.8891702
0.0378,0.1044,0.8891535
0.0378,0.1048,0.8888515
0.038,0.1048,0.88822395
0.038,0.1052,0.88814586
0.0382,0.1052,0.88735485
0.0382,0.1056,0.8871762
0.0384,0.1056,0.8867892
0.0384,0.1068,0.8860612
0.0388,0.1068,0.8858173
0.0388,0.108,0.8847943
0.0392,0.108,0.88461673
0.0392,0.1092,0.883619
0.0394,0.1092,0.88350594
0.0394,0.1096,0.88345766
0.0396,0.1096,0.8833862
0.0396,0.1104,0.8830983
0.0398,0.1104,0.88307625
0.0398,0.1112,0.882233
0.0408,0.1112,0.8815329
0.0408,0.1124,0.8806291
0.0414,0.1124,0.8793434
0.0414,0.1132,0.8790394
0.0418,0.1132,0.8785326
0.0418,0.1136,0.87838084
0.0422,0.1136,0.87773675
0.0422,0.114,0.8774899
0.0424,0.114,0.8773553
0.0424,0.1152,0.87710905
0.0426,0.1152,0.87670344
0.0426,0.1156,0.87656474
0.0428,0.1156,0.8765485
0.0428,0.1172,0.8756217
0.043,0.1172,0.87539005
0.043,0.1184,0.8750583
0.0432,0.1184,0.87479955
0.0432,0.1188,0.87464195
0.0434,0.1188,0.87446415
0.0434,0.1196,0.8743024
0.0438,0.1196,0.873824
0.0438,0.12,0.8737746
0.0444,0.12,0.87319154
0.0444,0.122,0.8716538
0.0448,0.122,0.8712509
0.0448,0.1224,0.87065077
0.045,0.1224,0.8705208
0.045,0.1228,0.8703127
0.0452,0.1228,0.8702966
0.0452,0.1236,0.87026274
0.0456,0.1236,0.8701776
0.0456,0.124,0.8697405
0.0462,0.124,0.8696427
0.0462,0.1244,0.8696369
0.0464,0.1244,0.8695521
0.0464,0.1252,0.8695099
0.0466,0.1252,0.8693433
0.0466,0.1256,0.8686737
0.0468,0.1256,0.8686591
0.0468,0.128,0.866036
0.047,0.128,0.8659937
0.047,0.1304,0.86469537
0.0474,0.1304,0.8642027
0.0474,0.1312,0.86371666
0.0476,0.1312,0.8636557
0.0476,0.1316,0.8634856
0.0482,0.1316,0.86176467
0.0482,0.1324,0.8612022
0.0484,0.1324,0.8611524
0.0484,0.134,0.8607631
0.0486,0.134,0.86064124
0.0486,0.1344,0.8603891
0.0488,0.1344,0.8603754
0.0488,0.1348,0.86007243
0.049,0.1348,0.8600443
0.049,0.1388,0.85692436
0.0492,0.1388,0.85665584
0.0492,0.1428,0.8553842
0.0494,0.1428,0.8546834
0.0494,0.1432,0.8542068
0.0496,0.1432,0.8541234
0.0496,0.1436,0.85399973
0.0498,0.1436,0.853818
0.0498,0.1448,0.85320026
0.05,0.1448,0.8530539
0.05,0.1452,0.8528984
0.0508,0.1452,0.85167426
0.0508,0.1456,0.851053
0.0514,0.1456,0.8503052
0.0514,0.15,0.8485808
0.0516,0.15,0.84838545
0.0516,0.1504,0.84825623
0.052,0.1504,0.847397
0.052,0.1512,0.8468645
0.0522,0.1512,0.8468541
0.0522,0.152,0.84666747
0.0526,0.152,0.84565336
0.0526,0.1548,0.8440381
0.0528,0.1548,0.8439644
0.0528,0.156,0.8431752
0.053,0.156,0.84306926
0.053,0.158,0.84208006
0.0532,0.158,0.8410732
0.0532,0.16,0.83924896
0.0534,0.16,0.8388154
0.0534,0.1612,0.8379071
0.0538,0.1612,0.8370432
0.0538,0.1616,0.8365713
0.0542,0.1616,0.8361719
0.0542,0.1628,0.83465797
0.0546,0.1628,0.8342639
0.0546,0.1636,0.8341044
0.0548,0.1636,0.8339165
0.0548,0.164,0.83375555
0.055,0.164,0.83363914
0.055,0.166,0.8314249
0.0552,0.166,0.83089584
0.0552,0.1668,0.8306142
0.0554,0.1668,0.83038825
0.0554,0.1696,0.8285027
0.0556,0.1696,0.82790285
0.0556,0.1704,0.8270897
0.0558,0.1704,0.82663506
0.0558,0.1708,0.8264153
0.056,0.1708,0.8259154
0.056,0.1724,0.82474124
0.0564,0.1724,0.824322
0.0564,0.1732,0.82377857
0.0568,0.1732,0.8231636
0.0568,0.1736,0.8231476
0.057,0.1736,0.82302403
0.057,0.174,0.8225563
0.0574,0.174,0.822062
0.0574,0.1744,0.8217284
0.0576,0.1744,0.8217282
0.0576,0.1768,0.82026565
0.0578,0.1768,0.81987
0.0578,0.1772,0.8194653
0.058,0.1772,0.81908196
0.058,0.1784,0.81754225
0.0582,0.1784,0.8171862
0.0582,0.1792,0.8169946
0.0584,0.1792,0.81689507
0.0584,0.18,0.8157709
0.0586,0.18,0.81573105
0.0586,0.1804,0.815547
0.0588,0.1804,0.8154194
0.0588,0.1812,0.81458867
0.0592,0.1812,0.8140556
0.0592,0.1816,0.81364024
