fpr,tpr,_
0.0,0.0,1.9967213
0.0,0.0004,0.9967213
0.0,0.146,0.9378951
0.0002,0.146,0.93786365
0.0002,0.2516,0.8976294
0.0004,0.2516,0.89762247
0.0004,0.3044,0.8755444
0.0006,0.3044,0.8754853
0.0006,0.3076,0.87466604
0.0008,0.3076,0.8742862
0.0008,0.3232,0.8657199
0.001,0.3232,0.8651603
0.001,0.3304,0.8613572
0.0012,0.3304,0.8611562
0.0012,0.3348,0.85873836
0.0014,0.3348,0.85854113
0.0014,0.36,0.8391588
0.0016,0.36,0.8390555
0.0016,0.3636,0.83567387
0.0018,0.3636,0.83548355
0.0018,0.3644,0.83488184
0.002,0.3644,0.8347591
0.002,0.3672,0.8342806
0.0022,0.3672,0.8340653
0.0022,0.3684,0.8329574
0.0024,0.3684,0.83266306
0.0024,0.3692,0.83191514
0.0026,0.3692,0.8316403
0.0026,0.37,0.83136487
0.0028,0.37,0.8306903
0.0028,0.372,0.8294567
0.003,0.372,0.8284893
0.003,0.3744,0.8278865
0.0032,0.3744,0.827671
0.0032,0.3776,0.8242724
0.0034,0.3776,0.8238537
0.0034,0.3788,0.82285833
0.0036,0.3788,0.8227696
0.0036,0.3808,0.82173455
0.0038,0.3808,0.82099956
0.0038,0.3868,0.8138832
0.004,0.3868,0.81374764
0.004,0.3964,0.80451953
0.0042,0.3964,0.8044186
0.0042,0.3988,0.8017405
0.0044,0.3988,0.80163145
0.0044,0.4028,0.79893816
0.0046,0.4028,0.79870397
0.0046,0.4064,0.7955062
0.0048,0.4064,0.7953556
0.0048,0.4072,0.7951542
0.0052,0.4072,0.7935681
0.0052,0.4076,0.793431
0.0056,0.4076,0.79303163
0.0056,0.4144,0.787486
0.0058,0.4144,0.7859793
0.0058,0.4148,0.7859414
0.006,0.4148,0.785934
0.006,0.4168,0.782084
0.0062,0.4168,0.78175604
0.0062,0.4196,0.7800032
0.0064,0.4196,0.7798302
0.0064,0.4212,0.7788805
0.0066,0.4212,0.7782638
0.0066,0.4276,0.77235
0.0072,0.4276,0.77047634
0.0072,0.4288,0.76969117
0.0074,0.4288,0.7694327
0.0074,0.4292,0.7694132
0.0076,0.4292,0.76914495
0.0076,0.4336,0.7648364
0.0078,0.4336,0.7639486
0.0078,0.4352,0.76210743
0.008,0.4352,0.7616374
0.008,0.436,0.7613763
0.0082,0.436,0.7613683
0.0082,0.4364,0.7613317
0.0086,0.4364,0.7606039
0.0086,0.4372,0.7600491
0.0088,0.4372,0.7599511
0.0088,0.4396,0.7580128
0.009,0.4396,0.7578331
0.009,0.4412,0.7573126
0.0094,0.4412,0.7564895
0.0094,0.4428,0.755258
0.0096,0.4428,0.75473636
0.0096,0.4436,0.75350755
0.0098,0.4436,0.75340104
0.0098,0.4448,0.75270146
0.01,0.4448,0.75197625
0.01,0.4472,0.75022686
0.0102,0.4472,0.7500924
0.0102,0.4508,0.7454025
0.0104,0.4508,0.74480957
0.0104,0.4552,0.74037516
0.0108,0.4552,0.73910177
0.0108,0.4568,0.7374981
0.011,0.4568,0.7370257
0.011,0.46,0.73580235
0.0114,0.46,0.7356179
0.0114,0.4608,0.73471266
0.0116,0.4608,0.7345635
0.0116,0.4644,0.7317283
0.0118,0.4644,0.73105395
0.0118,0.4652,0.7305254
0.012,0.4652,0.7304634
0.012,0.4664,0.72948754
0.0122,0.4664,0.7294433
0.0122,0.4704,0.72630596
0.0124,0.4704,0.72625405
0.0124,0.4716,0.7228279
0.0126,0.4716,0.7221738
0.0126,0.472,0.7219562
0.0128,0.472,0.7215042
0.0128,0.474,0.71962166
0.013,0.474,0.7195017
0.013,0.4756,0.717895
0.0132,0.4756,0.7175539
0.0132,0.4764,0.7169468
0.014,0.4764,0.71555954
0.014,0.4796,0.71277356
0.0142,0.4796,0.7123668
0.0142,0.4816,0.71052325
0.0148,0.4816,0.7090094
0.0148,0.4828,0.7070309
0.0152,0.4828,0.7066701
0.0152,0.486,0.7022522
0.0154,0.486,0.70209306
0.0154,0.4864,0.7020697
0.016,0.4864,0.7017158
0.016,0.4876,0.7014854
0.0162,0.4876,0.70100206
0.0162,0.4884,0.7003499
0.0164,0.4884,0.70025426
0.0164,0.4916,0.69891995
0.0166,0.4916,0.698116
0.0166,0.4924,0.69738007
0.0168,0.4924,0.6971662
0.0168,0.4928,0.6970378
0.017,0.4928,0.6967679
0.017,0.4972,0.6914806
0.0172,0.4972,0.6914221
0.0172,0.498,0.6909395
0.0176,0.498,0.6899673
0.0176,0.5008,0.68862957
0.0178,0.5008,0.688235
0.0178,0.5016,0.68701726
0.018,0.5016,0.6860418
0.018,0.502,0.6859452
0.0182,0.502,0.68543106
0.0182,0.5048,0.68332833
0.0184,0.5048,0.6831541
0.0184,0.5052,0.6827749
0.0188,0.5052,0.6819199
0.0188,0.5084,0.6801832
0.0192,0.5084,0.6800304
0.0192,0.5132,0.6780224
0.0194,0.5132,0.6778951
0.0194,0.5148,0.67627835
0.0196,0.5148,0.67622906
0.0196,0.5172,0.673516
0.0198,0.5172,0.67347175
0.0198,0.5184,0.669522
0.0202,0.5184,0.668526
0.0202,0.5196,0.6676328
0.0204,0.5196,0.6670853
0.0204,0.5204,0.6669507
0.021,0.5204,0.6660888
0.021,0.5216,0.6651949
0.0214,0.5216,0.66441816
0.0214,0.522,0.6644059
0.0216,0.522,0.6638993
0.0216,0.5228,0.6632265
0.023,0.5228,0.66139287
0.023,0.5232,0.6611567
0.0232,0.5232,0.6609672
0.0232,0.524,0.6600837
0.0242,0.524,0.6581008
0.0242,0.5244,0.65788466
0.0244,0.5244,0.657403
0.0244,0.5252,0.6573296
0.0252,0.5252,0.65637946
0.0252,0.5264,0.65473974
0.0254,0.5264,0.6545439
0.0254,0.5268,0.65431964
0.0256,0.5268,0.65430343
0.0256,0.528,0.6540314
0.0258,0.528,0.65328723
0.0258,0.5284,0.6532478
0.026,0.5284,0.653019
0.026,0.53,0.6521272
0.0262,0.53,0.65208125
0.0262,0.5308,0.6518097
0.0264,0.5308,0.65178263
0.0264,0.5316,0.65098953
0.0266,0.5316,0.65083325
0.0266,0.5332,0.6501378
0.027,0.5332,0.6496214
0.027,0.534,0.6488113
0.0272,0.534,0.64861614
0.0272,0.5356,0.6479169
0.0276,0.5356,0.64773417
0.0276,0.536,0.64726704
0.028,0.536,0.64660305
0.028,0.5372,0.6456067
0.0282,0.5372,0.64540005
0.0282,0.538,0.64456844
0.0284,0.538,0.64368427
0.0284,0.5396,0.64183867
0.0288,0.5396,0.6417612
0.0288,0.542,0.6401694
0.029,0.542,0.64003897
0.029,0.5424,0.6397957
0.0294,0.5424,0.63835937
0.0294,0.5428,0.63824254
0.03,0.5428,0.63762873
0.03,0.544,0.6369671
0.0302,0.544,0.63690037
0.0302,0.546,0.6347404
0.0304,0.546,0.6339358
0.0304,0.5496,0.63198555
0.0306,0.5496,0.63171434
0.0306,0.5524,0.6292545
0.031,0.5524,0.62917286
0.031,0.5552,0.6266914
0.0316,0.5552,0.6254743
0.0316,0.5556,0.6252521
0.032,0.5556,0.6248363
0.032,0.5564,0.6242255
0.0322,0.5564,0.6242214
0.0322,0.5592,0.62147284
0.0324,0.5592,0.62136626
0.0324,0.5596,0.62091714
0.0328,0.5596,0.6204776
0.0328,0.5604,0.61944664
0.0332,0.5604,0.6192017
0.0332,0.5612,0.61892706
0.0336,0.5612,0.618043
0.0336,0.5616,0.6172675
0.0338,0.5616,0.6171456
0.0338,0.5632,0.6154852
0.0344,0.5632,0.61390036
0.0344,0.5636,0.6135472
0.0348,0.5636,0.61338526
0.0348,0.566,0.61113364
0.035,0.566,0.61092854
0.035,0.5664,0.610622
0.0352,0.5664,0.60995394
0.0352,0.5668,0.6096239
0.0356,0.5668,0.6093751
0.0356,0.5676,0.6083434
0.0358,0.5676,0.60780084
0.0358,0.568,0.6075418
0.036,0.568,0.6071544
0.036,0.5684,0.6069504
0.0362,0.5684,0.6067577
0.0362,0.5688,0.60558116
0.0368,0.5688,0.6051916
0.0368,0.5696,0.60492367
0.037,0.5696,0.6047914
0.037,0.57,0.60476315
0.0374,0.57,0.60389274
0.0374,0.5716,0.6029881
0.0376,0.5716,0.60201705
0.0376,0.572,0.60138184
0.0378,0.572,0.6011372
0.0378,0.5724,0.60111547
0.0386,0.5724,0.600112
0.0386,0.5732,0.5991019
0.039,0.5732,0.5983728
0.039,0.576,0.59672475
0.0392,0.576,0.5966846
0.0392,0.5772,0.5951918
0.0396,0.5772,0.5949679
0.0396,0.5776,0.5948769
0.0398,0.5776,0.5946557
0.0398,0.578,0.5941677
0.04,0.578,0.59399325
0.04,0.5788,0.59388924
0.0406,0.5788,0.59374464
0.0406,0.5796,0.593461
0.041,0.5796,0.593144
0.041,0.58,0.5919898
0.0412,0.58,0.591562
0.0412,0.5804,0.5913892
0.0414,0.5804,0.5911787
0.0414,0.5808,0.5902183
0.0416,0.5808,0.5895781
0.0416,0.582,0.5891454
0.0424,0.582,0.58711654
0.0424,0.5836,0.5856438
0.043,0.5836,0.58351135
0.043,0.5848,0.5829724
0.0432,0.5848,0.5827976
0.0432,0.5856,0.5824237
0.0436,0.5856,0.5817572
0.0436,0.5864,0.58120334
0.0438,0.5864,0.5809905
0.0438,0.5868,0.58080924
0.044,0.5868,0.5806049
0.044,0.5876,0.5803238
0.0444,0.5876,0.5796129
0.0444,0.5884,0.5793216
0.0446,0.5884,0.57924634
0.0446,0.5896,0.5786934
0.045,0.5896,0.57843924
0.045,0.5924,0.57682675
0.0452,0.5924,0.5766621
0.0452,0.5936,0.5765085
0.0454,0.5936,0.5763806
0.0454,0.5944,0.5754189
0.0462,0.5944,0.5746872
0.0462,0.5952,0.5745135
0.0464,0.5952,0.5740735
0.0464,0.5956,0.5739483
0.0468,0.5956,0.57374614
0.0468,0.596,0.57302505
0.047,0.596,0.5722697
0.047,0.5968,0.5719842
0.0472,0.5968,0.57148707
0.0472,0.5972,0.57142746
0.0474,0.5972,0.5712884
0.0474,0.598,0.5708249
0.0476,0.598,0.5707967
0.0476,0.5988,0.5703136
0.048,0.5988,0.5690079
0.048,0.5996,0.5685744
0.0488,0.5996,0.5676943
0.0488,0.6008,0.56712127
0.049,0.6008,0.5665748
0.049,0.6012,0.5663125
0.0492,0.6012,0.56579584
0.0492,0.6016,0.5657518
0.0494,0.6016,0.565214
0.0494,0.602,0.56488425
0.05,0.602,0.5647605
0.05,0.6024,0.5644457
0.0504,0.6024,0.5642728
0.0504,0.6036,0.5636707
0.0514,0.6036,0.56188065
0.0514,0.604,0.5618373
0.0518,0.604,0.56081223
0.0518,0.6048,0.56055945
0.0522,0.6048,0.5597348
0.0522,0.6064,0.55816114
0.0524,0.6064,0.5578582
0.0524,0.6068,0.55782396
0.0528,0.6068,0.5571055
0.0528,0.6072,0.5570011
0.053,0.6072,0.5569388
0.053,0.6076,0.55545723
0.0532,0.6076,0.5548095
0.0532,0.6088,0.55361426
0.0534,0.6088,0.553242
0.0534,0.6096,0.5527225
0.0538,0.6096,0.5524685
0.0538,0.61,0.55244213
0.054,0.61,0.55234855
0.054,0.6112,0.55110765
0.0542,0.6112,0.5509702
0.0542,0.6116,0.5508869
0.0548,0.6116,0.5498267
0.0548,0.612,0.54967564
0.055,0.612,0.5488997
0.055,0.6132,0.5488641
0.0552,0.6132,0.5478665
0.0552,0.6136,0.54784995
0.0558,0.6136,0.546553
0.0558,0.614,0.54626465
0.056,0.614,0.54597116
0.056,0.6148,0.5448665
0.0564,0.6148,0.54445404
0.0564,0.6156,0.544118
0.0566,0.6156,0.5440976
0.0566,0.616,0.5430406
0.0572,0.616,0.54245484
0.0572,0.6172,0.539759
0.0576,0.6172,0.5387812
0.0576,0.6176,0.5385395
0.0578,0.6176,0.53853935
0.0578,0.6192,0.5368801
0.058,0.6192,0.5367295
0.058,0.6196,0.5355417
0.0582,0.6196,0.535478
0.0582,0.6204,0.535043
0.0592,0.6204,0.53456604
0.0592,0.6208,0.534426
0.0596,0.6208,0.5342501
0.0596,0.6212,0.5340954
0.0598,0.6212,0.5330306
0.0598,0.6216,0.53301567
0.06,0.6216,0.5318506
0.06,0.622,0.5316962
