precision,recall,_
0.3333333333333333,1.0,2.382207389352189e-44
0.3332444325910121,0.9996,1.631896139614109e-40
0.3332888770338757,0.9996,5.079538777361743e-39
0.3331999466453248,0.9992,6.93719508575854e-37
0.333110992529349,0.9988,5.038767583757867e-36
0.333155436957972,0.9988,2.4194827715243853e-35
0.33306645316253003,0.9984,3.9555344727140406e-35
0.3329774456159082,0.998,1.842564321245526e-34
0.33302189001601706,0.998,2.4038538050079227e-34
0.3329328527566413,0.9976,3.7054502306696326e-34
0.332977303070761,0.9976,3.785632031953915e-34
0.33302176525570837,0.9976,3.972033063981934e-34
0.3330662393162393,0.9976,4.526938488434538e-34
0.33311072525711233,0.9976,9.982490881724797e-34
0.3331552230830884,0.9976,1.306549481311495e-33
0.33319973279893117,0.9976,1.5345546104107247e-33
0.33324425440940675,0.9976,2.1502115114592436e-33
0.33328878791928374,0.9976,3.0749642847144983e-33
0.3333333333333333,0.9976,5.12537320338206e-33
0.3332442186873413,0.9972,6.29047949022094e-33
0.33328877005347596,0.9972,8.939209890669262e-33
0.3333333333333333,0.9972,9.32357597223701e-33
0.33324418293661406,0.9968,1.235257952986031e-32
0.33328875217333154,0.9968,1.2739928428343272e-32
0.3333333333333333,0.9968,1.2856513958057826e-32
0.33324414715719064,0.9964,1.4197244611039325e-32
0.33315493711533317,0.996,1.801847846387106e-32
0.3331995182657567,0.996,2.1426715600852832e-32
0.333110278372591,0.9956,2.165085592493175e-32
0.33315486547985546,0.9956,2.8703741214628855e-32
0.33319946452476573,0.9956,3.943502603858928e-32
0.33324407551211677,0.9956,4.8881125256380437e-32
0.33328869844670594,0.9956,5.308466072882629e-32
0.3333333333333333,0.9956,5.868946481332099e-32
0.3333779801768015,0.9956,7.553605622465885e-32
0.3334226389819156,0.9956,7.758440215074072e-32
0.3334673097534834,0.9956,8.282795331134071e-32
0.33351199249631513,0.9956,1.1357487709311545e-31
0.3335566872152238,0.9956,1.2440590555147902e-31
0.3336013939150248,0.9956,1.2843921474824642e-31
0.33364611260053617,0.9956,1.2901177453664494e-31
0.3336908432765786,0.9956,1.4566178215022304e-31
0.3337355859479753,0.9956,1.5273377950869657e-31
0.3337803406195521,0.9956,2.993897830259016e-31
0.33382510729613735,0.9956,4.497013976500113e-31
0.33386988598256206,0.9956,7.81336095683658e-31
0.33391467668365976,0.9956,1.0215297934634495e-30
0.33395947940426673,0.9956,2.1538022514410302e-30
0.333870101986044,0.9952,2.234752622890633e-30
0.3339149107502349,0.9952,2.2360146336256758e-30
0.3339597315436242,0.9952,2.2678677093465178e-30
0.3340045643710565,0.9952,2.449457136266064e-30
0.33391514500537056,0.9948,2.4643402113011472e-30
0.33395998388612863,0.9948,2.5899860753136476e-30
0.33387053451517595,0.9944,2.6202961501298263e-30
0.3337810611148422,0.994,2.7833172802046876e-30
0.3338259000537345,0.994,2.8095165102167186e-30
0.33373639661426846,0.9936,3.0099428109302258e-30
0.333646869121204,0.9932,3.1064364150423335e-30
0.3335573175648434,0.9928,3.380686017936634e-30
0.3336021505376344,0.9928,3.565298816326495e-30
0.33364699556391986,0.9928,3.637338000201384e-30
0.33369185264856144,0.9928,3.66248342303779e-30
0.3336022589753933,0.9924,3.6662577943389584e-30
0.3335126412049489,0.992,4.059725658135463e-30
0.33355749831876264,0.992,4.369762011046197e-30
0.33346785041700294,0.9916,4.490108182287902e-30
0.3333781783936499,0.9912,4.543902941521645e-30
0.3332884822389666,0.9908,5.040782710902361e-30
0.3333333333333333,0.9908,5.08566966798512e-30
0.33337819650067296,0.9908,5.185421554358611e-30
0.3332884641270696,0.9904,5.24278417404597e-30
0.3331987075928918,0.99,5.447808068264413e-30
0.33310892688838023,0.9896,6.055807600747004e-30
