fpr,tpr,_
0.0,0.0,1.9867015
0.0,0.0004,0.98670155
0.0,0.0012,0.98623556
0.001,0.0012,0.9806723
0.001,0.0016,0.9796132
0.0014,0.0016,0.97906816
0.0014,0.002,0.9785978
0.0016,0.002,0.97845584
0.0016,0.0024,0.97838664
0.002,0.0024,0.9765871
0.002,0.0032,0.9764822
0.0022,0.0032,0.9763964
0.0022,0.004,0.9757531
0.0024,0.004,0.97558945
0.0024,0.0056,0.97468966
0.003,0.0056,0.9729504
0.003,0.006,0.9728265
0.0034,0.006,0.97186995
0.0034,0.0072,0.9709632
0.0036,0.0072,0.9704794
0.0036,0.0076,0.97040355
0.0038,0.0076,0.9692898
0.0038,0.0084,0.96882534
0.0044,0.0084,0.96813375
0.0044,0.0088,0.9681102
0.0054,0.0088,0.9657478
0.0054,0.0092,0.96520895
0.0056,0.0092,0.9645089
0.0056,0.0096,0.9633105
0.0062,0.0096,0.9619569
0.0062,0.0104,0.96146786
0.0066,0.0104,0.9608021
0.0066,0.0112,0.9605366
0.0068,0.0112,0.96038944
0.0068,0.0124,0.95946705
0.0082,0.0124,0.9557762
0.0082,0.0132,0.955474
0.0084,0.0132,0.95516545
0.0084,0.0144,0.95468533
0.0086,0.0144,0.9544435
0.0086,0.0148,0.95441854
0.0088,0.0148,0.9542504
0.0088,0.0156,0.9541668
0.009,0.0156,0.9538948
0.009,0.016,0.9536926
0.0094,0.016,0.9528886
0.0094,0.0172,0.95201975
0.0098,0.0172,0.95134604
0.0098,0.0184,0.9508348
0.0102,0.0184,0.94977343
0.0102,0.0188,0.94953626
0.0106,0.0188,0.9486538
0.0106,0.02,0.94734186
0.0108,0.02,0.9465161
0.0108,0.0208,0.94569224
0.011,0.0208,0.9455958
0.011,0.0224,0.9451415
0.0112,0.0224,0.9448616
0.0112,0.024,0.9440996
0.0116,0.024,0.9436855
0.0116,0.0244,0.94332373
0.0124,0.0244,0.942711
0.0124,0.0248,0.9425599
0.013,0.0248,0.94118553
0.013,0.0252,0.9411238
0.0132,0.0252,0.9408356
0.0132,0.026,0.9400181
0.0138,0.026,0.93966347
0.0138,0.0268,0.93924046
0.014,0.0268,0.93920654
0.014,0.028,0.93851423
0.0142,0.028,0.9384064
0.0142,0.0316,0.93658364
0.0144,0.0316,0.9364932
0.0144,0.0324,0.93609476
0.015,0.0324,0.93509245
0.015,0.0332,0.9343204
0.0152,0.0332,0.93427056
0.0152,0.0368,0.9320335
0.0156,0.0368,0.93199795
0.0156,0.0392,0.9295853
0.0158,0.0392,0.9290641
0.0158,0.0396,0.92903835
0.016,0.0396,0.92868775
0.016,0.0404,0.928511
0.0164,0.0404,0.92806494
0.0164,0.0408,0.9280249
0.0166,0.0408,0.92801315
0.0166,0.0416,0.9278985
0.0168,0.0416,0.9270402
0.0168,0.042,0.92689824
0.0172,0.042,0.92619795
0.0172,0.0428,0.9260705
0.0174,0.0428,0.9256603
0.0174,0.0432,0.92510307
0.0178,0.0432,0.92504185
0.0178,0.0444,0.9246174
0.018,0.0444,0.9245258
0.018,0.0468,0.92329615
0.0182,0.0468,0.9220577
0.0182,0.0492,0.92107797
0.0184,0.0492,0.9202058
0.0184,0.05,0.9195329
0.0186,0.05,0.9195122
0.0186,0.0504,0.91906214
0.0188,0.0504,0.9190595
0.0188,0.0508,0.91903996
0.0192,0.0508,0.9185245
0.0192,0.0516,0.91741353
0.02,0.0516,0.91588646
0.02,0.052,0.9158432
0.0202,0.052,0.9157957
0.0202,0.054,0.91392255
0.0204,0.054,0.91386676
0.0204,0.0556,0.91324896
0.0206,0.0556,0.91314346
0.0206,0.058,0.910893
0.021,0.058,0.9106232
0.021,0.0596,0.90999126
0.0212,0.0596,0.9099886
0.0212,0.06,0.90978825
