fpr,tpr,_
0.0,0.0,1.9999999999999623
0.0,0.0004,0.9999999999999621
0.0,0.3656,0.999991289942207
0.0002,0.3656,0.9999912859544821
0.0002,0.4008,0.9999867373724995
0.0004,0.4008,0.9999866817224288
0.0004,0.4796,0.9968703173446564
0.0006,0.4796,0.9968650875128879
0.0006,0.586,0.994640086081228
0.0008,0.586,0.9946188436606795
0.0008,0.6912,0.9900357006507223
0.001,0.6912,0.990013544365777
0.001,0.6976,0.9896261626781717
0.0012,0.6976,0.9896226692840533
0.0012,0.7204,0.9877919214549167
0.0014,0.7204,0.9877654990453323
0.0014,0.7676,0.9829061042599796
0.0016,0.7676,0.9828284626706656
0.0016,0.7912,0.9795186457555144
0.0018,0.7912,0.9793010192587205
0.0018,0.8056,0.9764905149581071
0.002,0.8056,0.976342986776445
0.002,0.8088,0.9757852680563015
0.0022,0.8088,0.9757200691816357
0.0022,0.8252,0.9724964864976378
0.0024,0.8252,0.9721966954701966
0.0024,0.8296,0.9710173049911579
0.0026,0.8296,0.9709735155097808
0.0026,0.8432,0.9660198915081238
0.0028,0.8432,0.965971258961566
0.0028,0.8436,0.9659374006151713
0.003,0.8436,0.9657947581274793
0.003,0.8512,0.9615005262097278
0.0032,0.8512,0.9613789190718569
0.0032,0.852,0.9612317987403823
0.0034,0.852,0.9609898120304231
0.0034,0.8528,0.9605816319982318
0.0036,0.8528,0.960515082871065
0.0036,0.874,0.9506034323425142
0.0038,0.874,0.950374000650792
0.0038,0.8756,0.9501347915941537
0.004,0.8756,0.9498283693073878
0.004,0.876,0.9493166463229554
0.0042,0.876,0.9489793881151358
0.0042,0.8864,0.9428562865956971
0.0046,0.8864,0.9421216118469755
0.0046,0.8928,0.9382046619312937
0.0048,0.8928,0.9380737039880801
0.0048,0.9012,0.9293618788765046
0.005,0.9012,0.9289594872972238
0.005,0.906,0.9244588300987314
0.0052,0.906,0.9235954999898212
0.0052,0.9064,0.9228970656850904
0.0054,0.9064,0.9226657174572153
0.0054,0.9084,0.9200533211546117
0.0056,0.9084,0.9197866187264855
0.0056,0.9128,0.9142187073435672
0.0058,0.9128,0.9134753424072094
0.0058,0.9168,0.9072066336270806
0.006,0.9168,0.9069509731300476
0.006,0.9276,0.894914388241025
0.0062,0.9276,0.893288558680677
0.0062,0.9296,0.8881581058276438
0.0064,0.9296,0.8874556615620622
0.0064,0.93,0.8865184446548221
0.0066,0.93,0.8861316718611952
0.0066,0.9324,0.8836299695482316
0.0068,0.9324,0.883406782313516
0.0068,0.9352,0.8745219632569384
0.007,0.9352,0.8738878962131325
0.007,0.9368,0.8697081356957779
0.0072,0.9368,0.8696686400628282
0.0072,0.9376,0.8668577430787056
0.0074,0.9376,0.8659545927364845
0.0074,0.9388,0.8616778270036892
0.0076,0.9388,0.8587604390825028
0.0076,0.9492,0.8378368842594368
0.0078,0.9492,0.836332724692274
0.0078,0.95,0.8341978733185327
0.0084,0.95,0.8304206645262916
0.0084,0.9532,0.8222912577127828
0.0086,0.9532,0.8200801619954768
0.0086,0.9564,0.8119304692790913
0.0088,0.9564,0.8105521627919218
0.0088,0.9604,0.7874335536436405
0.0092,0.9604,0.7771448687264901
0.0092,0.9624,0.7659347127566283
