fpr,tpr,_
0.0,0.0,1.9999999
0.0,0.0008,0.9999999
0.0,0.0016,0.99999976
0.0,0.002,0.99999964
0.0,0.0056,0.9999995
0.0,0.0096,0.9999994
0.0,0.0124,0.9999993
0.0,0.028,0.9999989
0.0,0.0344,0.9999988
0.0,0.04,0.99999857
0.0,0.0436,0.99999845
0.0,0.0484,0.99999833
0.0,0.052,0.9999982
0.0,0.0552,0.9999981
0.0,0.06,0.999998
0.0,0.062,0.99999785
0.0,0.066,0.99999774
0.0,0.0692,0.9999976
0.0,0.0764,0.9999974
0.0,0.0792,0.99999726
0.0,0.08,0.99999714
0.0,0.0824,0.999997
0.0,0.0852,0.9999969
0.0,0.0896,0.9999968
0.0,0.0928,0.99999666
0.0,0.0948,0.99999654
0.0,0.0984,0.9999964
0.0,0.1004,0.9999963
0.0,0.1032,0.9999962
0.0,0.1052,0.99999607
0.0,0.1084,0.99999595
0.0,0.112,0.9999958
0.0,0.1148,0.9999957
0.0,0.1156,0.9999956
0.0,0.1188,0.99999547
0.0,0.12,0.99999535
0.0,0.1224,0.99999523
0.0,0.1256,0.9999951
0.0,0.1292,0.99999475
0.0,0.1312,0.99999464
0.0,0.1384,0.9999944
0.0,0.1416,0.9999943
0.0,0.1488,0.9999939
0.0,0.152,0.9999938
0.0,0.1532,0.9999937
0.0,0.1552,0.99999356
0.0,0.156,0.99999344
0.0,0.1584,0.9999933
0.0,0.1596,0.9999932
0.0,0.1604,0.9999931
0.0,0.1628,0.99999297
0.0,0.1632,0.99999285
0.0,0.1648,0.9999927
0.0,0.1668,0.9999926
0.0,0.1684,0.9999924
0.0,0.1704,0.99999225
0.0,0.1732,0.99999213
0.0,0.1748,0.999992
0.0,0.1768,0.9999919
0.0,0.1784,0.9999918
0.0,0.1792,0.99999154
0.0,0.1804,0.9999914
0.0,0.1824,0.9999913
0.0,0.1828,0.9999912
0.0,0.1844,0.99999106
0.0,0.1864,0.99999094
0.0,0.188,0.9999907
0.0,0.1896,0.9999906
0.0,0.1916,0.99999046
0.0,0.1924,0.99999034
0.0,0.1936,0.9999902
0.0,0.1952,0.9999901
0.0,0.1964,0.99999
0.0,0.1972,0.99998987
0.0,0.1996,0.9999896
0.0,0.2016,0.9999895
