fpr,tpr,_
0.0,0.0,1.999989
0.0,0.0004,0.99998903
0.0,0.0044,0.9999684
0.0,0.0052,0.999961
0.0,0.0096,0.9999534
0.0,0.0104,0.99995303
0.0,0.0144,0.9999429
0.0,0.0152,0.9999428
0.0,0.0232,0.999926
0.0,0.024,0.9999254
0.0,0.0284,0.9999168
0.0,0.0292,0.99991655
0.0,0.032,0.999913
0.0,0.0328,0.999912
0.0,0.036,0.99990726
0.0,0.0368,0.99990714
0.0,0.038,0.99990547
0.0,0.0388,0.9999052
0.0,0.0488,0.99988043
0.0,0.0496,0.9998797
0.0,0.05,0.9998791
0.0,0.0508,0.9998778
0.0,0.0536,0.99987304
0.0,0.0548,0.9998727
0.0,0.056,0.999871
0.0,0.0568,0.9998708
0.0,0.0632,0.999856
0.0,0.064,0.9998554
0.0,0.0668,0.99984956
0.0,0.0676,0.9998487
0.0,0.0756,0.9998235
0.0,0.0764,0.99982303
0.0,0.096,0.9997714
0.0,0.0968,0.99977106
0.0,0.1104,0.99972385
0.0,0.1112,0.99972314
0.0,0.1136,0.99971634
0.0,0.1144,0.9997162
0.0,0.1208,0.9996984
0.0,0.1216,0.99969804
0.0,0.1224,0.9996959
0.0,0.1232,0.99969375
0.0,0.1324,0.99966633
0.0,0.1332,0.9996612
0.0,0.1364,0.9996499
0.0,0.1372,0.9996474
0.0,0.1388,0.99964356
0.0,0.1396,0.9996433
0.0,0.1576,0.9995521
0.0,0.1584,0.9995497
0.0,0.1616,0.99953556
0.0,0.1624,0.9995322
0.0,0.1664,0.9995128
0.0,0.1672,0.99951184
0.0,0.2036,0.99926883
0.0,0.2044,0.99926656
0.0,0.2064,0.9992482
0.0,0.2072,0.99924785
0.0,0.2276,0.99906033
0.0,0.2284,0.9990571
0.0,0.2412,0.9989171
0.0002,0.2412,0.9989097
0.0002,0.248,0.9988354
0.0002,0.2488,0.99883336
0.0002,0.434,0.99481636
0.0004,0.434,0.9948106
0.0004,0.4544,0.9941717
0.0006,0.4544,0.9941683
0.0006,0.56,0.9882464
0.0008,0.56,0.9882294
0.0008,0.5704,0.9874814
0.0012,0.5704,0.9874183
0.0012,0.5772,0.986558
0.0014,0.5772,0.9865448
0.0014,0.59,0.9857787
0.0016,0.59,0.9857759
0.0016,0.598,0.98464996
0.0016,0.5988,0.98462903
0.0016,0.6264,0.9815765
0.0018,0.6264,0.98156893
0.0018,0.6308,0.9809723
0.002,0.6308,0.980956
0.002,0.6332,0.98068273
0.0022,0.6332,0.98067427
0.0022,0.6552,0.97823286
0.0024,0.6552,0.97820836
0.0024,0.6812,0.97491336
0.0026,0.6812,0.97490114
0.0026,0.6896,0.9736761
0.0028,0.6896,0.97365856
0.0028,0.7144,0.96978635
0.003,0.7144,0.9697697
0.003,0.722,0.968311
0.0032,0.722,0.96830934
0.0032,0.7256,0.9677577
0.0034,0.7256,0.967651
0.0034,0.7408,0.96435416
0.0036,0.7408,0.96420026
0.0036,0.7476,0.9620718
0.0038,0.7476,0.9620038
0.0038,0.7504,0.9612493
0.004,0.7504,0.9612278
0.004,0.7684,0.9573213
0.0042,0.7684,0.9572626
0.0042,0.7688,0.95714813
0.0044,0.7688,0.95708567
0.0044,0.776,0.9541641
0.0048,0.776,0.9540874
0.0048,0.7848,0.9516422
0.005,0.7848,0.95163864
0.005,0.7912,0.94883835
0.0052,0.7912,0.9486385
0.0052,0.7968,0.9462317
0.0054,0.7968,0.946213
0.0054,0.8016,0.94509166
0.0056,0.8016,0.9450719
0.0056,0.8048,0.94322795
0.0058,0.8048,0.94322264
0.0058,0.8084,0.94136745
0.006,0.8084,0.94123507
0.006,0.8088,0.94097775
0.0062,0.8088,0.9409695
0.0062,0.812,0.9393012
0.0064,0.812,0.9391462
0.0064,0.8136,0.93889207
0.0066,0.8136,0.9388651
0.0066,0.816,0.93836176
0.0068,0.816,0.9382547
0.0068,0.8164,0.9378582
0.007,0.8164,0.9378472
0.007,0.8232,0.9349387
