fpr,tpr,_
0.0,0.0,1.999938
0.0,0.0004,0.999938
0.0,0.0064,0.99988425
0.0,0.0076,0.9998821
0.0,0.0084,0.99988186
0.0,0.0208,0.9998385
0.0,0.0216,0.9998375
0.0,0.026,0.9998233
0.0,0.0268,0.99982256
0.0,0.0328,0.99981195
0.0,0.0336,0.9998091
0.0,0.0356,0.99980646
0.0,0.0364,0.99980396
0.0,0.038,0.9998023
0.0,0.0388,0.9998012
0.0,0.0424,0.9997936
0.0,0.0432,0.9997917
0.0,0.0436,0.99978906
0.0,0.0444,0.99978894
0.0,0.0588,0.99975795
0.0,0.0596,0.99975747
0.0,0.0636,0.9997508
0.0,0.0644,0.99975044
0.0,0.0664,0.99974746
0.0,0.0672,0.999746
0.0,0.0824,0.9997038
0.0,0.0832,0.99970347
0.0,0.1032,0.9996387
0.0,0.104,0.99963784
0.0,0.1124,0.9996086
0.0,0.1132,0.99960834
0.0,0.1516,0.9994072
0.0,0.1524,0.9994049
0.0,0.166,0.99924785
0.0,0.1668,0.9992453
0.0,0.2188,0.9985802
0.0002,0.2188,0.9985764
0.0002,0.2244,0.9984627
0.0002,0.2252,0.9984555
0.0002,0.228,0.99840516
0.0002,0.2288,0.9983974
0.0002,0.232,0.9983498
0.0004,0.232,0.9983481
0.0004,0.2656,0.9978376
0.0006,0.2656,0.997837
0.0006,0.2816,0.997549
0.0006,0.2824,0.9975473
0.0006,0.29,0.9974017
0.0006,0.2908,0.9973967
0.0006,0.3144,0.9969228
0.0008,0.3144,0.9969157
0.0008,0.326,0.9965683
0.001,0.326,0.9965463
0.001,0.3424,0.9960122
0.0012,0.3428,0.9960108
0.0012,0.3912,0.9946516
0.0016,0.3912,0.99463284
0.0016,0.4088,0.99393636
0.0018,0.4088,0.99392974
0.0018,0.4276,0.99322236
0.002,0.4276,0.9932207
0.002,0.4516,0.99185383
0.0022,0.4516,0.991835
0.0022,0.4528,0.99179417
0.0024,0.4528,0.991772
0.0024,0.4572,0.99152887
0.0026,0.4572,0.9915139
0.0026,0.4608,0.9912676
0.0028,0.4608,0.99125695
0.0028,0.4728,0.99033326
0.003,0.4728,0.9901911
0.003,0.514,0.9877202
0.0032,0.514,0.9875623
0.0032,0.5232,0.9865428
0.0034,0.5232,0.98645395
0.0034,0.5396,0.9851692
0.0036,0.5396,0.9851236
0.0036,0.5644,0.9825053
0.0038,0.5644,0.98249865
0.0038,0.5656,0.9824494
0.004,0.5656,0.9824091
0.004,0.5664,0.9823501
0.0042,0.5664,0.982343
0.0042,0.5904,0.9798645
0.0044,0.5904,0.9796569
0.0044,0.6076,0.9782372
0.0044,0.6084,0.9782193
0.0044,0.6196,0.9761287
0.0046,0.6196,0.97605747
0.0046,0.6204,0.9759
0.005,0.6204,0.97581553
0.005,0.6388,0.9729028
0.0052,0.6388,0.97288823
0.0052,0.6424,0.9723708
0.0054,0.6424,0.9722982
0.0054,0.6452,0.971564
0.0056,0.6452,0.9714953
0.0056,0.646,0.97134113
0.0058,0.646,0.97127616
0.0058,0.6608,0.96883047
0.006,0.6608,0.9688297
0.006,0.664,0.96848464
0.0062,0.664,0.9684425
0.0062,0.668,0.96788377
0.0064,0.668,0.9676935
0.0064,0.6696,0.9674022
0.0066,0.6696,0.9673187
0.0066,0.6704,0.96721095
0.0068,0.6704,0.966937
0.0068,0.6724,0.96660656
0.007,0.6724,0.9665568
0.007,0.6736,0.9662914
0.0072,0.6736,0.966233
0.0072,0.6796,0.96469283
0.0074,0.6796,0.96465796
0.0074,0.6896,0.96241736
0.0076,0.6896,0.9622647
0.0076,0.6996,0.9598305
0.0078,0.6996,0.9597503
0.0078,0.7048,0.95849603
0.008,0.7048,0.95846856
0.008,0.7088,0.9574633
0.0082,0.7088,0.95744616
0.0082,0.71,0.9571908
0.0084,0.71,0.9570408
0.0084,0.7148,0.95598143
0.0086,0.7148,0.9559505
0.0086,0.7188,0.95520705
0.0088,0.7188,0.95520455
0.0088,0.7204,0.9544098
0.009,0.7204,0.95440334
0.009,0.7412,0.947063
0.0092,0.7412,0.94689775
0.0092,0.7472,0.9450911
0.0094,0.7472,0.9450302
0.0094,0.752,0.94316494
0.0096,0.752,0.94303185
0.0096,0.7552,0.94151175
0.0098,0.7552,0.94149315
0.0098,0.7572,0.94072086
0.01,0.7572,0.9407182
0.01,0.7612,0.9385536
0.0102,0.7612,0.9385162
0.0102,0.7624,0.9372702
0.0104,0.7624,0.9370803
0.0104,0.7628,0.93675196
0.0106,0.7628,0.9367017
0.0106,0.7632,0.9364917
0.0108,0.7632,0.9363962
0.0108,0.7636,0.9361879
0.011,0.7636,0.93588877
0.011,0.7676,0.93365395
0.0112,0.7676,0.93345726
0.0112,0.768,0.9331448
0.0114,0.768,0.9330573
0.0114,0.7684,0.9329933
0.0116,0.7684,0.93262535
0.0116,0.7708,0.93180573
0.0118,0.7708,0.93157566
0.0118,0.7816,0.9269803
0.0122,0.7816,0.92654073
0.0122,0.7836,0.9247083
0.0124,0.7836,0.92434365
0.0124,0.7852,0.9239254
0.0126,0.7852,0.9238464
0.0126,0.7888,0.92239034
0.0128,0.7888,0.9220305
0.0128,0.7996,0.91457677
0.013,0.7996,0.91441786
0.013,0.8,0.914402
0.0132,0.8,0.9143624
0.0132,0.8028,0.9131107
0.0134,0.8028,0.9130587
0.0134,0.8032,0.912802
0.0136,0.8032,0.91252005
0.0136,0.804,0.91193664
0.0138,0.804,0.9114886
0.0138,0.8068,0.9095908
0.014,0.8068,0.90958166
0.014,0.8072,0.9095173
